author_name	author_birth	author_death
E	1554	1655
E	1570	1655
E	NA	1655
Edwards, Thomas	1452	1498
Edwards, Thomas	1620	1692
Edwards, Thomas	1635	1692
Edwards, Thomas	1674	1718
Edwards, Thomas	1732	1814
Elder, John	1595	1841
Elder, John	1758	1841
Eliot, John	1600	1652
Eliot, John	1628	1670
Ellis, John	1653	1701
Ellis, John	1689	1768
Ellis, John	NA	1783
Essex, Robert Devereux	1591	1646
Essex, Robert Devereux	1654	1685
Evelyn, John	1590	1650
Evelyn, John	1620	1706
Fitch, John	1698	1779
Fitch, John	1715	1779
Fleetwood, William	1610	1723
Fleetwood, William	1656	1723
Fleming, Robert	1585	1650
Fleming, Robert	1786	1812
Forbes, Duncan	1644	1704
Forbes, Duncan	1711	1785
Foulis, Henry	1608	1643
Foulis, Henry	1647	1716
Fox, William	1736	1826
Fox, William	1791	1813
Fox, William	NA	NA
Franklin, William	1700	NA
Franklin, William	1720	NA
Frederick	1635	1696
Frederick	1712	1786
G	1570	1646
G	1610	1680
G	NA	NA
Gage, Thomas	1699	1757
Gage, Thomas	1721	1787
George	1653	1708
George	1685	1760
Gerbier, Balthazar	1590	1649
Gerbier, Balthazar	1632	1701
Gilbert, Thomas	1625	1691
Gilbert, Thomas	1720	1798
Goldsmith, Oliver	1701	1785
Goldsmith, Oliver	1728	1774
Goodwin, Thomas	1655	1716
Goodwin, Thomas	1753	1777
Gordon, Alexander	1650	1716
Gordon, Alexander	1692	1754
Gordon, John	1378	1465
Gordon, John	1680	1749
Gordon, John	1736	1820
Gordon, John	NA	NA
Greene, Robert	1527	1608
Greene, Robert	1749	1822
Hales, Edward	1524	1580
Hales, Edward	1629	1685
Hamilton, Charles	1686	1763
Hamilton, Charles	1721	1808
Hamilton, William	1566	1601
Hamilton, William	1720	1790
Hamilton, William	NA	NA
Harrington, James	1609	1657
Harrington, James	1614	1697
Harris, John	1595	1655
Harris, John	1667	1719
Harris, John	1690	1756
Harris, John	1737	1799
Harris, John	NA	1715
Harris, John	NA	NA
Hartley, David	1720	1794
Hartley, David	1731	1813
Henry	1260	1300
Henry	1559	1577
Henry	1671	1701
Henry	NA	NA
Herbert Of Cherbury, Edward	1583	1648
Herbert Of Cherbury, Edward	1600	1658
Hollingworth, Richard	1536	1599
Hollingworth, Richard	1619	1679
Hotham, John	1583	1639
Hotham, John	1618	1679
Hume, David	1560	1630
Hume, David	1711	1776
Humphreys, David	1741	1818
Humphreys, David	1752	1818
Hurrion, John	1068	1148
Hurrion, John	1760	1148
I	1521	1565
I	1570	1655
I	1595	NA
I	NA	1610
I	NA	NA
Izacke, Richard	1608	1666
Izacke, Richard	1758	1806
J	1582	1645
J	1598	1654
J	1632	1691
J	1656	1692
J	NA	1660
J	NA	1665
J	NA	NA
Jackson, John	1258	1328
Jackson, John	1621	1676
Jackson, John	1699	1778
Jackson, John	1742	NA
Jackson, William	1720	1790
Jackson, William	1776	1790
James	1633	1701
James	1641	1708
James	1688	1766
James	1739	1811
Jenkins, Joseph	1741	1821
Jenkins, Joseph	1771	1821
John	1474	1559
John	1629	1696
John	1764	1813
Johnson	1730	1810
Johnson	1793	1810
Johnson, R	1640	1730
Johnson, R	1684	1770
Johnson, Samuel	1649	1703
Johnson, Samuel	1709	1784
Johnson, Samuel	1720	1778
Johnson, William	1751	1787
Johnson, William	1760	1845
Johnson, William	NA	NA
Johnston, James	1655	1737
Johnston, James	1700	1737
Jones, David	1676	1720
Jones, David	1689	1740
Jones, John	1600	1677
Jones, John	1700	1770
Jones, John	1736	1800
Jones, John	1786	1827
Jones, William	1587	1659
Jones, William	1674	1730
Jones, William	1726	1800
Jones, William	NA	NA
Ker, John	1741	1820
Ker, John	1744	1825
King, William	1607	1643
King, William	1671	1727
King, William	1685	1763
Knox, John	1514	1572
Knox, John	1778	1815
Knox, John	NA	1778
L	1506	1552
L	1604	1657
L	NA	NA
Langbaine, Gerard	1602	1667
Langbaine, Gerard	1606	1665
Littleton, Edward	1589	1645
Littleton, Edward	1628	1690
Lockhart, George	1604	1656
Lockhart, George	1683	1732
Louis	1597	1656
Louis	1605	1654
Louis	1754	1793
Macpherson, John	1694	1773
Macpherson, John	1726	1792
Marguerite	1597	1654
Marguerite	1614	1678
Marsh, Henry	1663	1664
Marsh, Henry	1672	1664
Mason, William	1214	1284
Mason, William	1691	1702
Mason, William	1714	1775
Maynard, John	1614	1658
Maynard, John	1666	1727
May, Thomas	1595	1650
May, Thomas	1656	1742
Middleton, John	1619	1674
Middleton, John	1740	1803
Middleton, Thomas	1585	1616
Middleton, Thomas	1586	1666
Middleton, Thomas	NA	NA
Mocket, Thomas	1584	1647
Mocket, Thomas	1699	1647
Morley, Thomas	1689	1818
Morley, Thomas	1736	1818
Morley, Thomas	NA	1818
Newcomb, Thomas	1622	1694
Newcomb, Thomas	1682	1765
Norton, John	1649	1697
Norton, John	1676	1747
Ormonde, James Butler	1610	1688
Ormonde, James Butler	1732	1786
Owen, John	1616	1683
Owen, John	1755	1813
Owen, John	NA	NA
Palmer, Samuel	1595	1652
Palmer, Samuel	1669	1729
Palmer, Samuel	NA	1732
Pemberton, Israel	1732	1798
Pemberton, Israel	1754	1798
Pennecuik, Alexander	1553	1633
Pennecuik, Alexander	1661	1707
Penn, William	1644	1718
Penn, William	1663	1747
Peter	34	100
Peter	1656	1738
Phillips, John	1625	1685
Phillips, John	1639	1685
Pitt, William	1689	1754
Pitt, William	1759	1806
Preston, William	1721	1794
Preston, William	1753	1807
Price, John	1611	1685
Price, John	1655	1702
Price, John	NA	NA
Prynne, William	1600	1669
Prynne, William	1630	1696
R	1542	1577
R	1632	1725
R	1640	1707
R	NA	NA
Ramsay, James	1733	1824
Ramsay, James	1780	1789
Richards, George	1715	1797
Richards, George	1732	1797
Richardson, William	1650	1722
Richardson, William	1791	1800
Rich, Jeremiah	1624	1685
Rich, Jeremiah	1648	1715
Robert	1700	1770
Robert	1757	1814
Roberts, William	1618	1685
Roberts, William	1763	1685
Robinson, John	1650	1723
Robinson, John	1652	1701
Robinson, John	NA	NA
Rogers, John	1543	1592
Rogers, John	1592	1675
Rogers, John	1679	1729
Ross, Alexander	1602	1680
Ross, Alexander	1608	1672
Ross, Alexander	NA	NA
Ruggles, Thomas	1670	1756
Ruggles, Thomas	1759	1846
Russell, Thomas	1697	1827
Russell, Thomas	1756	1827
Russell, William	1594	1656
Russell, William	1741	1793
Rycaut, Paul	1598	1666
Rycaut, Paul	1632	1664
Ryland, John	1692	1779
Ryland, John	1741	1801
Salmon, Thomas	1679	1767
Salmon, Thomas	1750	1795
Schuyler, Philip John	1733	1804
Schuyler, Philip John	1770	1842
Sclater, William	1559	1593
Sclater, William	1585	1653
Sclater, William	1752	1777
Scott, John	1606	1800
Scott, John	1723	1800
Scottow, Joshua	1584	1693
Scottow, Joshua	1618	1693
Sewell, John	1645	1714
Sewell, John	1793	1714
Shaw, John	1538	1597
Shaw, John	1643	1597
Sheppard, William	1595	1652
Sheppard, William	1600	1663
Shirley, William	1692	1743
Shirley, William	1694	1771
Simon, Richard	1632	1712
Simon, Richard	1637	1711
Skinner, John	1601	1670
Skinner, John	1722	1791
Smith, George	1607	1660
Smith, George	1747	1830
Smith, George	NA	NA
Smith, John	1504	1564
Smith, John	1772	1834
Smith, John	NA	NA
Smith, Samuel	1659	1709
Smith, Samuel	1764	1832
Smith, Samuel	NA	NA
Smith, Thomas	1495	1540
Smith, Thomas	1638	1710
Smith, Thomas	NA	NA
Smith, William	1588	1673
Smith, William	1688	NA
Smith, William	1689	1749
Smith, William	1710	1762
Smith, William	1727	1803
Smith, William	NA	1673
Smith, William	NA	NA
Sower, Christopher	1741	1828
Sower, Christopher	1767	1828
Spanheim, Friedrich	1596	1658
Spanheim, Friedrich	1600	1649
Stawell, John	1492	1549
Stawell, John	1599	1662
Stennett, Joseph	1738	1809
Stennett, Joseph	1741	1802
Stewart, James	1586	1644
Stewart, James	1635	1713
Stoughton, William	1590	1657
Stoughton, William	1610	1693
Stoughton, William	NA	1718
T	1516	1578
T	1568	1658
T	1626	NA
T	NA	1660
T	NA	NA
Taylor, John	1580	1653
Taylor, John	1642	1686
Taylor, John	1646	1705
Taylor, John	1748	1827
Taylor, John	NA	NA
Thomas	1711	1765
Thomas	1718	1775
Thomas, John	1647	1706
Thomas, John	1691	1766
Thomas, John	NA	NA
Thompson, William	1609	1644
Thompson, William	1705	1781
Trapp, Joseph	1749	1747
Trapp, Joseph	1760	1842
Trumbull, John	1750	1822
Trumbull, John	1783	1822
Turner, John	1650	1784
Turner, John	1741	1784
Ussher, James	1581	1656
Ussher, James	1720	1772
Varlo, Charles	1679	1765
Varlo, Charles	1725	1795
Vernon, Edward	1669	1743
Vernon, Edward	1684	1757
Watson, Richard	1612	1685
Watson, Richard	1737	1816
Webster, Samuel	1721	1782
Webster, Samuel	1763	1825
Wharton, Philip	1616	1696
Wharton, Philip	1755	1823
White, John	1532	1625
White, John	1574	1655
White, John	1685	1755
Wilkes, John	1657	1722
Wilkes, John	1714	1775
Willard, Joseph	1649	1721
Willard, Joseph	1743	1805
William	1602	NA
William	1650	1726
William	1732	1812
Williams, John	1745	1802
Williams, John	1751	1813
Williams, John	NA	1791
Williams, John	NA	NA
Williams, Roger	1539	1683
Williams, Roger	1604	1683
Williams, Roger	NA	1683
Williams, William	1618	1692
Williams, William	1633	1686
Williams, William	1635	1705
Williams, William	1686	1690
Williams, William	1690	1755
Williams, William	1719	1806
Williams, William	NA	NA
Wilson, John	1588	1667
Wilson, John	1644	1700
Wilson, John	1654	1719
Wilson, John	NA	1705
Wilson, William	1690	1741
Wilson, William	1720	1803
Wishart, George	1599	1671
Wishart, George	1743	1821
Wood, William	1581	1754
Wood, William	1707	1754
Wright, Thomas	1745	1827
Wright, Thomas	1758	1812
Wright, Thomas	NA	NA
Young, William	1725	1788
Young, William	1749	1815
