author	author_gender	Count
Atkyns, Robert (1621-1709)	ambiguous	    2
Atterbury, Francis (1662-1732)	ambiguous	    8
Atwood, Thomas (NA-1793)	NA	    1
Atwood, William (NA-1705)	ambiguous	    6
Aubery Du Maurier, Louis (1609-1687)	ambiguous	    1
Aubignac, François-hédelin (1604-1676)	NA	    1
Aubry, Charles Philippe (NA-1770)	ambiguous	    1
Aucher, John (1619-1701)	NA	    2
Auchmuty, Samuel (1722-1777)	NA	    1
Auckland, William Eden (1744-1814)	ambiguous	   16
Auckmuty, Robert	ambiguous	    1
Audley, John	NA	    1
August, 	ambiguous	    1
Augustine, Bishop Of Hippo	male	    2
Auld, William	ambiguous	    1
Aulnoy,  (1651-1705)	NA	    6
Aumont, J B D'	NA	    1
Aureli, Giovan Battista (1538-1597)	male	    1
Austin, Jonathan Williams (1751-1779)	ambiguous	    1
Austin, Robert (1593-NA)	ambiguous	    3
Austin, William (1662-NA)	ambiguous	    2
Avant, Philip (1643-NA)	NA	    1
Avaux, Jean-antoine De Mesmes (1640-1709)	ambiguous	    2
Averell, W	NA	    1
Avery, David (1746-1818)	ambiguous	    1
Avery, J	NA	    2
Avila Y Çuñiga, Luis De (1500-1564)	ambiguous	    1
Avonmore, Barry Yelverton (1736-1805)	ambiguous	    2
Awbrey, Timothy (1674-NA)	NA	    1
Awdelay, John (1559-1577)	NA	    1
Awdeley, Lewis	ambiguous	    1
Axford, John	NA	    1
Ayliffe, John (1676-1732)	NA	    3
Ayloffe, Joseph (1709-1781)	ambiguous	    5
Ayloffe, W	NA	    1
Aymé, Jean-jacques	NA	    1
Ayscue, George (1646-1671)	ambiguous	    1
B,  (1645-NA)	NA	   16
Baber, John	NA	    1
Backhouse, Robert (NA-1645)	ambiguous	    1
Backus, Isaac (1724-1806)	NA	    4
Bacon, Francis (1561-1626)	ambiguous	   23
Bacon, John	NA	    1
Bacon, Matthew (1730-NA)	ambiguous	    1
Bacon, Nathaniel (1593-1660)	NA	    1
Bacon, Robert	ambiguous	    2
Badiley, Richard (NA-1657)	ambiguous	    1
Bagaley, Humphrey	NA	    1
Bagge, William (1622-1657)	ambiguous	    1
Bagot, John	NA	    1
Bagot, Lewis (1741-1802)	ambiguous	    1
Bagshaw, Christopher (NA-1625)	ambiguous	    1
Bagshaw, Edward (1629-1662)	NA	    4
Bagwell, William (1593-NA)	ambiguous	    2
Baillie, Robert (1599-1662)	ambiguous	    3
Bailly, Jean Sylvain (1736-1793)	ambiguous	    2
Baine, James (1710-1790)	NA	    1
Baird, John (NA-1804)	NA	    1
Baker, George (1722-1809)	ambiguous	    1
Baker, James	NA	    1
Baker, John (1685-1714)	NA	    2
Baker, Richard (1568-1645)	ambiguous	   16
Baker, Samuel	NA	    2
Bakewell, Thomas (1619-NA)	NA	    2
Balcanquhall, Walter (1586-1645)	ambiguous	    1
Balcarres, Colin Lindsay (1652-1722)	ambiguous	    3
Baldwin, D	NA	    2
Baldwin, Thomas (1753-1825)	NA	   13
Bale, John (1495-1563)	NA	    2
Balfour, William (NA-1660)	ambiguous	    1
Balguy, John (1686-1748)	NA	    3
Baliol, Margaret	ambiguous	    2
Baliol, Rachel	ambiguous	    1
Ballantine, John (1716-1776)	NA	    1
Ball, Charles	ambiguous	    3
Ball, John (1665-1745)	NA	    1
Ball, William	ambiguous	    5
Balmerino, John Elphinstone (NA-1649)	NA	    1
Balmford, James (1556-NA)	NA	    2
Baltimore, Charles Calvert (1699-1751)	ambiguous	    1
Baltimore, George Calvert (1580-1632)	ambiguous	    1
Balzac, Jean-louis Guez (1597-1654)	female	    1
Bampfield, Francis (1616-1683)	ambiguous	    2
Bampfield, Joseph (1639-1685)	ambiguous	    1
Banaster, Thomas	NA	    1
Bancks, John (1709-1751)	NA	   13
Bancroft, Richard (1544-1610)	ambiguous	    1
Banks, John (NA-1784)	NA	    1
Bannatyne, John (1641-1707)	NA	    1
Bannes, Louise Françoise De Houssay De	ambiguous	    1
Barbaro, Daniel (1514-1570)	ambiguous	    1
Barbaro, Francesco (1398-1454)	NA	    1
Barbé-marbois, François (1745-1837)	NA	    7
Barber, Edward (NA-1674)	NA	    2
Barbon, Praisegod (1596-1679)	NA	    4
Barbour, John (NA-1395)	NA	    8
Barclay, James	NA	    1
Barclay, Robert (1648-1690)	ambiguous	    1
Bard, W	NA	    1
Bareau De Girac, François (1730-1820)	NA	    1
Baretti, Giuseppe (1719-1789)	male	    3
Bargrave, John	NA	    1
Barker, John (1708-1748)	NA	    3
Barker, Thomas (1722-1809)	NA	    1
Barkley, Andrew	NA	    1
Barksdale, Clement (1609-1687)	ambiguous	    7
Barkstead, John (NA-1662)	NA	    4
Barlow, Joel (1754-1812)	ambiguous	   10
Barlow, Thomas (1607-1691)	NA	    5
Barlow, William (NA-1613)	ambiguous	    7
Barnard, Edward	NA	    3
Barnard, John (1685-1764)	NA	    1
Barnard, Thomas (1728-1806)	NA	    1
Barnaud, Nicholas (1539-NA)	NA	    2
Barnaud, Nicolas (1539-NA)	NA	    1
Barne, Miles (NA-1709)	NA	    1
Barnes, Joshua (1654-1712)	ambiguous	    2
Barnes, Robert (1495-1540)	ambiguous	    1
Barnett, Nehemiah (1615-NA)	ambiguous	    1
Baron, George (1652-NA)	ambiguous	    1
Baronio, Cesare (1538-1607)	NA	    1
Baron, Richard (1720-1768)	ambiguous	    1
Baron, William (1636-NA)	ambiguous	    3
Barrett, William (1733-1789)	ambiguous	    1
Barrington, Daines (1727-1800)	NA	    6
Barrington, John Shute (1678-1734)	male	    1
Barrington, Shute (1734-1826)	male	    6
Barrow, Henry (1550-1593)	ambiguous	    2
Barrow, Isaac (1630-1677)	NA	    1
Barrow, John	NA	    2
Barrow, Joseph Charles	ambiguous	    1
Barrow, William (1754-1836)	ambiguous	    1
Barruel,  (1741-1820)	NA	   15
Barry, Edward (1696-1776)	NA	    1
Barry, Henry (1750-1822)	ambiguous	    1
Barry, James (1741-1806)	NA	    1
Barry, John	NA	    2
Barton, Samuel (1648-1715)	NA	    1
Barton, Thomas (1730-1780)	NA	    2
Barton, William (1598-1678)	ambiguous	    2
Bartram, William (1739-1823)	ambiguous	    1
Barwick, John (1612-1664)	NA	    2
Barwick, Peter (1619-1705)	NA	    1
Barzoni, Vittorio (1768-1829)	NA	    4
Basill, William	ambiguous	    3
Basnage, Jacques (1653-1723)	ambiguous	    2
Bassa, Calvin	ambiguous	    1
Bassi, M	NA	    1
Baston, Samuel	NA	    2
Baston, Thomas	NA	    2
Bastwick, John (1593-1654)	NA	    2
Bastwick, Susanna	female	    1
Batchiler, John (1615-1674)	NA	    1
Bate, George (1608-1669)	ambiguous	   15
Bate, Henry	ambiguous	    1
Bateman, Christopher (1698-1730)	ambiguous	    1
Bateman, Edmund (1704-1751)	NA	    3
Bates, William (1625-1699)	ambiguous	    2
Bath, Henry Bourchier (1588-1654)	ambiguous	    1
Bathurst, Charles (NA-1700)	ambiguous	    1
Batman, Stephen (NA-1584)	NA	    1
Batten, William (NA-1667)	ambiguous	    5
Batt, Gil	NA	    1
Battie, John	NA	    2
Battye, Thomas	NA	    1
Batwell, Daniel	ambiguous	    1
Baudier, Michel (1589-1645)	ambiguous	    2
Baudouin, François (1520-1573)	NA	    2
Baxter, John	NA	    1
Baxter, Richard (1615-1691)	ambiguous	   11
Bayard, James A (1767-1815)	NA	    1
Bayard, Nicholas (1644-1707)	NA	    1
Bayard, William (1729-1804)	ambiguous	    2
Bayle, Pierre (1647-1706)	NA	    1
Bayley, Charles	ambiguous	    1
Baylies, William (1724-1787)	ambiguous	    2
Bayly, Thomas (NA-1657)	NA	    1
Baynton, Edward (1619-1679)	NA	    2
