gatherings	original_extent	final_pagecount	Count
8vo	23, [1] p.	24	   8
4to	56 p.	56	   8
12mo	xii,347,[13]p.,plates	376	   8
8vo	[2],69,[1]p.	72	   8
8vo	[4],107,[1]p.	112	   8
2fo	10p.	10	   8
8vo	iv,356p.	360	   8
4to	[2],22p.	24	   8
8vo	[2],109,[1]p.	112	   8
8vo	33,[1]p.	34	   8
8vo	[4],34p.	38	   8
8vo	17,[1]p.	18	   8
8vo	84p.	84	   8
8vo	[4],71,[1]p.	76	   8
8vo	[2],17,[1]p.	20	   8
8vo	3,[1]p.	4	   8
8vo	[4],80p.	84	   8
8vo	[2],36p.	38	   8
8vo	104p.	104	   8
4to	30p.	30	   8
8vo	21,[1]p.	22	   8
8vo	[2],60p.	62	   8
8vo	26,[2]p.	28	   8
8vo	22, [2] p.	24	   7
NA	7,[1]p.	8	   7
2fo	9,[1]p.	10	   7
12mo	8v.	1660	   7
4to	[2],17,[1]p.	20	   7
8vo	38,[2]p.	40	   7
8vo	[2],35,[1]p.	38	   7
8vo	[2],53,[1]p.	56	   7
8vo	[28] p.	28	   7
4to	[64] p.	64	   7
1to	1 sheet ([1] p.).	2	   7
8vo	35, [1] p.	36	   7
8vo	[4] p.	4	   7
4to	[No pagination provided]	4	   7
2fo	3 sheets (versos only)	6	   7
4to	5, [1] p.	6	   7
8vo	[80] p.	80	   7
2fo	[2] sheets	4	   7
4to	[4], 18 p.	22	   7
4to	[2], 6, 9-15, [1] p.	18	   7
4to	7 [i.e. 8] p.	8	   7
2fo	[4], 7, [1] p.	12	   7
4to	[4], 7, [1] p.	12	   7
4to	[8], 72 p.	80	   7
4to	[1], 6, [1] p.	8	   7
4to	[2], 11, [3] p.	16	   7
2fo	24 p.	24	   7
4to	[2], 23, [1] p.	26	   7
4to	[8], 80 p.	88	   7
4to	[4], 64 p.	68	   7
4to	[2], 50 p.	52	   7
4to	[2], 9 [i.e. 6] p.	8	   7
4to	[4], 10 p.	14	   7
4to	v., plates	4	   7
8vo	1 v.	4	   7
2fo	1 sheet ([2] p.).	2	   7
4to	22p.	22	   7
12mo	80p.	80	   7
8vo	58p.	58	   7
2fo	15,[1]p.	16	   7
12mo	27,[1]p.	28	   7
8vo	34,[2]p.	36	   7
4to	3,[1]p.	4	   7
12mo	144p.	144	   7
12mo	32p.	32	   7
2fo	1 sheet ([1] p)	2	   7
8vo	[18],234,[100]p.	352	   7
8vo	79,[1]p.	80	   7
4to	51,[1]p.	52	   7
8vo	[4],101,[3]p.	108	   7
8vo	[4],19,[1]p.	24	   7
8vo	[4],68p.	72	   7
8vo	128p.	128	   7
8vo	[2],56p.	58	   7
8vo	74p.	74	   7
8vo	[2],64p.	66	   7
12mo	6v.,plates	1269	   7
8vo	[4],50p.	54	   7
8vo	[4],27,[1]p.	32	   7
8vo	95,[1]p.	96	   7
8vo	59,[1]p.	60	   7
8vo	[4],72p.	76	   7
8vo	[2],72p.	74	   7
NA	24p.	24	   6
NA	23,[1]p.	24	   6
4to	22,[2]p.	24	   6
8vo	[4],206p.	210	   6
12mo	60p.,plate	62	   6
4to	9,[1]p.	10	   6
8vo	[4],74p.	78	   6
8vo	[2]p.	2	   6
8vo	21,[3]p.	24	   6
12mo	34p.	34	   6
4to	43,[1]p.	44	   6
8vo	[4],99,[1]p.	104	   6
4to	[56] p.	56	   6
NA	16 p.	16	   6
NA	4 leaves.	8	   6
2fo	7 p.	7	   6
4to	[2+] p.	2	   6
2fo	[2], 21, [1] p.	24	   6
8vo	[2], 12 p.	14	   6
8vo	12 p.	12	   6
4to	[8], 36 p.	44	   6
2fo	17, [1] p.	18	   6
2fo	1 sheet ([2]) p.	2	   6
2fo	[2], 4, [2] p.	8	   6
4to	[2] p.	2	   6
4to	[2], 53, [1] p.	56	   6
2fo	[2], 8 p.	10	   6
4to	21, [3] p.	24	   6
NA	7 p.	7	   6
NA	[6] p.	6	   6
4to	[2], 32, [2] p.	36	   6
4to	[8], 71, [1] p.	80	   6
4to	[2], 36 p.	38	   6
4to	63, [1] p.	64	   6
4to	[8], 40 p.	48	   6
4to	[8], 47, [1] p.	56	   6
2fo	[2], 30 p.	32	   6
4to	[4], 66, [2] p.	72	   6
4to	[4], 63, [1] p.	68	   6
8vo	[8], 392 p.	400	   6
4to	[4], 40 p.	44	   6
4to	[4], 14, [2] p.	20	   6
4to	[2], 5 [i.e. 6] p.	8	   6
4to	[4], 56 p.	60	   6
4to	[2], 62 p.	64	   6
4to	38, [2] p.	40	   6
4to	[4], 52 p.	56	   6
4to	13, [3] p.	16	   6
4to	34, [2] p.	36	   6
4to	43, [1] p.	44	   6
4to	[2], 4 [i.e. 6] p.	8	   6
2fo	[4], 12 p.	16	   6
4to	[8], 24 p.	32	   6
4to	[2], 48, [2] p.	52	   6
4to	[2], 41, [1] p.	44	   6
4to	[8], 22, [2] p.	32	   6
2fo	[4], 15, [1] p.	20	   6
2fo	v	5	   6
4to	10p.	10	   6
12mo	20p.	20	   6
8vo	27, [1] p.	28	   6
8vo	70p.	70	   6
2fo	[2], 22 p.	24	   6
8vo	[2],65,[1]p.	68	   6
4to	[2]p.	2	   6
8vo	37,[3]p.	40	   6
2fo	3v.	2148	   6
2fo	3 sheets	6	   6
2fo	3v.,plate	2154	   6
8vo	12v.,plates	4	   6
12mo	59,[1]p.	60	   6
8vo	77,[1]p.	78	   6
8vo	[4],32p.	36	   6
8vo	13,[3]p.	16	   6
8vo	78p.	78	   6
8vo	[4],xix,[1],182p.	206	   6
4to	[2],14p.	16	   6
8vo	[4],75,[1]p.	80	   6
8vo	[4],64p.	68	   6
8vo	[4],58,[2]p.	64	   6
12mo	47,[1]p.	48	   6
8vo	[4],iv,32p.	40	   6
8vo	[2],32p.	34	   6
12mo	4v.,plate	838	   6
4to	[4],28p.	32	   6
8vo	[2],36,[2]p.	40	   6
8vo	v,[1],201,[1]p.	208	   6
4to	[2],26p.	28	   6
4to	[4],27,[1]p.	32	   6
8vo	152p.	152	   6
4to	18p.	18	   6
8vo	160p.	160	   6
4to	[4],19,[1]p.	24	   6
NA	6p.	6	   5
8vo	5,[3]p.	8	   5
8vo	[4],188p.	192	   5
4to	39,[1]p.	40	   5
4to	6v.,plates	4	   5
8vo	[4],96p.	100	   5
12mo	v.2-8	1452.5	   5
8vo	36 p.	36	   5
8vo	[4],196p.	200	   5
2fo	4v.	2864	   5
8vo	127,[1]p.	128	   5
8vo	18,[2]p.	20	   5
8vo	[4],xxiii,[1],248,[4]p.,plate	282	   5
4to	5v.,plates	4	   5
8vo	65,[1]p.	66	   5
8vo	[2],101,[1]p.	104	   5
2fo	[2],10p.	12	   5
8vo	[4],108p.	112	   5
8vo	176p.	176	   5
8vo	[4],58p.	62	   5
8vo	94p.	94	   5
8vo	99,[1]p.	100	   5
12mo	71,[1]p.	72	   5
8vo	[2],70p.	72	   5
8vo	[8],128p.	136	   5
12mo	8 p.	8	   5
8vo	20 p.	20	   5
2fo	[1+] p.	1	   5
NA	[15] p.	15	   5
4to	[34] p.	34	   5
4to	[38] p.	38	   5
2fo	[4] leaves	8	   5
4to	[8], 149, [3] p.	160	   5
4to	[46] p.	46	   5
12mo	96 p.	96	   5
2fo	[No pagination provided]	4	   5
2fo	31, [1] p.	32	   5
8vo	[2+] p.	2	   5
2fo	1 sheet (verso blank)	2	   5
NA	[2], 14 p.	16	   5
2fo	[3] leaves.	6	   5
4to	26 p.	26	   5
4to	9, [1] p.	10	   5
2fo	1 sheet ([1] p.	2	   5
8vo	56 p.	56	   5
2fo	14 p.	14	   5
4to	[36], 47, [1] p.	84	   5
4to	[84] p.	84	   5
4to	[2], 78 p.	80	   5
4to	[2], 60, [2] p.	64	   5
8vo	[2], 28 p.	30	   5
4to	[2], 52, [2] p.	56	   5
2fo	[140] p.	140	   5
4to	[6], 14 p.	20	   5
2fo	[24] p.	24	   5
4to	[2], 6, [4] p.	12	   5
12mo	48 p.	48	   5
NA	[7] p.	7	   5
4to	[2], 44 p.	46	   5
8vo	[No pagination provided]	4	   5
NA	[16] p.	16	   5
4to	[8], 31, [1] p.	40	   5
2fo	3 p.	3	   5
4to	[2], 18, [2] p.	22	   5
4to	[4], 22, [2] p.	28	   5
4to	48 p.	48	   5
4to	[4], 99, [1] p.	104	   5
8vo	[2], 45, [1] p.	48	   5
4to	[2], 7, [1] p.	10	   5
4to	8, 7-12, [2] p.	14	   5
