gatherings	original_extent	final_pagecount	Count
8vo	2v.(CVIII,834,[2]p.)	944	   1
8vo	[4],196p.,table	202	   1
4to	v,[3],xviii,501,[13]p.,plates	539	   1
8vo	xvi,341,[3]p.,18plates	396	   1
8vo	40,249,[3]p.	252	   1
4to	[10],695,[1]p.	706	   1
8vo	v.4 ([8],418,[30]p.),plate	458	   1
12mo	[4],iv,182[i.e. 183],[1]p.	192	   1
2fo	9,[17]p.	26	   1
2fo	58p.	58	   1
8vo	v.3([4],168p.)	172	   1
8vo	v.5(xi,428,[2]p.),plates	445	   1
4to	4p	4	   1
4to	[4],iii,[1],465,[7]p.,plates	484	   1
8vo	liv,[2],80,316,[4]p.	376	   1
4to	[2],iii,[1],3-132,73-95,[1]p.	139	   1
8vo	[12],59,[1]p.	72	   1
4to	[2],ii,13,[1]p.	18	   1
8vo	[10],60p.	70	   1
4to	[4],59,[1]p.	64	   1
4to	[4],6,11,[1],13,[5],15-*21,[1],21-30,29*-30*,31-70,20p.	81	   1
2fo	65, [1]p.	66	   1
2fo	44, [2]p.	46	   1
4to	[2],70,[i.e.74]p.	76	   1
4to	[4],12p	16	   1
4to	[8],23,[1]p.	32	   1
2fo	11,[1],12-18,[1],19-39,[1],40-82,[1]p.	86	   1
8vo	xvi,32p	48	   1
4to	iv,20p	24	   1
8vo	[2],65,[1]p	68	   1
8vo	121,[1]p.	122	   1
8vo	viii,[1],6-108p.	112	   1
2fo	[4],32p.,plate	38	   1
2fo	[4],36p.	40	   1
8vo	xi,[1],22,[2]p.	36	   1
8vo	[6],125,[1]p.	132	   1
4to	[2],xxii,28p.	52	   1
8vo	122p.	122	   1
4to	Pp. [2], 32, [16]	50	   1
8vo	[2],iv,41,[1]p.	48	   1
8vo	viii,38,[2]p.	48	   1
12mo	xvi,166,[2]p.,plates	188	   1
8vo	[8],161,[1],vi,[2]p.	178	   1
8vo	lxxiip.	72	   1
8vo	[16],128p.	144	   1
8vo	[6],3-25,[1]p.	30	   1
8vo	xii,120p.	132	   1
8vo	xxv,[1],97,[1]p.,plate.	126	   1
12mo	46,[2]p.	48	   1
8vo	[4],vi,81,[1]p.	92	   1
8vo	vii,[1],76p.	84	   1
8vo	[2],5-29,[1]p	28	   1
12mo	[2],76p.	78	   1
8vo	[4],56p.,tables	64	   1
8vo	[2],89,[1]p.,tables	96	   1
12mo	[4],88p.	92	   1
8vo	[4],70,132p.	136	   1
8vo	[8],82,[2],261[i.e.129],[1]p.	140	   1
8vo	76[i.e.75],[1]p.	76	   1
8vo	[2],xxii,[2],67,[3],69-248p.plate	96	   1
8vo	x,121,[1]p.	132	   1
4to	[8],64;,87,[1]p.	160	   1
8vo	iv,87,[1]p.	92	   1
8vo	[4],47,[1]	52	   1
8vo	vii,[1],85[i.e.86],[2]p.	96	   1
8vo	[4],19,[5]p	28	   1
8vo	[8],276,[14]p.	298	   1
16mo	32p.	32	   1
8vo	[4],viii,71,[1]p.	84	   1
8vo	v,[1],34p.	40	   1
8vo	[16],181,[11]p.	208	   1
8vo	vii,[5],156p.	168	   1
8vo	[2],173,[1]p.	176	   1
8vo	xxii,[2],116p.	140	   1
8vo	[4],52,95,[1]p.	100	   1
8vo	47,[1]p	48	   1
8vo	[16],147,[1]p.	164	   1
4to	vi,41,[1]p.	48	   1
8vo	[4],41,[7]p.	52	   1
8vo	[2],ix,[1],36p.	48	   1
4to	48,[4]p.	52	   1
4to	[6],lxxxiv,[4],156p.,plates	254	   1
4to	[4],iii,[3],55,[1]p.	66	   1
8vo	[2],xv,[1],211,[1]p.	230	   1
12mo	vii,[1],60p.	68	   1
4to	[2],54p.,plates	60	   1
4to	xii,96p.	108	   1
12mo	[25],xxx-xcvip.	92	   1
12mo	vii,[1],183,[3]p.,plates	198	   1
4to	[2],8,[2]p.	12	   1
8vo	[4],vii,[1],62p.	74	   1
8vo	80p	80	   1
12mo	[8],266,[2],24p.	276	   1
8vo	[2],44,[8]p.,tables	58	   1
8vo	[4],35,[1],113,[3]p.,table	123	   1
12mo	viii,13,[1]p.	22	   1
8vo	[2],319,[1]p.	322	   1
8vo	[2],28,[2]p.	32	   1
8vo	20p.,plate	22	   1
8vo	iv,72p	76	   1
4to	146; [2], 62 p.	210	   1
8vo	[4],viii,19,[1]p.	32	   1
8vo	100,[1]p.	101	   1
8vo	[4],iv,[1],10-107,[3]p.	110	   1
8vo	124,[2]p.	126	   1
8vo	[6],xiii,[1],248,257-648,[8],32p.,plates	680	   1
8vo	xxii,156,[6]p.	184	   1
8vo	[2], 26p.	28	   1
8vo	[4],207,[1],lv,[1]p.	268	   1
8vo	[2], 48, [4] p.	54	   1
8vo	[4], 50, [2] p.	56	   1
8vo	xl,397,[3]p.	440	   1
8vo	[8],192p.,plates	204	   1
12mo	[5],iv,[1],viii,52p.	66	   1
12mo	[12],216,215,[1],217-401,[1]p.	415	   1
8vo	[2],xxvi,181-216p.,table	66	   1
2fo	[2],ii,28,12p.	32	   1
8vo	[4], 112 p., [1] folded leaf of plates	116	   1
2fo	iv,[6],576,573-706,[2]p.,plates	722	   1
12mo	[2],74p.	76	   1
8vo	xviii,22p.	40	   1
8vo	v,[1],320,[2],321-479,[1],45,[1],71,[1]p.,plate	492	   1
8vo	xv,[1],143,[1]p.	160	   1
8vo	viii, ix, [1], 70 p.	80	   1
8vo	[2],viii,[1],4-82,[2]p.	92	   1
4to	[2],xx,78,[2],XXIV,[2]p.	108	   1
8vo	xxiv,392p.	416	   1
8vo	viii,135,[1]p.,plates	148	   1
8vo	[6],xvii,[5],467,[1]p.	496	   1
2fo	[8],70,[2],213,[1]p.	224	   1
8vo	20,20p.	20	   1
8vo	[4],112,[4]p.	120	   1
4to	viii,72p.	80	   1
8vo	[6],viii,58p.	72	   1
8vo	xxiv,63,[1]p.	88	   1
8vo	Pp.1-190p.,table	192	   1
12mo	[2],138p.	140	   1
8vo	6,[1],10-24,21-32[i.e.30]p.	31	   1
8vo	[12],64p.	76	   1
8vo	viii, 108 p.	116	   1
16mo	[6],84,15,[1]p.	91	   1
8vo	184p.	184	   1
8vo	[2],xxx,304,321-420p.	452	   1
8vo	242,[2]p.	244	   1
4to	[4],lxxii,496,[12]p.	584	   1
8vo	[12],65,[7]p.	84	   1
4to	[2],18,7-10p.	20	   1
8vo	114,[2]p.,plates	120	   1
8vo	[4],104p.,plate	110	   1
8vo	xvi,544p.	560	   1
8vo	xii[i.e.xiii],[3],155,[9]p.	180	   1
8vo	xiii,[3],155,[1]p.	172	   1
8vo	x,[2],123,[1]p.	136	   1
8vo	[2],50,[2]p.	54	   1
8vo	[4],56,[8]p.	68	   1
8vo	[4],142p.	146	   1
8vo	[4],126,*77-*80p.	130	   1
8vo	[3],28,28,[1]p.	32	   1
8vo	[50],455,[1]p.	506	   1
8vo	[16],214,[22]p.	252	   1
8vo	xi,[3],113,[1]p.	128	   1
8vo	vii,[1],22p.	30	   1
8vo	[2],x,67,[1]p.	80	   1
2fo	[2],13,[1]p.	16	   1
8vo	vii,[1],158,[2]p.	168	   1
4to	[4],19,[1]p	24	   1
8vo	[4],103,[5]p.	112	   1
4to	[2],52,[4]p.	58	   1
8vo	[4],57,[1]p.	62	   1
8vo	[4],xxxi,[1],200p.	236	   1
8vo	xv,[2],10-186p.	194	   1
4to	xvi,35,[1]p.	52	   1
8vo	[16],184,[136]p.	336	   1
8vo	19,[5]p.	24	   1
8vo	[10],256p.	266	   1
8vo	[4],xliii,[1],110p.	158	   1
8vo	xxi,[1],92p.	114	   1
4to	xix,[1],101,[1]p.	122	   1
4to	viii,3-31,[1]p.	38	   1
12mo	Pp.[33],250-311,[1]	96	   1
8vo	2v., plate	628	   1
4to	[2],56p.	58	   1
8vo	[2],iv,[6],477,[7]p.	496	   1
8vo	[2],165,[1],v,[1]p.	174	   1
8vo	[5],iii-v,160p.,table,plate	172	   1
8vo	[3],6-26p.	24	   1
12mo	24,24p.	24	   1
4to	xii,255,[1]p.,plate	270	   1
8vo	viii,334[i.e.358]p.	366	   1
8vo	[8],372,[8]p.	388	   1
4to	[8],viii,368p.,plates	388	   1
8vo	[8],112p.	120	   1
4to	[4],56p.,plate	62	   1
8vo	110,[1],4-60p.	111	   1
8vo	24,xlviii,64p.,plate	114	   1
12mo	[9],ii-x,162;[2],40,[20]p.,plates	246	   1
12mo	viii,239,[1],16p.	248	   1
8vo	[6],88;,[4],104,[4]p.,plates	210	   1
4to	xii,453,[3]p.,plates	472	   1
12mo	vi,[2],336,59,[1]p.,plates	349	   1
4to	[6],423,[1]p.	430	   1
2fo	[2],428,433-460p.,plates	466	   1
4to	[2],ii,76p.,plate	82	   1
4to	[2],56,[2]p.	60	   1
4to	iv,71,[1]p.,plate	78	   1
8vo	[4],240p.	244	   1
12mo	[5],viii-xvi,415,[1]p.	430	   1
8vo	[10],59,[1]p.,plate	72	   1
8vo	[4],35,[1]p	40	   1
8vo	[144]p.	144	   1
8vo	[2],61,[1]p.,plate	66	   1
8vo	iv,56p	60	   1
8vo	114,[2]p.	116	   1
8vo	[2],iv,48,13,[1]p.	55	   1
12mo	[2],62p.	64	   1
8vo	[4],iii,[1],23,[1]p.	32	   1
8vo	viii,18,[2]p.	28	   1
8vo	2v.(CLI,[1],800p.)	952	   1
8vo	91,[3]p.	94	   1
8vo	xxxi,[1],246,[2]p.	280	   1
4to	23,[3]p.	26	   1
12mo	72p.,ill.	72	   1
8vo	xxiv,[2],96,89-96,95-114p.	140	   1
4to	[4],75,[1]p.	80	   1
8vo	v,[3],137,[3],58,[2]p.	150	   1
8vo	[4],282,[6]p.	292	   1
12mo	[4],284p.	288	   1
8vo	283,[1],32p.	284	   1
4to	[2],6,9-32p.	34	   1
8vo	[4],256,[8]p.	268	   1
12mo	180p., plates	184	   1
8vo	[2],32,31*-32*,33-64,73-133,[1]p.	136	   1
4to	[2], 21, 24-48, 69-84 p.	86	   1
8vo	[4], 22, 25-72 p.	76	   1
4to	Pp.1-48	48	   1
8vo	[16],47,[1]p.	64	   1
8vo	15[i.e.16]p.	16	   1
4to	[4],53,[1]p.table	60	   1
4to	[4],53,[1]p.,table	60	   1
8vo	4,116p.	116	   1
8vo	xxxii,324,[2]p.	358	   1
8vo	xii,163,[1]p.	176	   1
8vo	vii,[1],55,[1]p.	64	   1
4to	[4],iv,887,[13]p.,plates	912	   1
8vo	[4],2,[1],6-62p.	67	   1
8vo	[2],648,[2],70p.	652	   1
12mo	[6],174,[2]p., [1] leaf of plates	184	   1
8vo	[2],66,75-90p.	92	   1
8vo	190p.	190	   1
8vo	[28], 196 p.	224	   1
8vo	4p.,plate	6	   1
8vo	29,[i.e.30]p	30	   1
4to	[6],22p.	28	   1
4to	[6],25,[1]p.	32	   1
8vo	34[i.e.36],[2]p.	38	   1
8vo	iv,65[i.e. 67],[1]p.	72	   1
8vo	[2],ii,49,[1]p.	54	   1
4to	viii,19,[1]p.	28	   1
4to	[4],32,[36]p.	72	   1
8vo	[2],viii,41,[1]p.	52	   1
2fo	[4],123,[1]p.	128	   1
8vo	36,29-66,[2]p.	68	   1
8vo	7, [1]p.	8	   1
2fo	1 sheet ([1])	2	   1
4to	32,[16],33-56p.	72	   1
16mo	iv,305,[1]p.	310	   1
4to	[4],118p.	122	   1
4to	vi,161,[1]p.	168	   1
4to	[4],115,[1]p.	120	   1
8vo	[4],83,[1]p	88	   1
4to	[2],8p.	10	   1
8vo	[8],23,[9]p.	40	   1
8vo	[6],78,[8]p.	92	   1
12mo	xxxi,[1],229,[3]p.	264	   1
8vo	xxviii,255,[1]p.	284	   1
8vo	xvi,420,[8]p.	444	   1
8vo	xii,51,[1],44p.	64	   1
8vo	56,16p.	56	   1
8vo	[2],iv,85,[1] [i.e.94]p.	101	   1
8vo	15[1]p.	4	   1
8vo	vii,[1],63,[1]p.	72	   1
8vo	[4],iv,119,[1]p.	128	   1
12mo	94, [2] p.	96	   1
4to	[2],42p.,plates	48	   1
8vo	[4],43,[1]p.,plate	50	   1
8vo	[6],69 [i.e.81], [1] p.	88	   1
8vo	viii,70,[2]p.	80	   1
8vo	[8],114,[2]p.	124	   1
8vo	[4],56,65-176;45,[1]p.	226	   1
8vo	xx,140p.,51plates	262	   1
8vo	89,[1]p., plate	92	   1
8vo	viii,130,[2]p.	140	   1
12mo	[3],vi-vii,[3],98p.	106	   1
8vo	140p.	140	   1
8vo	[4],177,[1]p.	182	   1
8vo	[12],5-26,[2]p.	36	   1
8vo	viii,160,167-173,[1]p.	182	   1
8vo	xv,[1],*104,38,29-224p.,plates	244	   1
8vo	[2],42,[4]p.	48	   1
4to	[2],20,[2]p.	24	   1
8vo	iv,38p.	42	   1
8vo	viii,173,[1]p.	182	   1
8vo	vi,154p.	160	   1
8vo	32;12p.	44	   1
12mo	iv,158p.	162	   1
8vo	24,[2],55,[1]p.	58	   1
8vo	24,[2],54p.	56	   1
8vo	[4],viii,184p.	196	   1
8vo	v,[1],27,[1]p.	34	   1
8vo	xxiv, 115, [1] p.	140	   1
8vo	16,14,[2]p.	18	   1
8vo	[4],28,4p.	32	   1
8vo	vii,[1],30p.	38	   1
8vo	vi,9-74p.	72	   1
8vo	[2],xxiii,[2],1,3-49,[1]p.	77	   1
8vo	[4],304p.	308	   1
4to	79,[1]p.	80	   1
8vo	134,[2]p.	136	   1
8vo	[6],10p.	16	   1
8vo	iii,[1],74,[2]p.,plates	84	   1
8vo	[4],87,[1]p.,plates	96	   1
4to	viii,[1],4-194p.,plate	202	   1
8vo	[4],117,[1]p.,plate	124	   1
8vo	xxxii,111,[1]p.	144	   1
8vo	155,[5]p.	160	   1
8vo	[4],53,[13]p.,fold.tables	74	   1
4to	16[i.e.20]p.	20	   1
8vo	[120]p.	120	   1
8vo	[6],274p.	280	   1
8vo	[10],33,[1]p.	44	   1
8vo	[16],173,[3]p.	192	   1
8vo	[4],230[i.e.228]p.	232	   1
8vo	xxxiv,[2],xxxii,75,[1]p.	112	   1
8vo	viii, xxxi, [1], 48; 32, xvi p., plate	130	   1
4to	xxiv;62,[2]p.	88	   1
12mo	viii,130,[2]p.	140	   1
4to	93,[3]p.,plates	100	   1
8vo	xiv,127,[1];80p.	222	   1
8vo	[20],84p.	104	   1
8vo	[2],v,[1],34p.	42	   1
8vo	[4],lxxiv,74p.	152	   1
8vo	xvi,[3],xviii-xxiv,[3],26-243,[1]p.,plates	253	   1
2fo	130[i.e.136],19,[1]p.	137	   1
8vo	[3], vi-xii, 32, vi, [1], 8-220 p.	236	   1
4to	[36],828p.	864	   1
8vo	3v.([4],vi,[2],264,[10];[2],993,[23]p.)	1304	   1
8vo	48;32p.	80	   1
8vo	[2],29[i.e.49],[1]p.	52	   1
8vo	[4],xi,[3],201,[35]p.,plates	258	   1
4to	212p.	212	   1
8vo	[2],ii,226p.,plates,table	236	   1
8vo	68[i.e.60]p.	60	   1
8vo	viii,[2],181,[1]p.	192	   1
8vo	[10],181,[1]p.	192	   1
8vo	[8],208p.	216	   1
2fo	[2]p	2	   1
8vo	xvi,3-46,[2]p.	62	   1
8vo	[2],x,226,[6]p.,plate	246	   1
4to	264p.	264	   1
8vo	viii,[4],99,[1]p.	112	   1
8vo	xxx,lxxii,96,[2]p.	170	   1
2fo	[4],iv,88[i.e.90],41[i.e.43],[1]p.	99	   1
8vo	[52]p.	52	   1
8vo	[2],168p.	170	   1
4to	196p.,plate	198	   1
8vo	[2],16,26,43,[1]p	46	   1
12mo	[5],x-xvi,[1],iv-vi,259,[1]p.	282	   1
4to	[2],54p.	56	   1
8vo	[3],6-55,[1]p.	54	   1
4to	[2],vi,23,[1]p.	32	   1
8vo	[8],100p.	108	   1
8vo	[4],viii,24p.	36	   1
8vo	viii,101,[1]p.,plate	112	   1
4to	88p.	88	   1
8vo	[4],154,xxxi,48,[3]p.	192	   1
8vo	43,[1]p	44	   1
8vo	[4],63,[5]p.	72	   1
4to	[4],21,[1]p	26	   1
8vo	[10],38,[2]p.	50	   1
4to	xxi,[3],ix,[1],ix,[1],555,[1]p.	582	   1
8vo	xxiv,71,[1],23,[1]p.	97	   1
8vo	[8],28p.	36	   1
8vo	[2],xvi,[6],260,[4]p.,table	290	   1
8vo	[2], 80, [2] p.	84	   1
8vo	[2],150p.	152	   1
8vo	iv,555,[1]p.	560	   1
4to	[8],319,[1]p.	328	   1
4to	[4],128p.	132	   1
8vo	2v.(LXXI,[1],873,[3]p.)	948	   1
4to	xiv,[2],193,[1]p., plate	212	   1
8vo	16p.,plate	18	   1
8vo	xiv,[2],56p.	72	   1
8vo	[2],v [i.e.vii],[1],99,[1]p.	110	   1
8vo	[2],115,[1]p.	118	   1
8vo	[2],vi,39,[1]p.	48	   1
4to	[4],8,8,31,[1],16,8,31,[1],8p.,plates	41	   1
8vo	viii,45,[1]p.	54	   1
8vo	138,[2]p.	140	   1
8vo	135,[1]p.	136	   1
8vo	98,xivp.	112	   1
8vo	vi,[2],71,[1]p.	80	   1
4to	[4],lxx,462,[32]p.,plates	572	   1
8vo	[4],122,[26]p.	152	   1
4to	[14],xxxii,321,[55]p.	422	   1
4to	xxxii,321,[55]p.	408	   1
8vo	40,7,[1]p.	41	   1
2fo	pp.5-8	4	   1
4to	[4],39,[1]p.	44	   1
8vo	xvi,181,[3]p.	200	   1
8vo	[2],xii,3-77,[1]p.	90	   1
8vo	[2],vi,5-150,[2]p.	156	   1
8vo	viii,190p.	198	   1
4to	[2],48p.	50	   1
8vo	[2],vi,vii,[1],xv,[2],10-288,[2]p.,plates	305	   1
8vo	xx,356,[4]p.	380	   1
8vo	56 [i.e.55], [1] p.	56	   1
4to	[12],120p.	132	   1
8vo	viii,[1],4-102p.	108	   1
8vo	86,[14]p.	100	   1
8vo	[2],16,19-50p.	52	   1
8vo	80,91-154,7,[1],4p.	155	   1
4to	[6],41,[1]p.	48	   1
8vo	Pp.[2],1-80	82	   1
8vo	xii,103,[1]p.	116	   1
8vo	66,67*-68*,67-157,[1]p.	158	   1
12mo	[2], x, 276 p.	288	   1
12mo	146p.	146	   1
12mo	[4],107,[1]p.	112	   1
8vo	[2],37,[3]p.	42	   1
8vo	[4],100,[12]p.	116	   1
8vo	xxxix,[1],322p.,plate	364	   1
8vo	xxxi,[1],252p., plate	286	   1
2fo	x,27,[1]p.,CLX plates	358	   1
8vo	viii,54p.	62	   1
8vo	24,[2]p.	26	   1
8vo	[4],191,[1]p.	196	   1
8vo	[2],5,[7],8p.	17	   1
4to	[6],48,[2]p.	56	   1
12mo	[2],xx,[14],196p.	232	   1
12mo	140p.	140	   1
8vo	viii, [4], 208p	220	   1
8vo	xii,148;43,[5]p.	208	   1
8vo	132p.	132	   1
8vo	[2],xii,57,[7]p.	78	   1
12mo	77,[3]p.	80	   1
12mo	iv,195,[1]p.	200	   1
12mo	54p.	54	   1
18mo	[4],154p.	158	   1
12mo	xii,82,[2]p.	96	   1
8vo	[4],48,47-98p.	102	   1
8vo	[6], 97, [1] p.	104	   1
8vo	[2],iv,77,[3]p.	86	   1
8vo	[4],viii*,xxviii,168,[2]p.	202	   1
8vo	xx,244p.	264	   1
8vo	2v.([2],816p.)	818	   1
4to	[2],37,[1]p.	40	   1
8vo	viii,156p.	164	   1
8vo	91,[1],93-100p.	101	   1
8vo	90,[2]p.	92	   1
8vo	68,[4]p.	72	   1
4to	35,[5]p.	40	   1
8vo	viii,156p	164	   1
8vo	xxxii,36p.,table	70	   1
8vo	[4],xxx,[6],112,xiv,216p., table	258	   1
12mo	xxiii,[1],260[i.e.236]p.	260	   1
8vo	[6],112p.	118	   1
12mo	[8],94p.	102	   1
12mo	xii,179,[1]p.,table	194	   1
12mo	[8],180p.,table	190	   1
8vo	[4],vii,[1],143,[1]p.	156	   1
8vo	xvi,44p.	60	   1
8vo	viii,45,[3]p.	56	   1
4to	28,xx p.	48	   1
12mo	xviii,186p.	204	   1
8vo	[4],iv,56,[4]p.	68	   1
8vo	[4],69,[7]p.	80	   1
8vo	[2],ii,iii,[1],100p.	106	   1
8vo	25,[7]p.	32	   1
8vo	15,[1]p.,table	18	   1
8vo	[4],95[i.e.93],[1]p.	98	   1
4to	19,[1]p.,table	22	   1
8vo	[2],50p.,table	54	   1
8vo	[4],192,28p.	196	   1
8vo	[8],124,[4]p.	136	   1
8vo	[4],51,[1],34,[2]p.	58	   1
4to	62,[2]p.	64	   1
4to	[2],lxx,[2],462,[32]p.,plates	572	   1
8vo	[4], 210, [2] p.	216	   1
8vo	xiv,44p.	58	   1
4to	[2],101,[1]p.	104	   1
4to	[2],iii,[1],22,[16]p.	44	   1
8vo	xvi,392p.	408	   1
12mo	[6],182p.,plate	190	   1
8vo	viii, 495, [1] p., plates	508	   1
8vo	[10], 400, [10] p.	420	   1
12mo	225,[1] p.	226	   1
2fo	[2], 175-185, [1] p.	14	   1
4to	[2], 209-508, [2] p., [1] folded leaf of plates	304	   1
8vo	[14], 288 p.	302	   1
4to	[2], 56 p., [103] leaves of music	264	   1
12mo	235, [5] p.	240	   1
12mo	3 v. ([2], 432, [8]; [2], 332, [8]; [2], 392, [8] p., [1] leaf of plates)	1188	   1
2fo	p. [2], 431-440	12	   1
8vo	24 p	24	   1
12long	3 v. (72 p.)	72	   1
16mo	16 p.	16	   1
12long	23, [1] p.	24	   1
12long	52 p.	52	   1
8vo	361, [9] p.	370	   1
4to	[4], 167, 176-242 p.	246	   1
2fo	[72] p.	72	   1
12mo	[10], 211, [3] p.	224	   1
16mo	[24] p.	24	   1
4to	[2], 13, [3], 14 p.	19	   1
4to	[10], 215, [1] p.	226	   1
4to	1 sheet (verso blank)	2	   1
8vo	[2], 75, [5], 13, [1] p.	83	   1
4to	[6], 12, [2] p.	20	   1
8vo	[4], 144 leaves	292	   1
NA	[47] p.	47	   1
4to	[8], 77, [11] p.	96	   1
8vo	[28+] p.	28	   1
2fo	71 [i.e. 73], [20] leaves	113	   1
NA	289, [13], 171 [i.e. 271], [9], 231, [11], 122, [4]; [2], 99, [1]; 212 p.	640	   1
4to	[16], 156, [12], 207, [13] p.	248	   1
2fo	[12], 250 p.	262	   1
4to	[2] p., pp. 254-274 p.	276	   1
8vo	[2], 182 p.	184	   1
4to	[6+], 212 p.	218	   1
12mo	[8], 228, [2] p.	238	   1
12mo	[8], 16 p.	24	   1
8vo	[12], 42 p.	54	   1
8vo	128, [4] leaves	136	   1
8vo	[1], 129, [6] leaves	142	   1
4to	[4], 308, 313-316, 309-312, 317-549, [1] p.	554	   1
2fo	[4], [4], 7, [1], 202, [2], 218 p., [3] leaves of plates (1 folded)	235	   1
12mo	[14] p.	14	   1
1to	1 sheet ([1] p.]	2	   1
2fo	3 leaves ([6] p.)	6	   1
2fo	XXVIII leaves	56	   1
2fo	viii, x-xiii, xix-xlv folios	19	   1
2fo	lxviii leaves	136	   1
2fo	xxxii leaves	64	   1
2fo	xxxiii, [1] folios	33	   1
2fo	xxxiij, [1] leaves	35	   1
2fo	xxvii., [1] leaves	29	   1
2fo	[152] p.	152	   1
16mo	[130] p.	130	   1
2fo	[24], 369; [2], 571 p.	966	   1
16mo	[16] p.	16	   1
8vo	[4], 40 leaves	84	   1
8vo	[8], 136 p.	144	   1
4to	[8], 209, [7] p.	224	   1
4to	[48+] p.	48	   1
2fo	[8] leaves of plates	16	   1
16mo	104 p.	104	   1
4to	[8], 32, 41-139, [1], 140-314; 80; [28], 17-48, [104]; [4], 58 p.	629	   1
4to	[40], 193, [17], 250, [12], 344+ p.	413	   1
8vo	74 p.	74	   1
4to	[14], 875, [1] p.	890	   1
8vo	[23], CXVIII, CXX-CXXII, [20] p.	165	   1
4to	[3], 2-67 [1] p.	70	   1
4to	[6]p.	6	   1
2fo	[11] leaves	22	   1
8vo	[8], 71, 68-449, [1]p.	458	   1
4to	[7], 16, [1] leaves	25	   1
4to	[4], 100 p	104	   1
8vo	[238] p.	238	   1
4to	[2], 4, [8] p.	14	   1
4to	[4], 4, 13-20, 13-17, [3] p.	27	   1
8vo	102, [2] p.	104	   1
NA	8 p. ;c4⁰.	8	   1
4to	[2], 1, 4-7, [1], 7-18 p.	21	   1
4to	[2], 21 [i.e. 22] p.	24	   1
4to	[2], 6, [6] p.	14	   1
4to	[2], 13 [1] p.	2	   1
4to	6, p. 9, p. 19, 11-13, p. 12, 15-16 p.	16	   1
4to	[2], 9, 12-14, 13-14 p.	16	   1
4to	[2], 7, 7-13 p.	15	   1
4to	[2], 7, 7-14 p.	16	   1
4to	pp. [21]-24	4	   1
4to	pp. 25-28	4	   1
4to	pp. [29-32]	4	   1
4to	pp. 29-40	12	   1
4to	pp. 45-48	4	   1
4to	pp. [85-88]	4	   1
4to	pp. 89-92	4	   1
4to	pp. 93-[96]	4	   1
4to	pp. 117-120	4	   1
4to	pp. 121-124	4	   1
4to	pp. 125-[128]	4	   1
4to	pp. 141-[144]	4	   1
4to	pp. 145-148	4	   1
4to	pp. 149-[152]	4	   1
4to	pp. 153-156	4	   1
4to	pp. 157-160	4	   1
4to	pp. 161-164	4	   1
4to	pp. 189-192	4	   1
4to	pp. 193-196	4	   1
4to	pp. 197-200	4	   1
4to	pp. 257-260	4	   1
4to	pp. [261]-264	4	   1
4to	pp. [265]-268	4	   1
4to	pp. [269]-272	4	   1
4to	pp. [273-276]	4	   1
4to	pp. 277-280	4	   1
4to	pp. [285]-288	4	   1
4to	pp. [289]-212	289	   1
4to	pp. 293-[296]	4	   1
4to	pp. [297-300]	4	   1
4to	pp. 241-244	4	   1
4to	pp. 245-248	4	   1
4to	pp. 249-252	4	   1
4to	pp. 275-278	4	   1
4to	Pp. 279-282	4	   1
4to	Pp. 293-296	4	   1
4to	Pp. 297-300	4	   1
4to	Pp. 301-304	4	   1
4to	Pp. 305-308	4	   1
4to	pp. 29-32	4	   1
4to	pp. 37-40	4	   1
4to	pp. [45]-48	4	   1
4to	pp. 49-52	4	   1
NA	pp. [5]5-58 ;4⁰.	59	   1
4to	pp. 57-60	4	   1
4to	pp. 61-64	4	   1
4to	pp. 65-68	4	   1
4to	pp. 69-72	4	   1
4to	pp. 73-76	4	   1
4to	p. [2], 129-142	16	   1
4to	pp. [175]-190	16	   1
4to	[2], 467-497, [1] p.	34	   1
4to	[2], 6, 9-16, 15-21, [2] p.	25	   1
4to	14, 13-17, [1] p.	18	   1
4to	[2], 4+ p.	6	   1
4to	[2], 19, [3] p.	24	   1
4to	[6], 22, [2] p.	30	   1
4to	[2], 19, [1], p.	22	   1
4to	[2], 8, 7-22 p.	24	   1
4to	[2], 18, 17, 18-20 p.	22	   1
12mo	[4], 282, [2] p.	288	   1
12mo	[6], 303, [1] p.	310	   1
12mo	[8], 303, [1] p.	312	   1
8vo	110 p.	110	   1
4to	4 sheets (versos blank)	8	   1
4to	[2], 3, [i.e. 13], [1] p.	19	   1
8vo	[24], 199, [1] p.	224	   1
8vo	46, [1] leaves	48	   1
8vo	299, 298-349 [i.e. 351], [23] p.	374	   1
4to	[6], 225, [5] p.	236	   1
8vo	[16], 113, 110 [i.e.114]-215, [5] p.	236	   1
4to	[10], 72 p.	82	   1
2fo	[4], 335, [5] p.	344	   1
24mo	[358] p., [1] folded leaf of plates	358	   1
24mo	360 p., [4] folded leaves of plates	360	   1
2fo	[12], 155-923, [47] p.	828	   1
8vo	[10], 436, [11] leaves	468	   1
16mo	[32], 460, [30] p.	522	   1
4to	[16], 124, [4]; [16] 240, [16]; [8], 227, [35]; [2], 174, [8]; [8], 90; 43, [1] p., 4 leaves of plates (maps)	1020	   1
4to	[4], 4, [16] p.	24	   1
4to	[4], 384, [72] p.	460	   1
8vo	[16], 73, [1] p.	90	   1
1to	1 sheet ([2]) p.	2	   1
4to	[2], 11, [1], 8, 30, [4]	37	   1
8vo	109, [1] p.	110	   1
2fo	[2]+	2	   1
8vo	[2], 65, [5] p.	72	   1
8vo	[136] p.	136	   1
