tokens
T.A.
T.B.
T.C.
T.D.
T.E.
T.F.
T.G.
T.H.
T.J.
T.L.
T.M.
T.N.
T.P.
T.R.
T.S.
T.V.
T.W.
T[ace].
T[hackeray].
T[homas].
T[hompson].
T[imothy].
T[onson].
T[urner].
T[wyn].
T[yler].
Th.
Theo.
Tho.
Tho[mas].
Thom.
Thomas.
Thos.
Tim.
Timoth.
Tom.
typ.
Typ.
typog.
Typog.
typogr.
Typograph.
typographi.
Typographi.
u.
U.
Univ.
Up.
V.
V.S.
V[alentine].
V[ere].
Val.
varu.
VI.
vi.
viii.
VIII.
viz.
voc.
vocat.
vulg.
VV.
VV[illiam].
VVill.
W.
w.
W.A.
W.B.
W.C.
W.D.
W.E.
W.G.
W.H.
W.I.
W.J.
W.L.
W.M.
W.O.
W.P.
W.R.
W.S.
W.T.
W.W.
W[arren].
W[hite].
W[ilkins].
W[illiam].
W[ilson].
W[right].
Wal.
Wil.
Will.
Willm.
Wm.
X.
XC.
XCII.
XCIV.
XCV.
Y.
Y[oung].
ye.
Z.
Zech.
