gatherings	physical_extent	estimated_pagecount	Count
4to	[8],334p.,plate	NA	1
4to	1 sheet	576	1
4to	[16],xix,[1],274p.	100	1
4to	[8],32p.	100	1
12mo	[4],108p.	576	1
4to	[24],365,[1]p.	100	1
8vo	xxii,[3],10-248p.	96	1
8vo	xxiv,[2],180p.	1539	1
2fo	1 sheet	350	1
12mo	2v.	330	1
4to	viii,46p.	100	1
2fo	63,[1]p.	184	1
12mo	[10],292p.	1446	1
8vo	228p.,plates	96	1
12mo	3v.,plates	627	1
2fo	xvi,383,[1];160,161-188,161-335,[45]p.,plates	NA	1
4to	[2],141,[1]p.	100	1
NA	44p.	1989	1
12mo	12p.	100	1
12mo	24p.	100	1
2fo	16p.	598	1
2fo	[8],60p.	100	1
8vo	viii,336p.	96	1
NA	[3],vi-xv,[1],234p.	1518	1
8vo	7,[4],10-17,18*-17*,18-51,[5]p.	1653	1
8vo	7,[1]p.	96	1
2fo	35,[1]p.	848	1
12mo	136,[8]p.	825	1
12mo	140p.	1015	1
4to	8p.	100	1
4to	32p.	100	1
2fo	53,[1]p.	368	1
8vo	15,[1]p.	703	1
4to	[2],xxxvii,[1],53,[1]p.	317	1
2fo	[4],vi,[6],76,[4]p.	312	1
NA	6p.	888	1
8vo	[2],23,[1]p.	544	1
4to	12p.	18	1
2fo	[18],194p.	781	1
12mo	61,[1]p.	100	1
2fo	230,[2]p.	100	1
24mo	[4],224,[4]p.,plate	NA	1
12mo	8p.	878	1
12mo	12p.	113	1
12mo	1sheet	786	1
4to	12p.	NA	1
2fo	2v.	368	1
8vo	[4],52p.	96	1
8vo	[2],390p.	426	1
4to	36p.	100	1
NA	vi,130p.	NA	1
12mo	[4],31,[1]p.	1137	1
8vo	vii,[2],26-64p.	900	1
2fo	[4],75,[1]p.	100	1
8vo	[2],37,[1]p.	96	1
2fo	[4],26p.	100	1
2fo	[16],162,[6]p.	276	1
2fo	[8],174,179-235,238-482p.,plates	314	1
8vo	[2],8p.	540	1
8vo	[14],15,[1]p.	NA	1
8vo	1 sheet	1407	1
4to	[6],642;176p.	1194	1
NA	1 sheet	NA	1
4to	4v.,plates	384	1
