original	gatherings.original	width.original	height.original	obl.original	gatherings	width	height	obl	area	Count
11 cm.	NA	NA	11.0	FALSE	NA	 8.0	11.0	NA	  88.00	   1
52 x 21 cm.	NA	21	52.0	FALSE	NA	21.0	52.0	NA	1092.00	   1
39 cm (2⁾.	NA	NA	39.0	FALSE	2fo	26.0	39.0	 0	1014.00	   1
34cm.	NA	NA	34.0	FALSE	2fo	22.0	34.0	 0	 748.00	   1
21 x 18 cm.	NA	18	21.0	FALSE	4to	18.0	21.0	 0	 378.00	   1
1.̊	1to	NA	NA	FALSE	2fo	30.0	45.0	 0	1350.00	   1
4⁰.;4⁰.	4to	NA	NA	FALSE	4to	22.0	28.0	 0	 616.00	   1
37-47 cm (2⁰)	2fo	NA	NA	FALSE	2fo	30.0	45.0	 0	1350.00	   1
32 x 19 cm.	NA	19	32.0	FALSE	2fo	19.0	32.0	 0	 608.00	   1
23 x 13 cm.	NA	13	23.0	FALSE	8long	13.0	23.0	 0	 299.00	   1
29 cm.	NA	NA	29.0	FALSE	NA	20.0	29.0	NA	 580.00	   1
24 cm. (4⁰)	4to	NA	24.0	FALSE	4to	19.0	24.0	 0	 456.00	   1
43-65 cm.	NA	NA	NA	FALSE	NA	NA	NA	 0	NA	   1
15 cm. (12mo and 8vo)	NA	NA	15.0	FALSE	16mo	12.0	15.0	 0	 180.00	   1
30 cm (2⁰)	2fo	NA	30.0	FALSE	2fo	20.0	30.0	 0	 600.00	   1
40 x 26 cm.	NA	26	40.0	FALSE	2fo	26.0	40.0	 0	1040.00	   1
28 x 16 cm.	NA	16	28.0	FALSE	NA	16.0	28.0	NA	 448.00	   1
1/2⁰..	2fo	NA	NA	FALSE	2fo	30.0	45.0	 0	1350.00	   1
8⁰ 1 volvelle.	NA	NA	NA	FALSE	NA	NA	NA	 0	NA	   1
22 cm. (4⁰)	4to	NA	22.0	FALSE	4to	18.0	22.0	 0	 396.00	   1
16 cm. (8vo and 12mo)	NA	NA	16.0	FALSE	NA	11.0	16.0	NA	 176.00	   1
Obl.8⁰.	8vo	NA	NA	 TRUE	8vo	19.0	13.0	 1	 247.00	   1
34 x 23 cm.	NA	23	34.0	FALSE	2fo	23.0	34.0	 0	 782.00	   1
2⁰(3).	2fo	NA	NA	FALSE	2fo	30.0	45.0	 0	1350.00	   1
16cm (8⁰)	8vo	NA	NA	FALSE	8vo	13.0	19.0	 0	 247.00	   1
