"metadata_ESTCID,""Freq"",""TotalLength"""
"T109210,""4"",""95809"""
"N032651,""4"",""59990"""
"T034022,""2"",""12428"""
"W003418,""2"",""68075"""
"T031680,""2"",""8651"""
"T125828,""2"",""44099"""
"T002968,""2"",""23744"""
"T079991,""2"",""30255"""
"T020462,""2"",""4216"""
"N011177,""4"",""122370"""
"T010635,""2"",""43108"""
"T178984,""4"",""169256"""
"T110673,""2"",""291550"""
"T129570,""2"",""38288"""
"T147676,""2"",""33801"""
"T033327,""2"",""31384"""
"N014331,""2"",""6084"""
"T057206,""2"",""29250"""
"T082477,""4"",""138476"""
"T200356,""2"",""15083"""
"T094012,""2"",""10636"""
"T063349,""2"",""10702"""
"T108821,""2"",""13293"""
"T147224,""2"",""12236"""
"T110731,""2"",""7980"""
"W021061,""2"",""16704"""
"W020611,""2"",""11736"""
"T082477,""2"",""121198"""
"T137321,""2"",""14936"""
"T021268,""2"",""16553"""
"T119641,""2"",""34556"""
"T108808,""2"",""11715"""
"T131923,""4"",""43307"""
"T103363,""2"",""4302"""
"T057633,""2"",""8596"""
"T012435,""2"",""29165"""
"T078793,""2"",""12397"""
"T048102,""4"",""1052"""
"T009694,""2"",""16464"""
"T075205,""2"",""72494"""
"T144719,""2"",""118384"""
"T042422,""2"",""23721"""
"T087677,""2"",""16938"""
"T155206,""2"",""171033"""
"T074058,""2"",""16943"""
"N021219,""2"",""1387"""
"N024430,""2"",""2784"""
"T086830,""4"",""21258"""
"T107813,""2"",""7308"""
"T002958,""2"",""9622"""
"T146092,""2"",""70978"""
"T087037,""4"",""43182"""
"T096668,""4"",""168230"""
"T075078,""2"",""11492"""
"N003705,""2"",""98521"""
"T117685,""2"",""12807"""
"N026017,""2"",""8401"""
"T082477,""8"",""178835"""
"T145739,""4"",""116637"""
"T003999,""2"",""16531"""
"T048388,""2"",""10610"""
"T005897,""2"",""16540"""
"T006295,""2"",""73383"""
"T038569,""2"",""31927"""
"T108754,""4"",""4112"""
"T068907,""2"",""30693"""
"T065453,""4"",""35134"""
"T118042,""2"",""10879"""
"W031464,""2"",""86184"""
"T145739,""6"",""116607"""
"T116106,""4"",""32151"""
"N012641,""2"",""7347"""
"T049608,""4"",""21529"""
"T096551,""8"",""47566"""
"T103375,""2"",""66038"""
"T052794,""4"",""24080"""
"N052538,""6"",""170504"""
"N050174,""4"",""120890"""
"T113111,""2"",""43761"""
"T145322,""2"",""58614"""
"T193398,""2"",""30029"""
"T040178,""2"",""67849"""
"W021979,""2"",""44541"""
"T097742,""2"",""29177"""
"T106620,""2"",""5492"""
"T060481,""2"",""43855"""
