"location","unified_form","url","parent_location","level"
"Burton-street","","","",6
"Burton-Stseet","","","",
"Bury","","","",
"Bury-Street","","","",6
"Cambridge","","","",6
"Cambridgeshire","","","",
"Canning-Street","","","",6
"Cannon Street","","","",6
"Cannon-street","","","",6
"Cannon-Street","","","",6
"Canterbury","","","",3
"Capei-Street","","","",6
"Capel Street","","","",6
"Capel-Street","","","",6
"Capel-street","","","",6
"Capel-Street.","","","",6
"Capil-Street","","","",6
"Caple-Street","","","",6
"Carey Street","","","",6
"Carlisle Bridge","","","",6
"Carlisle-Bridge","","","",6
"Carlton House","","","",7
"Carnbourn Street","","","",6
"Carpenter Bond Street","","","",6
"Carthusian Street","","","",6
"Castle Street","","","",6
"Castle Street","","","",6
"Castle-Alley","","","",6
"Castle-Green","","","",
"Castle-Lane","","","",6
"Castle-Market","","","",
"Castle-Street","","","",6
"Castle-street","","","",6
"Castlestreet","","","",6
"Catharine Street","","","",6
"Catharine-Street","","","",6
"Catherine Street","","","",6
"Catherine-Street","","","",6
"Catherine-street","","","",6
"Cathirine-street","","","",6
"Cavendish-Square","","","",6
"Cavendish-Street","","","",6
"Chalton Street","","","",6
"Chancery-Lane","","","",6
"Chancery-lane","","","",6
"Chandos-Street","","","",6
"Chapel","","","",7
"Chapel Street","","","",6
"Chapel-Street","","","",6
"Chapel-street","","","",6
"Chapter-House","","","",7
"Char Genre","","","",
"Charing Cross","","","",
"Charing-Cross","","","",
"Charity-School","","","",
"Charles Street","","","",6
"Charles-Street","","","",6
"Charles-street","","","",6
"Charles-town","","","",
"Charlton","","","",
"Chatham-Street","","","",6
"Chcap-Side","Cheapside Street","https://mapoflondon.uvic.ca/CHEA2.htm","London",6
"Cheap-Street","Cheapside Street","https://mapoflondon.uvic.ca/CHEA2.htm","London",6
"Cheap-street","","","",6
"Cheapside","Cheapside Street","https://mapoflondon.uvic.ca/CHEA2.htm","London",6
"Chelmsford","","","",
"Cherry Street","","","",6
"Cherry-Street","","","",6
"Chesham","","","",
"Chesnut Street","","","",6
"Chesnut-Street","","","",6
"Chesnut-street","","","",6
"Chester","","","",
"Chesterfield","","","",
"Chestnut-Street","","","",6
"Chifwell Street","","","",6
"Chiswel-Street","","","",6
"Chiswell street","","","",6
"Chiswell Street","","","",6
"Chiswell-Street","","","",6
"Chiswell-street","","","",6
"Chiswill Street","","","",6
"Christ Church-Lane","","","",6
"Christ-Church-Lane","","","",6
"Church","","","",7
"Church Street","","","",6
"Church-Street","","","",6
"Church-street","","","",6
"Cicero's Head","","","",
"Circulating Library","","","",7
"Circulating-Library","","","",7
"city and county of York","","","",
"City Road","","","",6
"City-Road","","","",6
"Clare-Court","","","",6
"Clare-Street","","","",6
"Clerges-Street","","","",6
"Clerkenwell","","","",
"Clerkenwell-Close","","","",
"Cleveland-Row","","","",
"Cliffords-Inn Lane","","","",6
"Cock and Swine","","","",
"Cockey-Lane","","","",6
"Cockspur Street","","","",6
"Cockspur-Street","","","",6
"Cockspur-street","","","",6
"Coffee-Yard","","","",6
"Coghill's-Court","","","",6
"Coleman Street","","","",6
"Coleman-Street","","","",6
"Coleman-street","","","",6
"Colfman-street","","","",6
"College","","","",
"College Street","","","",6
"College-Gate","","","",6
"College-Geern","","","",
"College-Grates","","","",
"College-Green","","","",
"College-Street","","","",6
"Compton-Street","","","",6
"Coney-street","","","",6
"Convocation-House","","","",7
"Cook-Street","","","",6
"Cook-street","","","",6
"Cope-street","","","",6
"Cope-Street","","","",6
"Copper-Alley","","","",6
"Cork-Hill","","","",
"Corn-Street","","","",6
"Corn-street","","","",6
"Cornhil","","","",
"Cornhill","","","",3
"Correct State Lottery-Office","","","",
"Council-House Street","","","",6
"County of Derby","","","",
"County Street","","","",6
"Courier press","","","",7
"Court Street","","","",6
"Court-Street","","","",6
"Covent Garden","","","",
"Covent-Garden","","","",
"Coventry","","","",
"Coventry-Street","","","",6
"Cow-Lane","","","",6
"Cowley's Head'","","","",
"Cowley's-Head","","","",
"Craig's Court","","","",6
"Craig's-Court","","","",6
"Cranborn-street","","","",6
"Cranbourn Street","","","",6
"Crane Court","","","",6
"Crane-Court","","","",6
"Crane-Lane","","","",6
"Cree-Church-Lane","","","",6
"Cripplegate","","","",6
"Crispin Street","","","",6
"Crispin-Street","","","",6
"Crispin-street","","","",6
"Crose","","","",
"Cross","","","",
"Cross Keys","","","",
"Cross-Keys","","","",
"Cross-Keys and Bible","","","",
"Cross-Street","","","",6
"Cross-street","","","",6
"Crow-street","","","",6
"Crow-Street","","","",6
"Crown","","","",
"Crown and Mitre","","","",
"Crown Court","","","",6
"Crown-Street","","","",6
"Crown-Tavern","","","",7
"Cursitor Street","","","",6
"Curzon Street","","","",6
"Curzon-Street","","","",6
"Dale-Street","","","",6
"Dame -Street","","","",6
"Dame Street","","","",6
"Dame-Street","","","",6
"Dame-street","","","",6
"Dame's-Street","","","",6
"Dames-Street","","","",6
"Damw-street","","","",6
"Dan Street","","","",6
"Daniel-Street","","","",6
"Darby","","","",
"Dartmouth Street","","","",6
"Dartmouth-street","","","",6
"Dean Street","","","",6
"Dean-Street","","","",6
"Denison-Street","","","",6
"Denmark Street","","","",6
"Denmark-Street","","","",6
"Derby","","","",
"Dereham","","","",
"Devereux-Court","","","",6
"Devonshire Street","","","",6
"Devonshire-Street","","","",6
"Dial and Bible","","","",
"Dick's Coffee-House","","","",7
"Ditch-side","","","",
"Dock Street","","","",6
"Dock-Head","","","",
"Docking","","","",
"Dogwell-Court","","","",6
"Dolphin","","","",
"Dolphin and Crown","","","",
"Dorset Street","","","",6
"Dorset-Street","","","",6
"Dorset-street","","","",6
"Dorsetshire","","","",
"Dove","","","",
"Dove and Bible","","","",
"Downham","","","",
"Dr Cullen's Head","","","",
"Dr. Garth's Head","","","",
"Drafton-street","","","",6
"Dramatic Repository","","","",
"Drary Lane","","","",6
"Drotwitch","","","",
"Drummond Street","","","",6
"Drury Lane","Drury Lane","https://mapoflondon.uvic.ca/DRUR2.htm","London",6
"Drury-Lane","Drury Lane","https://mapoflondon.uvic.ca/DRUR2.htm","London",6
"Drury-Lane.","Drury Lane","https://mapoflondon.uvic.ca/DRUR2.htm","London",6
"Dryden's Head","","","",
"Dublin","Dublin","http://dublin1798.com/index.htm","Ireland",3
"Duck-Lane","","","",6
"Dudley","","","",
"Duke Street","","","",6
"Duke-Street","","","",6
"Duke-street","","","",6
"Duke's Court","","","",6
