"location","unified_form","url","parent_location","level"
"Temple-Exchange","","","",
"Temple-Exchange Coffee-House","","","",7
"Temple-Gate","","","",6
"Temple-Gates","","","",
"Temple-Gloysters","","","",
"Temple-street","","","",6
"Temple-Street","","","",6
"Thames-Street","","","",6
"that End of Great Queen-Street.","","","",6
"Theatre","","","",7
"their chapel","","","",7
"their fortunate and correct State-Lottery Office","","","",
"their Printing-house","","","",7
"their printing-office","","","",
"their respective Circulating Libraries","","","",
"their respective circulating Libraries","","","",
"their warehouse","","","",7
"Third Street","","","",6
"Third-Street","","","",6
"Third-street","","","",6
"Thomas-Street","","","",6
"Thomas's Street","","","",6
"Thomas's-Street","","","",6
"Thornhaugh Street","","","",6
"Threadneedle Street","","","",6
"Threadneedle-Street","","","",6
"Threadneedle-street","","","",6
"Three Crowns","","","",
"Three Crowns and Looking-Glass","","","",
"Three Flower-de-Luces","","","",
"Three Flower-deluces","","","",
"Three Golden Flower-de-Luces","","","",
"Three Poets","","","",
"Throgmorton-Street","","","",6
"Tillotson's-Head","","","",
"Titchfield-Street","","","",6
"to Bridge","","","",6
"to Castie-Market","","","",
"to Cloisters","","","",
"to Cloysters","","","",
"to Cross-Well","","","",
"to Horse-Guard","","","",
"to Niddrey's-Wynd","","","",
"to Niddry's-Wynd","","","",
"to Rose Tavern","","","",7
"to Somerset-House","","","",7
"Tom's Coffee-House","","","",7
"Tooley Street","","","",6
"Tooley-Street","","","",6
"Tooley-street","","","",6
"Toregate-Street","","","",6
"Tothill Street","","","",6
"Tower Street","","","",6
"Tower-Hill","Tower Hill","https://mapoflondon.uvic.ca/TOWE1.htm","",
"Tower-street","","","",6
"Tower-Street","","","",6
"town and country","","","",
"Town and Country","","","",
"Town and Country.","","","",
"Town-Street","","","",6
"Townsend-Street","","","",6
"Tradd-Street","","","",6
"Trinity-street","","","",6
"Trinity-Street","","","",6
"Trongate","","","",6
"Trumpington-Street","","","",6
"Tully's Head","","","",
"Tully's-Head","","","",
"Tunbridge-Wells","","","",
"Turk's Head","","","",
"Turk's-Head","","","",
"Turl","","","",
"Turle","","","",
"Turn-again-Lane","","","",6
"Turn-Again-Lane","","","",6
"Turnpike","","","",
"Two Bibles","","","",
"Two Temple Gates","","","",
"two Temple-Gates","","","",
"Tycho Brahe's Head","","","",
"Tyne Bridge End","","","",
"Unicorn","","","",
"Union Street","","","",6
"Union-Street","","","",6
"United States","","","",
"Universal Register-Office","","","",
"University","","","",
"University-Press","","","",7
"Univorne","","","",
"Upper Eaton-Street","","","",6
"Upper Mary-le-bone Street","","","",6
"Upper Mary-Le-Bone Street","","","",6
"Upper Mary-LE-Bone-Street","","","",6
"Upper Marybone-Street","","","",6
"Upper Thames Street","","","",6
"Upper-Mary-le-bone Street","","","",6
"Upper-Mary-le-bone-street","","","",6
"Upper-Moorfields","","","",
"Upper-Street","","","",6
"Vernon-Street","","","",6
"Villiers' Street","","","",6
"Vine","","","",
"Vine-Court","","","",6
"Vine-Street","","","",6
"Wakefield","","","",
"Wall-Street","","","",6
"Walsall","","","",
"Wapping","","","",
"Wardour street","","","",6
"Wardour Street","","","",6
"Wardour Street","","","",6
"Wardour-Street","","","",6
"Wardrobe Court","","","",6
"Warren Street","","","",6
"Warren-Street","","","",6
"Warren-Street","","","",6
"Warriston's Close","","","",
"Warriston's Closs","","","",
"Warwic-Court","","","",6
"Warwick Court","","","",6
"Warwick Lane","Warwick Lane","","",6
"Warwick lane","Warwick Lane","","",6
"Warwick Square","","","",6
"Warwick Street","","","",6
"Warwick Street","","","",6
"Warwick-Lane","Warwick Lane","","",6
"Warwick-lane","Warwick Lane","","",6
"Warwick-Square","","","",6
"Warwick-Street","","","",6
"Warwick-street","","","",6
"Warwick-Street","","","",6
"Washington's Head","","","",
"watch-house","","","",7
"Water Street","","","",6
"Water Street","","","",6
"Water-Lane","","","",6
"Water-lane","","","",6
"Water-Side","","","",
"Water-side","","","",
"Water-Side.","","","",
"Water-Street","","","",6
"Water-Street","","","",6
"Watling Street","","","",6
"Watling-Street","","","",6
"Well-Meadow","","","",
"Well-Street","","","",6
"Well-Street","","","",6
"Wellclose Square","","","",6
"Wellclose-Square","","","",6
"Wellclose-Squre","","","",
"Wells-Street","","","",6
"Wells-Street","","","",6
"Welsh-Pool","","","",
"Welshpool","","","",
"West","","","",
"West - Smithfield","","","",
"West End","","","",
"West King-Street","","","",6
"West Smithfield","","","",
"West Street","","","",6
"West-Chester","","","",
"West-Cowes","","","",
"West-end","","","",
"West-End","","","",
"West-Minster","","","",
"West-minster","","","",
"West-Port","","","",
"West-port","","","",
"West-Row","","","",
"West-smith-field","","","",
"West-Smith-field","","","",
"West-smithfield","","","",
"West-Smithfield","","","",
"West-Springfield","","","",
"West-Square","","","",6
"West-Street","","","",6
"West-street","","","",6
"West-street","","","",6
"Westchester","","","",
"Westgate-Buildings","","","",
"Westgate-Street","","","",6
"Westgate-Street","","","",6
"Westminister","","","",
"Westminister-Hall","","","",
"Westminster","","","",
"Westminster Bridge","","","",6
"Westminster Hall","","","",
"Westminster-Bridge","","","",6
"Westminster-Hall","","","",
"Westminster-hall","","","",
"Westminster-Street","","","",6
"Westminster-Street","","","",6
"Westmoreland Buildings","","","",
"Westmoreland-Buildings","","","",
"Wheatsheaf","","","",
"Wheel alley","","","",6
"Whitchurch","","","",7
"White chapel","","","",7
"White Fryers","","","",
"White Hart","","","",
"White Swan","","","",
"White-Chapel","Whitechapel","","",7
"White-Fleet-Street","","","",6
"White-Friers","","","",
"White-Fryars","","","",
"White-Fryers","","","",
"White-hall","","","",
"White-Hall","","","",
"White-hall Dock","","","",
"White-Hart","","","",
"White-hart-court","","","",6
"White-Hart-Court","","","",6
"White-Hart-Yard","","","",6
"White-Horse Inn","","","",
"White-Lion-Alley","","","",6
"White-Lion-Street","","","",6
"White-Rose Court","","","",6
"White-Rose-Court","","","",6
"White-Rose-court","","","",6
"White-Row","","","",
"White-Swan","","","",
"White's Chocolate House","","","",7
"White's Chocolate-House","","","",7
"White's Coffee-House","","","",7
"Whiteball","","","",
"Whitechapel","Whitechapel","","",7
"Whitechapel Road","","","",6
"Whitechapel Road-Side","","","",
"Whitechapel-Bars","","","",
"Whitechapel-Road","","","",6
"Whitechappel","","","",7
"Whiteehapel","","","",
"Whitefriars","","","",
"Whitehall","Whitehall","https://mapoflondon.uvic.ca/WHIT5.htm","",
"Whitehaven","","","",
"Whiteheaven","","","",
"Widegate Street","","","",6
"Widegate-Street","","","",6
"Wigmore-Street","","","",6
"Wild Street","","","",6
"Wild-Court","","","",6
"Wild-Street","","","",6
"Wilde-Street","","","",6
"Will's Coffee-House","","","",7
"William-Street","","","",6
"Wilson Street","","","",6
"Wilson-Street","","","",6
"Wilson's Street","","","",6
"Wimpole Street","","","",6
"Wimpole-Street","","","",6
"Wimpole-street","","","",6
"Winchester","","","",
"Winckworth's Buildings","","","",
"Windmill","","","",
"Windmill Street","","","",6
"Windmill-Street","","","",6
"Windmill-street","","","",6
"Wine office-court","","","",6
"Wine Street","","","",6
"Wine-Office-Court","","","",6
"Wine-Street","","","",6
"Wine-street","","","",6
"Winetavern-street","","","",6
"Winkworth's-Buildings","","","",
"Winpole Street","","","",6
"Wisbech","","","",
"Witch-Street","","","",6
"Woburn Street","","","",6
"Woeurn Street","","","",6
"Wood St Westr","","","",
"Wood Street","","","",6
"Wood-Street","","","",6
"Woodstock-Street","","","",6
"Woodstreet","","","",6
"Worcester","","","",
"Worcester-Street","","","",6
"Worcestershire","","","",
"World","","","",
"Worship Street","","","",6
"Worship-Street","","","",6
"Wrexham","","","",
"Wych-Street","","","",6
"Yarmouth","","","",
"York","","","",
"York - Buildings","","","",
"York Buildings","","","",
"York Street","","","",6
"York-house","","","",7
"York-Streeet","","","",
"York-Street","","","",6
"York-street","","","",6
"York.","","","",
"Yorkstreet","","","",6
