"","x"
"187","Mitre"
"188","Nando's Coffee-House"
"189","Char Genre"
"190","Golden Lyon"
"191","Catharine-Street"
"192","Three Crowns"
"193","Sun and Moon"
"194","Crane-Court"
"195","Feathers"
"196","Buchanan's-Head"
"197","Queen's Head"
"198","Whitehall"
"199","Chapter-House"
"200","Aldermary church yard"
"201","Stonecutter-Street"
"202","Green-Dragon"
"203","Royal Exchange"
"204","Aldermary Church Yard"
"205","Three Poets"
"206","Stationers' Court"
"207","Fleet-street"
"208","Shakespear's-head"
"209","Prujean-Court"
"210","Grays-Inn-Gate"
"211","St. Martin's Church"
"212","Bell-Yard"
"213","Ireland"
"214","Leg and Star"
"215","Inner-Temple-Lane"
"216","Spinning-wheel"
"217","Circulating Library"
"218","White-Fryars"
"219","King's Arms"
"220","Bow-church yard"
"221","Golden Ball"
"222","Foundery"
"223","Katharine-Street"
"224","Foundry"
"225","Seven Stars"
"226","St. Martin's-Lane"
"227","Plato's Head"
"228","Oxford-Theatre"
"229","Pall-Mail and"
"230","Saint Paul's Church-Yard"
"231","Rose and Crown"
"232","White Hart"
"233","Rev. Mr. Wesley's preaching-houses"
"234","Fore-Street"
"235","Angel and Crown"
"236","School-Room"
"237","Bible and Sun"
"238","Somerset-House"
"239","Nagg's Head-Court"
"240","Drury-Lane"
"241","Dolphin"
"242","Bow-Church-Yard"
"243","Red-Lion"
"244","Aldermary Church-Yard"
"245","Circulating-Library"
