gatherings	physical_extent	estimated_pagecount	Count
8vo	2 v. ([4], 124; [4], 132 p.)	652	   1
8vo	2 v. ([16], 545, [23]; 630, [34] p.)	652	   1
2fo	63 parts	NA	   1
8vo	3 v. ([26], 784, [12] p.)	978	   1
8vo	2 v. ([16], 258, [2], 176, 102, [2] p., folded plate)	652	   1
4to	2 v. ([18], xi, xii-lxxxiv, [4], 80, 101-396, 389-482, 401-567, [17]; [4], xxxv, [1], 168 p., 169-175 [i.e. 184] leaves, 201-424, 301-540, 401-561, [15] p.)	NA	   1
NA	[40] p.8⁰.	NA	   1
2fo	864 p. in various paginations.	NA	   1
8vo	2 v. ([20], 260; [16], 323, [1] p.)	652	   1
8vo	2 v. ([18], 416, [4]; [2], 434, [6] p.), 34 leaves of plates (2 frontis.)	652	   1
4to	32t p.	346	   1
8vo	5 vol. ([72], 192, 183-227, [1]; [16], 168, 177-240, 141-156, 241-271, [1]; [14], 272; [4], 335, [1]; [16, 167, [1] p., [3] leaves of plates	1630	   1
4to	1 v. ([4], 46; [2], 38; [2], 46; [16], 164; [4], 43, [1] p.)	346	   1
4to	2 v. in 1	NA	   1
12mo	1 v. ([12], 143, [1], 156; [10], 74; 102, [2]; [2], 140, [2] p.)	478	   1
12mo	1 v. ([6], 126, [4]; [12], 167, [1]; [12], 153, [3]; 120 p.)	478	   1
12mo	1 v. ([12], 276; [12], 237, [3]; [12], 216 p.)	478	   1
12mo	1 v. ([12], 204; [8], 183, [1], 11, [1]; [12], 143, [1]; [12], 130, [2] p.)	478	   1
2fo	2 v. (vol.1: [10], 45 [i.e, 703], [9]; [4], 293, [1], 54, [1], 54-69, 68-82, 81-85, [1]; 35, [1] p.; vol.2: [10], 56, 59-60, 63-232, 201-772, [4] p.)	924	   1
4to	1 v. in various pagings	346	   1
8vo	2 v. ([34], 256, 267-465, [17]; [8], 356, [28] p., [7] plates)	652	   1
12mo	2 v. ([26], 400, [24], 192, [2], 167, [1], 203, [13], 144, [4], 152 p.)	286	   1
NA	[2] p.1/2⁰.	NA	   1
2fo	9 v. (v.1: [20], XII, xiii-lxxvj p., 1380 columns; v.2: [4] p., 1403-1586, 1585-1654, 1667-2796, 2805-2868 columns; v.3: [4] p., 2877-3852, 3851-4568 columns; v.4: [4] p., 4605-7064 columns; v.5: [4] p., 7125-8204 columns, [4] p., 8277-8788, 8805-9302 columns, [3] p., 9501-9634 columns, [1] p.; v.6: [4], lxviij p., 2108 columns; v.7: [4] p., 2113-5016 columns; v.8: [4] p., 648, 647-694, 697-1010, 1009-2190 columns; v.9: [4], 2215-4538, 4541-4548 columns, 4549-4566 p., 4567-4708 columns), [11] leaves of plates (mostly folded)	4158	   1
2fo	2 v. ([12], 364, 4 leaves of plates; [2], 493 p., 50 leaves of maps (24 double))	924	   1
2fo	2 v. ([6], xl, 559, [1]; [2], 558, [2] p., [2] leaves of plates)	924	   1
2fo	3 v. ([4], 5-48, iv, 120, [22], 139-270 p., 271-274 l., [2], 275-441, [1], p. 442, [1]; [4], 443-528, 525-568, 545-812, [2], p. 819, 836-837, 822-872; [4], 112, 105-363, [1] p.	1386	   1
2fo	2 vol. in 1, ([1048?] p.)	924	   1
8vo	2 v. ([1014]; [226] p.)	652	   1
4to	34 (i.e. 36) p.	346	   1
2fo	2 v., ([12], 120, [2], 19, [5], 118, [4], 46; [4], 159, [5], 120, [2], 37, [5], 142, [14] p.)	924	   1
4to	2 v. ([10], 854, [20]; [2], 620, [10] p.)	NA	   1
4to	[13] leaves of plates (incl. t.p.)	346	   1
2fo	[8] p. 44, 4008 col.	NA	   1
8vo	2 v. (13, [3], XL, 461, [3]; 4, 333, [1]; CLXVIII p.)	652	   1
12mo	2 v. (v.1 [12], 96 p.)	286	   1
8vo	3 v. ([16], 394, [18], 119, [9] p.), 3 leaves of plates	978	   1
8vo	52 maps	385	   1
4to	1 v. ([6], 11, [1]; [2], 22; [2], 20, [2]; [2], 20, [2]; 19, [1]; [2], 19, [3]; [2], 11, [1]; [2], 13, [1]; [16] p.)	346	   1
NA	2 v. ([2], 60 maps, [8] leaves of plates; 46 maps, [14] leaves of plates)	NA	   1
8vo	2 v. ([4], viii, 878, [2] p.)	652	   1
4to	19. [1] p.	346	   1
8vo	3 v. ([2], xxxv, [1], xiv, 158, 149-270, 196, [4]; [2], 304; 92, [4] p., [2] folded leaves of plates)	978	   1
4to	2 v. ([4]; [2], 43, [1]; [2], 50, [2]; [2], 58, [2]; [8], 75, [1]; [2], 41, [1]; [2], 49, [1]; [2], 57, [1]; [4], 59, [1]; [2], 99, [1]; [2], 38; [2], 60, [2]; [4], 46, [4]; [4]; [4], 56; [2] 59, 50-51, [1]; [2], 45, [1]; [2], 54; [2], 52, [2]; [2], 94; [2], 38, [2]; [2], 33, [3]; [2], 60, [2]; [2], 40, [2]; [2], 28, [2]; [2], 32; [4], 43, [1]; [4], 44 p.)	NA	   1
2fo	2 v. ([2], xxiv, [10], 772, [34]; [2], 758, [32] p., [2] leaves of plates	924	   1
12mo	2 v. ([12], 11, [1], 88, [2], 18; [24], 192 p.)	286	   1
2fo	347 v.	16804.7142857143	   1
2fo	v., plates	NA	   1
2fo	57 v.	2760.42857142857	   1
2fo	1 v. ([2],490,4 p.)	NA	   1
NA	11 v. :b24 cm (4⁰)	NA	   1
8vo	3 v., plates (fold.)	978	   1
8vo	1 v., plates (fold.)	385	   1
4to	v., plates (fold.)	346	   1
8vo	1 v. (348,[12] p.), plates	385	   1
12mo	14 v., plate	2198	   1
4to	2 v., plates	218	   1
12mo	v., plates (fold.)	478	   1
12mo	3 v., plates (fold.)	429	   1
8vo	250 v.	62250	   1
2fo	8 v.	387.428571428571	   1
8vo	18 no., collected in 3 v.	385	   1
12mo	v., plates (fold)	478	   1
8vo	v., plates (colored)	385	   1
4to	13 v.	1417	   1
8vo	12 v., plates (some fold.)	NA	   1
8vo	1 v. ([4],353,[1]p.)	385	   1
2fo	1 v. (vi,263,[1]p.)	NA	   1
4to	10 v., plates (hand colored)	NA	   1
8vo	v., plate (fold.)	385	   1
8vo	2 v. ([4],84,[4],85-132,137-172,[4])	652	   1
NA	v. ; 64 cm.	NA	   1
NA	153 no.	NA	   1
NA	12 no.	NA	   1
8vo	1 v. (416,[5]p.)	385	   1
NA	27 v.	NA	   1
NA	v. ; 49 cm.	NA	   1
NA	6 no.	NA	   1
NA	v. ; 46 cm.	NA	   1
NA	30 v.	NA	   1
NA	2 v. : ill. (chiefly advertisements)	NA	   1
NA	82 no.	NA	   1
NA	17 v.	NA	   1
NA	88 nos.	NA	   1
NA	130 no.	NA	   1
NA	20 v.	NA	   1
NA	41 no.	NA	   1
NA	21 nos.	NA	   1
NA	138 v.	NA	   1
NA	738 no.	NA	   1
NA	3 v. ; 47 cm.	NA	   1
NA	53 no.	NA	   1
NA	126 no.	NA	   1
NA	529 no.	NA	   1
2fo	12 no.	NA	   1
NA	34 v.	NA	   1
NA	4 v. ; 36-46 cm.	NA	   1
NA	8 no.	NA	   1
NA	14 no.	NA	   1
NA	18 no.	NA	   1
NA	98 v.	NA	   1
8vo	65 v.	16185	   1
NA	429 no.	NA	   1
8vo	27 v.	NA	   1
NA	309 no.	NA	   1
4to	18 v.	NA	   1
4to	85 v.	9265	   1
2fo	69 v.	3341.57142857143	   1
4to	39 v.	4251	   1
2fo	156 v.	7554.85714285714	   1
8vo	69 v.,plates	17181	   1
12mo	v., plate (fol.)	478	   1
NA	104 v.	NA	   1
NA	28 v.	NA	   1
4to	4 v.	436	   1
NA	25 no.	NA	   1
2fo	17v.	NA	   1
2fo	1 v	NA	   1
8vo	36v., plates (some fold.)	8964	   1
2fo	13v.	NA	   1
8vo	50 v., plates	12450	   1
4to	105 v.	11445	   1
8vo	8 v., plates (fold.)	1992	   1
2fo	100 v.	4842.85714285714	   1
8vo	7 v., plates (some fold.)	2282	   1
2fo	94 v.	4552.28571428571	   1
2fo	66 v.	3196.28571428571	   1
8vo	61 v., plates	15189	   1
4to	106 v.	11554	   1
2fo	81 v.	3922.71428571429	   1
8vo	1 v. ([2],256p.)	385	   1
8vo	v., plates (some fold)	385	   1
8vo	12 v., plate	NA	   1
8vo	v., plates (some col., some fold.)	385	   1
8vo	8 v., plates	2608	   1
8vo	12 v., plates (some fold)	NA	   1
8vo	6 v. (320 p.)	1494	   1
4to	2 v., plates (some fold.)	218	   1
8vo	3 v., plates (some fold.)	747	   1
8vo	1 v. ([2],xvii,[1],80p.)	385	   1
8vo	1 v. (vii,557,[11]p.)	385	   1
8vo	27 v., plate	NA	   1
12mo	36 v.	5652	   1
8vo	34 v.	8466	   1
8vo	14 v.	NA	   1
4to	15 v.	NA	   1
NA	1v.	NA	   1
8vo	1 v. (280 p.)	385	   1
8vo	4 v., plates (some fold.)	996	   1
2fo	v., plate	NA	   1
12mo	8 v., col. plates	1144	   1
8vo	25 v.	NA	   1
12mo	12 v.	NA	   1
12mo	v.,: plates	478	   1
4to	5 v., [1] leaf of plates	NA	   1
8vo	17 v., plate	NA	   1
2fo	295 v.	14286.4285714286	   1
2long	7 v.	NA	   1
8vo	3 v. , plate	978	   1
8long	2 v., plates, (some fold.)	NA	   1
8long	12 v., plates, (some fold.)	NA	   1
8vo	58 v., plates	14442	   1
8vo	1 v. (364 p.)	385	   1
8vo	10 v., plates (some fold.)	3260	   1
8vo	145 v., plates	36105	   1
8vo	3 v., plates (some fold., some col.)	978	   1
8vo	1 v., plates, (some fold.)	385	   1
2long	46 v.	NA	   1
4to	1 v. ([202] leaves), plates	346	   1
8vo	v., plates, (some fold.)	385	   1
2fo	350 v.	16950	   1
8vo	43 v., plate	10707	   1
8vo	27 v., plates (some fold.)	NA	   1
2long	8 v.	NA	   1
8vo	22 v.	NA	   1
8vo	3 v. (310,[2]p.)	978	   1
12mo	50 v.	7850	   1
2long	27 v.	NA	   1
2fo	120 v.	5811.42857142857	   1
12mo	12 v.	1884	   1
8vo	8 v., plates (some fold.)	2608	   1
12mo	24 v.	NA	   1
12mo	26 v.	NA	   1
8vo	61 v.	15189	   1
8vo	v., plates (some col.)	385	   1
8vo	5 v., plates (some col.)	1630	   1
8vo	30 issues in 5v., plates (some fold.)	385	   1
8vo	1 v. (55,[1]p.)	385	   1
8vo	1 v. (viii,510 p.)	385	   1
NA	v. ;2⁰.	NA	   1
12mo	6 v.	942	   1
2fo	5 v.	242.142857142857	   1
8vo	11 v., plates (some fold.)	2739	   1
2fo	68 v.	3293.14285714286	   1
2fo	89 v.	4310.14285714286	   1
8vo	33 v., plates (some col.)	8217	   1
8vo	4 v., plates (some fold.)	1304	   1
12mo	51 v.	8007	   1
1to	21 v.	NA	   1
8vo	48 v., plates (some fold.)	11952	   1
8vo	15 v., plates (some fold.)	3735	   1
8vo	113 v., plates (some fold.)	28137	   1
8vo	1 v. ([2],24p.)	385	   1
4to	41 v.	4469	   1
8vo	146 v.	36354	   1
8vo	29 v.	7221	   1
8vo	v. :bill.	385	   1
2fo	1 v. :bill.	NA	   1
8vo	168 v.	41832	   1
4to	7 v. :bill.	NA	   1
4to	4 v., plates	NA	   1
8vo	23 v.	NA	   1
8vo	46 v.	11454	   1
1to	v. :bill.	NA	   1
1to	15 v. :bill.	NA	   1
8vo	72 v.	17928	   1
2fo	1 v. [2 p.]	NA	   1
4to	60 v.	6540	   1
8vo	20 v., plates	NA	   1
8vo	90 v., plates	22410	   1
NA	v. , plates :;89 microfiches	NA	   1
8vo	84 v.	20916	   1
8vo	105 v.	26145	   1
2fo	63 v.	3051	   1
8vo	102 v.	25398	   1
8vo	22 v., plates	NA	   1
2fo	119 v.	5763	   1
8vo	5 v.	1245	   1
4to	1 v. ([6], 30 p.)	346	   1
8vo	96 v., plates (some fold.)	23904	   1
4to	165 v.	17985	   1
2fo	22 v.	1065.42857142857	   1
4to	2 v., [1] plate	NA	   1
NA	v., plates	NA	   1
2fo	103 v.	4988.14285714286	   1
2fo	1 v. ([4], ii, 119, [3] p.), plates	NA	   1
8vo	329 v.	81921	   1
8vo	144 v.	35856	   1
8vo	23 v.	5727	   1
8vo	240 v., plates	59760	   1
8vo	21 v., plates	NA	   1
8vo	19 v.	4731	   1
8vo	59 v.	14691	   1
8vo	6 v., plates (col.)	1956	   1
8vo	13 v., plates	3237	   1
8vo	24 v., plates	NA	   1
8vo	449 v., plates	111801	   1
8vo	178 v., plates	44322	   1
NA	4 v., plates	NA	   1
8vo	37 v., plates	9213	   1
8vo	38 v., plates	9462	   1
8vo	11 v., plates	NA	   1
8vo	59 v., plates	14691	   1
2fo	196 v.	9492	   1
2fo	79 v.	3825.85714285714	   1
4to	80 v.	8720	   1
NA	43 v.	NA	   1
8vo	57 v., plates	14193	   1
8vo	67 v.	16683	   1
4to	50 v.	5450	   1
4to	1 v. ([8],390,[8] p.)	346	   1
12mo	10 v., plates	1570	   1
8vo	39 v.	9711	   1
8vo	76 v.	18924	   1
8vo	52 v.	12948	   1
8vo	16 v., plates	3984	   1
8vo	45 v.	11205	   1
4to	110 v., plates	11990	   1
2fo	578 v.	27991.7142857143	   1
8vo	87 v., plates	21663	   1
4to	81 v.	8829	   1
2fo	208 v.	10073.1428571429	   1
2fo	2 v. ([2],1244p.), plates	924	   1
8vo	35 v.	8715	   1
8vo	142 v. , plates	35358	   1
8vo	35 v. , plates	8715	   1
4to	5 v., plates	NA	   1
8vo	40 v. , plates	9960	   1
2fo	172 v.	8329.71428571429	   1
8vo	v. , plates	385	   1
4to	40 v.	4360	   1
2fo	4 v. ([2],1258,[22]p.)	193.714285714286	   1
2fo	3 v., plates	145.285714285714	   1
2fo	71 v.	3438.42857142857	   1
NA	75 v.	NA	   1
2fo	115 v.	5569.28571428571	   1
2fo	209 v.	10121.5714285714	   1
8vo	21 v., plates	5229	   1
8vo	60 v.	14940	   1
8vo	12 v. (711, [9] p.), 24 plates	NA	   1
NA	81 v.	NA	   1
1to	160 v.	NA	   1
2fo	2071 v.	100295.571428571	   1
2fo	62 v.	3002.57142857143	   1
2fo	74 v.	3583.71428571429	   1
4to	7 v., fold. plates	763	   1
2fo	113 v.	5472.42857142857	   1
2fo	175 v.	8475	   1
4to	178 v.	19402	   1
2fo	19 v.	920.142857142857	   1
1to	56 v.	NA	   1
1to	133 v.	NA	   1
2fo	1330 v.	64410	   1
2fo	189 v.	9153	   1
2fo	39 v.	1888.71428571429	   1
2fo	5 v., 250 plates	242.142857142857	   1
2fo	117 v.	5666.14285714286	   1
2fo	72 v.	3486.85714285714	   1
1to	2455 v.	NA	   1
8vo	20 v., plates	4980	   1
8vo	1 v. [various pagings]	385	   1
4to	418 v.	45562	   1
2fo	111 v.	5375.57142857143	   1
2fo	70 v.	3390	   1
2fo	188 v.	9104.57142857143	   1
8vo	2 v., plates, some fold.	652	   1
8vo	21 v.	NA	   1
2fo	31 v.	1501.28571428571	   1
1to	42 v	NA	   1
2fo	155 v.	7506.42857142857	   1
2fo	59 v.	2857.28571428571	   1
2fo	51 v.	2469.85714285714	   1
2fo	41 v.	1985.57142857143	   1
2fo	135 v.	6537.85714285714	   1
2fo	247 v.	11961.8571428571	   1
1to	27 v.	NA	   1
1to	215 v.	NA	   1
2fo	123 v.	5956.71428571429	   1
1to	55 v.	NA	   1
2fo	19 v	NA	   1
2fo	173 v.	8378.14285714286	   1
2fo	125 v.	6053.57142857143	   1
2fo	110 v.	5327.14285714286	   1
1to	186 v.	NA	   1
4to	v., folding plates	346	   1
2fo	181 v.	8765.57142857143	   1
2fo	101 v.	4891.28571428571	   1
2fo	497 v.	24069	   1
2fo	152 v.	7361.14285714286	   1
4to	63 v.	6867	   1
4to	29 v.	NA	   1
8vo	16 v.	NA	   1
4to	58 v.	6322	   1
4to	96 v.	10464	   1
4to	57 v.	6213	   1
4to	186 v.	20274	   1
4to	66 v.	7194	   1
4to	130 v.	14170	   1
4to	201 v.	21909	   1
4to	1 v. (8 p.)	346	   1
4to	84 v.	9156	   1
4to	44 v.	4796	   1
4to	67 v.	7303	   1
4to	71 v.	7739	   1
4to	16 v.	NA	   1
4to	61 v.	6649	   1
2fo	142 v.	6876.85714285714	   1
2fo	85 v.	4116.42857142857	   1
12mo	1 v. ([2],iv,[6],383 [i.e. 371], [1]p.)	478	   1
8vo	13 v.	3237	   1
8vo	1 v. ([2],546,[8]p.)	385	   1
8vo	1 v. ([2],2,450,453-459,640-484p.), plates	385	   1
8vo	6 v., plates (some fold., col.)	1494	   1
2fo	58 v.	2808.85714285714	   1
16mo	24 v.	NA	   1
8vo	50 v.	12450	   1
2fo	32 v.	1549.71428571429	   1
2fo	8 v	3696	   1
8vo	8 v., plates (some fold.)	1992	   1
4to	51 v.	5559	   1
8vo	v., 504 colored plates, interleaved	385	   1
12mo	v., leaves of plates	478	   1
2long	10 v.	NA	   1
12mo	v., plates (some fold.)	478	   1
8vo	2 v., plates (some col.)	652	   1
8vo	28 v.	NA	   1
8vo	1 v. ([4],2,722p.), plates	385	   1
8vo	14 v., plates	NA	   1
2fo	3 vol., plates	1386	   1
4to	81pts.	346	   1
12mo	3 vols.	429	   1
12mo	2 v. (xxii, 356 [i.e. 359], [1] p.; [2], 332, [2] p.)	286	   1
4to	28 parts	346	   1
24mo	6v. (48 parts)	669	   1
4to	3 parts, plates	346	   1
12mo	2 v. (viii, 388, [2], 358 p.)	286	   1
4to	One sheet (verso blank)	346	   1
4to	2 v., [71] plates (part. col.)	NA	   1
8vo	v.20	NA	   1
8vo	v.22-24	747	   1
8vo	2 v. ([2], 266; [2], 258)	652	   1
4to	3v., CLX plates	NA	   1
18mo	14v.,plate	NA	   1
12mo	13v.,plates	NA	   1
8vo	13v.,plates	3237	   1
12mo	v.5	NA	   1
12mo	17v.,plates	NA	   1
8vo	l6p.,plate	385	   1
16mo	plate	NA	   1
2fo	3v., plates	1386	   1
8vo	[29]l.	385	   1
8vo	[8]p. plates	385	   1
4to	56p. plate	346	   1
8vo	2v., XII plates	652	   1
4to	18v.,plates	NA	   1
12mo	8v., plate	1144	   1
12mo	9 v.	1413	   1
12mo	[2],ii,[4],146., [1] leaf of plates	478	   1
12mo	6v., plate	858	   1
2fo	[29]l.	NA	   1
2fo	3 v., plates	1386	   1
8vo	4v., plate	1304	   1
2fo	3pt. in 1v. ([2]p.	NA	   1
12mo	2 v. ([2], 232; [2], 242, [2] p.)	314	   1
2fo	2 vol., plates	924	   1
2fo	4v.,plates(some fold.)	1848	   1
12mo	v.3-5	429	   1
2fo	9 parts	NA	   1
4to	v.2-4,plates	NA	   1
2fo	44 columns,tables	NA	   1
1to	1 fold. sheet	NA	   1
8vo	7 pts. in 1v.	385	   1
12mo	v.17	NA	   1
2fo	20v.	968.571428571429	   1
12mo	vols.31-36	858	   1
12mo	vols.1-14,17-24	2198	   1
12mo	vols.19-21	429	   1
12mo	2 v.	314	   1
24mo	7v.,plates	780.5	   1
2fo	3936,[36]p.	NA	   1
2fo	??p.	NA	   1
12mo	2v., folding plate	286	   1
4to	3v., [2] leaves of plates	NA	   1
4to	22v.	NA	   1
18mo	10v.,plates	2160	   1
18mo	120.,plates	NA	   1
2fo	19v.	920.142857142857	   1
8vo	26v.,plates	NA	   1
4to	26pts.	346	   1
8vo	2 v. (vij, [1], 368; [4], 344 p.)	652	   1
8vo	vols.6-8	747	   1
8vo	vols.4-5	652	   1
8vo	vols.1-3	978	   1
12mo	v.1	NA	   1
8vo	16v.plates	385	   1
12mo	16 vols.,plate	2512	   1
24mo	[2].125p.	NA	   1
8vo	11 pts. in 1v.	385	   1
4to	V.2, in 9 parts	NA	   1
2fo	4v., plates	193.714285714286	   1
2fo	2v., plates, tables	924	   1
18mo	7v.	1512	   1
12mo	13v., plates	NA	   1
12mo	vols.2,3	286	   1
12mo	8v.,illus.	1144	   1
NA	Caption title; with a docket title that reads 'Memorial of the agent for the province of Massachussetts-Bay against a duty of 3d. per gallon on foreign molasses.'. - Dated in MS '9th February, 1764' and signed J. Mauduit.	NA	   1
12mo	2vols.	286	   1
12mo	6v.,plates	942	   1
8vo	2 vols.,plates	652	   1
12mo	8v.,plates	1256	   1
4to	2v.,plates, tables	NA	   1
12mo	2 v. (ix, [3], 178; vi, 206 p.)	286	   1
2fo	⁰ sheet	NA	   1
1to	5 shhets	NA	   1
1to	[z] p.	NA	   1
8vo	v.3-5	978	   1
8vo	11 parts, tables	385	   1
NA	64p.c12⁰	NA	   1
8vo	6 vols.,plates	1956	   1
12mo	13v.,plate	NA	   1
12mo	15v.,plate	NA	   1
12mo	iv,390.,plates	478	   1
12long	12v.,plate	NA	   1
8vo	4pt.,plates	385	   1
4to	23[ie.24]p.	346	   1
8vo	3 parts	385	   1
1to	2 columns	NA	   1
4to	2 pts.	346	   1
8vo	v.1-3,plate	978	   1
4to	11 parts	346	   1
12mo	7 v., plate	1001	   1
8vo	18v.,plates	NA	   1
2fo	v.1-2,plates	96.8571428571429	   1
4to	v.2-3,plates	NA	   1
2fo	8 v., plates	387.428571428571	   1
8vo	v.12-14	978	   1
12mo	v.1-2,plate	286	   1
12mo	vols. 2-8, plates	1001	   1
12mo	v.1-6,8-19,plates	858	   1
12mo	6v.,plate,port.	858	   1
8vo	2 v. (98, 128 p.)	652	   1
2fo	16 v.	774.857142857143	   1
8vo	v.6-9	1304	   1
8vo	v.1-5	1630	   1
18mo	v.2-3	432	   1
2fo	9v.	4158	   1
4to	2v.plates	346	   1
12mo	v.3-4,plates	286	   1
8vo	v.9-11	978	   1
8vo	v.1-8	1992	   1
4to	v.1-3,plates	NA	   1
18mo	14v.,plates	NA	   1
12mo	3 v. ([2], 273, [1]; [2], 318, [4]; iv, 245, [3] p.), plates	429	   1
2fo	3v.,table	1386	   1
4to	12v.,plates	1308	   1
8vo	v.4-5,plates	652	   1
12mo	2 v. (72; 65, [1] p.), [1] leaf of plates	314	   1
8vo	2 v. ([4], iv, 368; iv, 364, [2] p.)	652	   1
12mo	v.6	NA	   1
12mo	17v.	NA	   1
2fo	12 parts	NA	   1
2fo	2 parts,plates	NA	   1
12mo	v.32-33,plates	286	   1
12mo	9v.,plates	1413	   1
12mo	v.26	NA	   1
8vo	v.3-8,plates	1956	   1
2fo	5v., plates	2310	   1
12mo	v.1-2,plates	286	   1
12mo	2v, plates.	478	   1
12mo	4v.,platea	572	   1
12mo	20pts	478	   1
8vo	14 parts	385	   1
32mo	2v.,plates	NA	   1
16mo	3v.,plate	873	   1
12mo	2 v., [1] leaf of plates	314	   1
8vo	2 v. (124, [4] ; [4], 17-142 p.), [1] leaf of plates	652	   1
2fo	14 parts	NA	   1
8vo	v.21	NA	   1
8vo	v.1-3	747	   1
8vo	v.1-3 table	978	   1
18mo	5v.,plates	1080	   1
16mo	v.2-3,plates	582	   1
12mo	2 v. (72; 87, [1] p.)	286	   1
12mo	vols. 5-10	858	   1
64mo	3v.	438	   1
12mo	24v.	NA	   1
8vo	2 v. (vii, [9], 336; [2], 344 p. )	652	   1
12mo	29 parts	478	   1
12mo	4 vols., plates	572	   1
8vo	4 pts.	385	   1
12mo	v.1,4,plates	478	   1
2fo	21v.	1017	   1
8vo	v.3-6	1304	   1
12mo	3 v., plates	429	   1
8vo	15 parts,plate	385	   1
8vo	3v., XX plates	978	   1
8vo	v.4-6,plate	978	   1
12mo	v.2	NA	   1
8vo	v.1,4-7	1304	   1
2fo	3l.	NA	   1
8vo	2v., X plates	652	   1
12mo	3v., XL plates	429	   1
12mo	3v., XLI plates	429	   1
2fo	3pts.,plates	NA	   1
12mo	v.1,3-4	429	   1
2fo	103pt.(236p.)	NA	   1
2fo	3v., LXIII plates	1386	   1
