volumes	parts	pages.original	count
1	NA	[36] p.	16
1	NA	[80] p.	16
1	NA	[3] leaves.	16
1	NA	v., plates (some fold.)	16
1	NA	22 p.	15
1	NA	[4], 43, [1] p.	15
1	NA	[4], 7, [1] p.	15
1	NA	[4],23,[1]p.	15
1	NA	30,[2]p.	15
1	NA	50p.	15
1	NA	17,[1]p.	15
1	NA	[2],50p.	15
1	NA	[4],138,[2]p.	15
1	NA	59,[1]p.	15
1	NA	[4],35,[1]p.	15
1	NA	[4],27,[1]p.	15
1	NA	[2],38p.	15
1	NA	[4],59,[1]p.	15
8	NA	8v.,plate	15
1	NA	[52] p.	15
1	NA	4 sheets (versos blank)	15
1	NA	[8], 56 p.	15
1	NA	[6], 34 p.	15
1	NA	[8], 32 p.	15
1	NA	56 p.	14
1	NA	[2], 32 p.	14
1	NA	7 p.	14
1	NA	64 p.	14
1	NA	100p.	14
1	NA	[4],19,[1]p.	14
1	NA	21,[1]p.	14
1	NA	[4],40p.	14
1	NA	[12]p.	14
1	NA	[2],24p.	14
1	NA	[4],20p.	14
1	NA	[4], 35, [1] p.	14
8	NA	8v.,plates	14
1	NA	[4],42,[2]p.	14
1	NA	[30] p.	14
1	NA	3 leaves.	14
1	NA	[2], 1, [5] p.	14
1	NA	[2], 28, [2] p.	14
7	NA	7 v.	14
11	NA	11 v.	14
1	NA	18, [2] p.	13
1	NA	[2], 54 p.	13
1	NA	[10] p.	13
1	NA	72 p.	13
1	NA	[2],34p.	13
1	NA	42p.	13
1	NA	45,[1]p.	13
1	NA	[2],80p.	13
1	NA	[4],51,[1]p.	13
1	NA	[4],24p.	13
1	NA	[4],55,[1]p.	13
1	NA	[2+] p.	13
1	NA	8, 7-13, [1] p.	13
1	NA	[4], 68 p.	13
1	NA	[4], 34, [2] p.	13
1	NA	[2], 8, [2] p.	13
10	NA	10 v.	13
1	NA	10, [2] p.	12
1	NA	17, [1] p.	12
1	NA	[4], 18, [2] p.	12
1	NA	[2], 31, [1] p.	12
1	NA	[6], 26 p.	12
1	NA	[2], 36, [2] p.	12
1	NA	83,[1]p.	12
1	NA	79,[1]p.	12
1	NA	13, [1] p.	12
1	NA	[4],48p.	12
1	NA	[2],14p.	12
1	NA	[4],76p.	12
1	NA	[72] p.	12
1	NA	[2], 15, [1] p.	12
1	NA	8, 7-14 p.	12
1	NA	1 sheet (1 p.)	12
1	NA	2 sheets ([2] p.)	12
1	NA	[2], 3, [3] p.	12
1	NA	6 [i.e. 8] p.	12
9	NA	9 v.	12
1	NA	96 p.	11
1	NA	87,[1]p.	11
1	NA	[4],31,[1]p.	11
1	NA	25,[1]p.	11
1	NA	26,[2]p.	11
1	NA	33,[1]p.	11
1	NA	144p.	11
1	NA	[2],10p.	11
1	NA	104p.	11
1	NA	[2],77,[1]p.	11
1	NA	iv,364p.	11
1	NA	[2],58p.	11
1	NA	[8], 72 p.	11
1	NA	[7] p.	11
1	NA	[60] p.	11
1	NA	[2], 42 p.	11
1	NA	5, [3] p.	11
1	NA	[8], 35, [1] p.	11
1	NA	[2], 62 p.	11
1	NA	[8], 64 p.	11
1	NA	55, [1] p.	10
1	NA	63, [1] p.	10
1	NA	34,[2]p.	10
1	NA	[4],100p.	10
1	NA	[2],40p.	10
1	NA	[4],32p.	10
1	NA	[2],41,[1]p.	10
1	NA	67,[1]p.	10
1	NA	26, [2] p.	10
1	NA	[2],42p.	10
1	NA	70p.	10
1	NA	58p.	10
1	NA	43, [1] p.	10
1	NA	[4],8p.	10
1	NA	[2],61,[1]p.	10
1	NA	[2],62p.	10
1	NA	[4],34p.	10
1	NA	xx,[4],164,[4]p.	10
1	NA	[4], 10 p.	10
1	NA	5 sheets (versos blank)	10
1	NA	[2], 6, [8] p.	10
1	NA	1 broadside	10
1	NA	[2]+ p.	10
1	NA	[1], 2, [1] p.	10
1	NA	1 sheet ([2] p.).	10
1	NA	[8], 27, [1] p.	10
1	NA	[8], 28 p.	10
1	NA	[2], 6, 9-15, [1] p.	9
1	NA	38, [2] p.	9
1	NA	5 p.	9
1	NA	[4], 26, [2] p.	9
1	NA	54p.	9
1	NA	71, [1] p.	9
1	NA	6,[2]p.	9
1	NA	[2],36p.	9
1	NA	[2],56p.	9
1	NA	95,[1]p.	9
1	NA	iv,356p.	9
1	NA	[2],53,[1]p.	9
1	NA	viii,[108],68p.	9
1	NA	[4],107,[1]p.	9
1	NA	128p.	9
1	NA	[4], 18 p.	9
1	NA	[4],67,[1]p.	9
1	NA	[4],74p.	9
1	NA	[22] p.	9
1	NA	[96] p.	9
1	NA	[38] p.	9
1	NA	2 sheets ([4] p.)	9
1	NA	[8], 48 p.	9
1	NA	[2], 35, [1] p.	9
1	NA	[8], 23, [1] p.	9
1	NA	[4], 10, [2] p.	9
1	NA	[2], 24, [2] p.	9
1	NA	7 [i.e. 8] p.	9
1	NA	[24], 359, [1] p.	9
1	NA	v	9
8	NA	8 v.	9
1	NA	[4], 30, [2] p.	8
1	NA	[2], 6, 9-16 p.	8
1	NA	3 p.	8
1	NA	70, [2] p.	8
1	NA	[4], 39, [1] p.	8
1	NA	74p.	8
1	NA	[2],25,[1]p.	8
1	NA	34 p.	8
1	NA	[4],52p.	8
1	NA	13,[3]p.	8
1	NA	59, [1] p.	8
1	NA	[4],18p.	8
1	NA	[2],18p.	8
1	NA	[2],69,[1]p.	8
1	NA	[2],109,[1]p.	8
1	NA	[2], 48, [2] p.	8
1	NA	[4],188p.	8
1	NA	[4],68p.	8
1	NA	[2],16p.	8
1	NA	[2],85,[1]p.	8
1	NA	[2],60p.	8
5	NA	5v.,plate	8
1	NA	91,[1]p.	8
1	NA	[2],35,[1]p.	8
1	NA	[4],108p.	8
1	NA	92p.	8
1	NA	[2],72p.	8
1	NA	[2],44p.	8
1	NA	[2],32p.	8
1	NA	xii,347,[13]p.,plates	8
