original_name	original_date	final_author_id	final_author_birth	final_author_death	Count
Sannazaro, Jacopo	1458-1530.	Sannazaro, Jacopo (1458-1530)	1458	1530	   4
Pridden, John	1728-1807.	Pridden, John (1728-1807)	1728	1807	   4
Mathison, Thomas	1721-1760.	Mathison, Thomas (1721-1760)	1721	1760	   4
Hoyland, Francis	1727-1786.	Hoyland, Francis (1727-1786)	1727	1786	   4
Drake, Nathan	1766-1836.	Drake, Nathan (1766-1836)	1766	1836	   4
Williams, Joseph	1692-1755.	Williams, Joseph (1692-1755)	1692	1755	   4
Luffman, J	1756-1846.	Luffman, J (1756-1846)	1756	1846	   4
Donaldson, J	1737-1801.	Donaldson, J (1737-1801)	1737	1801	   4
Gibson, John	active 1768-1799.	Gibson, John (1768-1799)	1768	1799	   4
Grazzini, Antonio Francesco	1503-1584.	Grazzini, Antonio Francesco (1503-1584)	1503	1584	   4
Love, John	1695-1750.	Love, John (1695-1750)	1695	1750	   4
Dun, John	1723 or 1724-1792.	Dun, John (1723-1792)	1723	1792	   4
Menzies, John	active 18th century.	Menzies, John	NA	NA	   4
Thomson	active 1788.	Thomson,  (1788-1851)	1788	1851	   4
Oliver, William	1695-1764.	Oliver, William (1695-1764)	1695	1764	   4
Hunter, John	1669 or 1670-1756.	Hunter, John (1669-1756)	1669	1756	   4
Burnham, Richard	1711-1752.	Burnham, Richard (1711-1752)	1711	1752	   4
Barbeu Du Bourg	1709-1779.	Bourg, Barbeu (1709-1779)	1709	1779	   4
Ellis, Henry	1721-1806.	Ellis, Henry (1721-1806)	1721	1806	   4
Corp, William	-1790.	Corp, William (NA-1790)	NA	1790	   4
Told, Silas	1711-1779.	Told, Silas (1711-1779)	1711	1779	   4
Archer, Clement	1725 or 1726-	Archer, Clement (1725-1726)	1725	1726	   4
Stephens, Joanna	-1774.	Stephens, Joanna (NA-1774)	NA	1774	   4
Crosse, John	1739-1816.	Crosse, John (1739-1816)	1739	1816	   4
Cruden, William	1725-1785.	Cruden, William (1725-1785)	1725	1785	   4
Land, Tristram	1705?-1765.	Land, Tristram (1705-1765)	1705	1765	   4
Watts, Giles	1725-1792.	Watts, Giles (1725-1792)	1725	1792	   4
Nisbet, Charles	1736-1804.	Nisbet, Charles (1736-1804)	1736	1804	   4
Blin de Sainmore, Adrien Michel Hyacinthe	1733-1807.	Blin De Sainmore, Adrien Michel Hyacinthe (1733-1807)	1733	1807	   4
Dupuy-Demportes, Jean-Baptiste	-1770.	Dupuy-demportes, Jean-baptiste (NA-1770)	NA	1770	   4
Gardiner, William	active 1699-1750.	Gardiner, William (1699-1750)	1699	1750	   4
Davies, Christian	1667-1739.	Davies, Christian (1667-1739)	1667	1739	   4
Hutton, George	1764 or 1765-1817.	Hutton, George (1764-1817)	1764	1817	   4
Martin, R	active 18th century.	Martin, R	NA	NA	   4
