original	gatherings	width	height	obl	Count
20 x 13 cm.	NA	NA	NA	NA	   1
7 cm.	NA	NA	NA	NA	   1
24 x 20 cm.	NA	NA	NA	NA	   1
12.	NA	NA	NA	NA	   1
long12⁰.	NA	NA	NA	NA	   1
1⁰..	NA	NA	NA	NA	   1
1/21⁰.	NA	NA	NA	NA	   1
obl. fol.	NA	NA	NA	NA	   1
obl. 12⁰	NA	NA	NA	NA	   1
obl. 8⁰	NA	NA	NA	NA	   1
(12mo)	NA	NA	NA	NA	   1
fol	NA	NA	NA	NA	   1
4⁰ in 6's?	NA	NA	NA	NA	   1
1/2 sh.fol.	NA	NA	NA	NA	   1
lon. 24⁰.	NA	NA	NA	NA	   1
64⁰.	NA	NA	NA	NA	   1
s.sh. 8⁰.	NA	NA	NA	NA	   1
14 cm (8⁰)	NA	NA	NA	NA	   1
16 cm (8⁰)	NA	NA	NA	NA	   1
12⁰?	NA	NA	NA	NA	   1
4⁰ in 6's.	NA	NA	NA	NA	   1
obl. 16⁰.	NA	NA	NA	NA	   1
24⁰ in 12's.	NA	NA	NA	NA	   1
32⁰ in 8's.	NA	NA	NA	NA	   1
16⁰..	NA	NA	NA	NA	   1
2⁰(3).	NA	NA	NA	NA	   1
28 cm (4⁰)	NA	NA	NA	NA	   1
29 cm (2⁰)	NA	NA	NA	NA	   1
caption title; quarto	NA	NA	NA	NA	   1
[fewer than 50 pages]	NA	NA	NA	NA	   1
duodecimo [fewer than 50 pages]	NA	NA	NA	NA	   1
19 x 32 cm (2⁰)	NA	NA	NA	NA	   1
caption title; folio [fewer than 50 pages]	NA	NA	NA	NA	   1
29 cm (4⁰)	NA	NA	NA	NA	   1
18 cm (8⁰)	NA	NA	NA	NA	   1
caption title; quarto [fewer than 50 pages]	NA	NA	NA	NA	   1
long 24⁰.	NA	NA	NA	NA	   1
1667.	NA	NA	NA	NA	   1
obl. 1/2⁰	NA	NA	NA	NA	   1
4	NA	NA	NA	NA	   1
4.	NA	NA	NA	NA	   1
obl.1/4⁰.	NA	NA	NA	NA	   1
50 cm (2⁰)	NA	NA	NA	NA	   1
42 cm (2⁰)	NA	NA	NA	NA	   1
46 cm (2⁰)	NA	NA	NA	NA	   1
33 cm. (1/2⁰)	NA	NA	NA	NA	   1
21 cm (8⁰)	NA	NA	NA	NA	   1
50 cm.	NA	NA	NA	NA	   1
42 cm.	NA	NA	NA	NA	   1
39 cm.	NA	NA	NA	NA	   1
35 cm (1/2⁰)	NA	NA	NA	NA	   1
28 cm	NA	NA	NA	NA	   1
36cm	NA	NA	NA	NA	   1
35 cm (2⁰)	NA	NA	NA	NA	   1
29 cm. (2⁰)	NA	NA	NA	NA	   1
32 cm. (fol.)	NA	NA	NA	NA	   1
8₀.	NA	NA	NA	NA	   1
2⁰ (29 cm.).	NA	NA	NA	NA	   1
