author	author_gender	Count
Adams, Jack (1664-NA)	NA	     2
Adams, James	NA	     1
Adams, James (1677-1734)	NA	     5
Adams, James (1737-1802)	NA	     3
Adams, Jane (1710-1765)	ambiguous	     1
Adams, John	NA	     2
Adams, John (1662-1720)	NA	    33
Adams, John (1704-1740)	NA	     2
Adams, John (1730-1800)	NA	     1
Adams, John (1732-1733)	NA	     1
Adams, John (1735-1826)	NA	    16
Adams, John (1750-1814)	NA	    35
Adams, John (1752-1804)	NA	     1
Adams, John (1757-1807)	NA	     3
Adams, John (1766-1776)	NA	     1
Adams, John (1773-1825)	NA	     1
Adams, John (NA-1757)	NA	     1
Adams, John Quincy (1767-1848)	ambiguous	    10
Adams, Joseph (1689-1783)	ambiguous	     4
Adams, Joseph (1720-1785)	ambiguous	     2
Adams, Joseph (1756-1818)	ambiguous	     1
Adams, Joseph (1795-NA)	ambiguous	     1
Adams, Mary (1652-1676)	ambiguous	     1
Adams, Michael	NA	     4
Adams, Moses (1749-1819)	ambiguous	     2
Adams, Perseval	male	     1
Adams, Phineas (1743-1801)	NA	     2
Adams, Prudence	NA	     1
Adams, Rice (1657-1738)	NA	     3
Adams, Richard (1626-1698)	ambiguous	     2
Adams, Robert (NA-1595)	ambiguous	     1
Adams, Samuel	NA	     3
Adams, Samuel (1676-1751)	NA	     3
Adams, Samuel (1722-1803)	NA	     1
Adams, Thomas (1586-1668)	NA	     3
Adams, Thomas (1612-1653)	NA	    31
Adams, Thomas (1719-1770)	NA	     1
Adams, Thomas (1800-NA)	NA	     1
Adams, Thomas (NA-1770)	NA	     1
Adams, Thomas Maxwell	ambiguous	     1
Adams, William (1650-1685)	ambiguous	     2
Adams, William (1660-NA)	ambiguous	     1
Adams, William (1674-1714)	ambiguous	     1
Adams, William (1675-1730)	ambiguous	     2
Adams, William (1706-1789)	ambiguous	    46
Adams, William (1710-1798)	ambiguous	     1
Adams, William (1717-1725)	ambiguous	     1
Adams, William (1752-1811)	ambiguous	     1
Adams, Wm	NA	     1
Adams, Zabdiel (1739-1801)	male	    12
Adamson, Alexander	ambiguous	     1
Adamson, H (1581-1639)	NA	     1
Adamson, Henry	ambiguous	     1
Adamson, J	NA	     1
Adamson, John	NA	    13
Adamson, John (1644-1718)	NA	     1
Adamson, John (1741-1808)	NA	     1
Adamson, John (NA-1653)	NA	     7
Adamson, M	NA	     3
Adamson, Patrick (1537-1592)	NA	    15
Adamson, William	ambiguous	     1
Adamthwaite, John (1745-1746)	NA	     2
Adamtoun, 	NA	     1
Adamus, Johannes	male	     2
Adanson, Michel (1727-1806)	ambiguous	     2
Adcock, Thomas	NA	     2
Addam, Simon	ambiguous	     1
Addamson, William	ambiguous	     1
Addenbrooke, John (1680-1719)	NA	     1
Adderley, Thomas (1648-1649)	NA	     1
Adderley, William	ambiguous	     1
Adderly, Thomas	NA	     1
Addie, Joannes	male	     1
Addington, Anthony (1713-1790)	NA	     1
Addington, Stephen (1729-1796)	NA	    21
Addington, William (NA-1811)	ambiguous	     9
Addis, Thomas Jewning	male	     1
Addison, 	ambiguous	    23
Addison, Alexander (1759-1807)	ambiguous	    17
Addison, Anthony (1657-1719)	NA	     1
Addison, Charles	ambiguous	     1
Addison, John	NA	     1
Addison, Joseph (1672-1719)	ambiguous	   347
Addison, Lancelot (1632-1703)	male	    29
Addison, Robert	ambiguous	     1
Addison, Samuel (1764-NA)	NA	     1
Addison, Thomas (1625-NA)	NA	     1
Addlestaff, Adam	ambiguous	     1
Addoms, Jonas Smith	ambiguous	     1
Addy, William (1685-NA)	ambiguous	     4
Adee, David (1768-1838)	ambiguous	     1
Adee, Herbert (1682-1683)	NA	     1
Adee, N (NA-1701)	NA	     1
Adee, Swithin (1704-1786)	male	     4
Adelos, 	female	     2
Adelung, Johann Christoph (1732-1806)	ambiguous	     2
Ader, Israel	NA	     5
Adet, Pierre-auguste (1763-1832)	NA	     1
Adey, William (1755-1760)	ambiguous	     2
Adgate, Andrew (NA-1793)	NA	    14
Adgate, Matthew	ambiguous	     1
Adie, John	NA	     1
Adie, William (1761-1769)	ambiguous	     2
Adimari, Lodovico (1644-1708)	male	     1
Adis, Henry	ambiguous	    13
Adkin, Lancaster (1739-1807)	NA	     4
Adkin, M	NA	     1
Adkins, Aaron	NA	     1
Adkins, W	NA	     2
Adlerfeld, Gustavus (1671-1709)	NA	     2
Admiral, 	male	     1
Adolphus, Gustavus	NA	     1
Adolphus, Jacob	NA	     1
Adolphus, John (1768-1845)	NA	     2
Adolphus, Joy	ambiguous	     1
Adolphus, Michael	NA	     1
Adriaensen, Cornelis (1521-1581)	NA	     1
Adrichem, Christiaan Van (1533-1585)	ambiguous	     5
Adshead, Thomas	NA	     1
Adson, John (1585-1640)	NA	     1
Adventurer, New	ambiguous	     1
Ady, John (NA-1812)	NA	     2
Ady, Thomas	NA	     3
Adye, Radulphus (1753-NA)	NA	     1
Adye, Stephen Payne (NA-1794)	ambiguous	    10
Aedler, Martin (1643-1724)	ambiguous	     2
Aelfric, 	NA	    13
Aelian,  (3-3)	NA	     6
Aelianus,  (2-2)	NA	     5
Aengelramnus, Johannes	male	     1
Aepinus, Johann (1499-1553)	ambiguous	     4
Aequus, 	NA	     1
Aery, Lancelot (1750-1751)	male	     1
Aeschines, 	NA	    16
Aeschylus, 	male	    26
Aesop, 	male	   274
Aesop, Abraham	ambiguous	     7
Affinati, Giacomo	NA	     1
Afonso,  (1432-1481)	male	     1
Africanus, 	male	     1
Afzelius, Adam (1750-1837)	ambiguous	     1
Ag , Ph	ambiguous	     1
Agapētos, 	NA	     2
Agar, Ben	ambiguous	     2
Agar, James	NA	     1
Agar, William (1709-1776)	ambiguous	     1
Agard, Arthur (1540-1615)	NA	     3
Agas, Benjamin	ambiguous	     2
Agas, Ralph (1545-1621)	ambiguous	     4
Agate, John (1676-1720)	NA	    10
Agate, William (1710-NA)	ambiguous	     2
Agatharchides, 	NA	     1
Agathocles, 	NA	     1
Aged School-mistress, In The State Of Massachusetts		     1
Ageno, Francesco D,́ (1727-1788)	NA	     1
Ager, Thomas	NA	     1
Agesilaus, 	male	     1
Aggas, Edward	NA	     1
Aghā, Ja'far (1684-NA)	NA	     1
Aglionby, Sarah	ambiguous	     5
Aglionby, William (NA-1705)	ambiguous	     5
Agneaux, J D'	NA	     1
Agnello, Giovan Battista	male	     2
Agnese Scassi, Onuphrius	NA	     1
Agnew, Alexander	ambiguous	     4
Agnew, Andrew (1687-1771)	NA	    12
Agnew, James (1706-1735)	NA	     3
Agnew, James (1706-1749)	NA	     1
Agnew, James (1706-1840)	NA	     1
Agnew, James (1706-NA)	NA	     6
Agnew, Montgomery	ambiguous	     1
Agnew, Robert	ambiguous	     3
Agnew, William (NA-1738)	ambiguous	     3
Agnostos, 	NA	     2
Agnostus, Irenũs	NA	     1
Agricola, 	male	    12
Agricola, Georg Andreas (1672-1738)	ambiguous	     3
Agriculture, George Andrew Patrick	ambiguous	     1
Agrippa Von Nettesheim, Heinrich Cornelius (1486-1535)	ambiguous	    19
Agrippa, Cornelius	ambiguous	     1
Agrippa, Henricus Cornelius	male	     1
