original	gatherings.original	width.original	height.original	obl.original	gatherings	width	height	obl	area	Count
51 x 18 cm.	NA	18.0	51.0	FALSE	NA	18.0	51.0	NA	 918.00	     1
35 x 29 cm.	NA	29.0	35.0	FALSE	NA	29.0	35.0	NA	1015.00	     1
14 x 24 cm.	NA	14.0	24.0	FALSE	NA	14.0	24.0	NA	 336.00	     1
8⁰ 1 volvelle.	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	     1
47 x 21 cm.	NA	21.0	47.0	FALSE	NA	21.0	47.0	NA	 987.00	     1
13 cm. (12mo].	12mo	NA	13.0	FALSE	12mo	13.0	20.0	 0	 260.00	     1
35 x 26 cm.	NA	26.0	35.0	FALSE	NA	26.0	35.0	NA	 910.00	     1
41 x 17 cm.	NA	17.0	41.0	FALSE	NA	17.0	41.0	NA	 697.00	     1
25 x 9 cm.	NA	 9.0	25.0	FALSE	NA	 9.0	25.0	NA	 225.00	     1
56 x 33 cm.	NA	33.0	56.0	FALSE	NA	33.0	56.0	NA	1848.00	     1
18 x 12 cm.	NA	12.0	18.0	FALSE	NA	12.0	18.0	NA	 216.00	     1
53 x 45 cm.	NA	45.0	53.0	FALSE	NA	45.0	53.0	NA	2385.00	     1
18.5 x 10.5cm.	NA	10.5	18.5	FALSE	NA	10.5	18.5	NA	 194.25	     1
7 x 15 cm.	NA	 7.0	15.0	FALSE	NA	 7.0	15.0	NA	 105.00	     1
14 x 10 cm.	NA	10.0	14.0	FALSE	NA	10.0	14.0	NA	 140.00	     1
35 x 12 cm.	NA	12.0	35.0	FALSE	NA	12.0	35.0	NA	 420.00	     1
21 cm. (8vo0.	NA	NA	21.0	FALSE	NA	14.0	21.0	NA	 294.00	     1
18 x 26 cm.	NA	18.0	26.0	FALSE	NA	18.0	26.0	NA	 468.00	     1
8 x 15 cm.	NA	 8.0	15.0	FALSE	NA	 8.0	15.0	NA	 120.00	     1
53 x 43.5 cm.	NA	43.5	53.0	FALSE	NA	43.5	53.0	NA	2305.50	     1
