original	polished	Count
Bladen, W.	Bladen, W	3
Freire de Andrade, Jacinto	Freire De Andrade, Jacinto	3
Enos, Walter.	Enos, Walter	3
Corbet, Jeffrey.	Corbet, Jeffrey	3
La Calprenède, Gaultier de Coste	Calprenède, Gaultier De Coste	3
Palafox y Mendoza, Juan de	Palafox Y Mendoza, Juan De	3
Ravenhill, William.	Ravenhill, William	3
El., M.	El, M	3
St. Serfe, Thomas	St Serfe, Thomas	3
Thomson, R.	Thomson, R	3
Pinnell, Henry.	Pinnell, Henry	3
Sampford, H.	Sampford, H	3
Wantner, Abel.	Wantner, Abel	3
Covel, William.	Covel, William	3
Gostelo, Walter.	Gostelo, Walter	3
Henrietta Maria, consort of Charles I, King of England	Henrietta Maria, Consort Of Charles I King Of England	3
Burrell, Andrewes.	Burrell, Andrewes	3
Huntington, Robert.	Huntington, Robert	3
Haward, Lazarus.	Haward, Lazarus	3
Newrobe, Richard.	Newrobe, Richard	3
Littleton, Edward Littleton	Littleton, Edward	3
Boissy d'Anglas, François Antoine	Boissy D'anglas, François Antoine	3
La Tour, Filliberto Sallier de.	Tour, Filliberto Sallier De	2
Fage, Robert.	Fage, Robert	2
Forth and Brentford, Patrick Ruthven	Forth And Brentford, Patrick Ruthven	2
Kirle, Robert.	Kirle, Robert	2
Ducket, Thomas.	Ducket, Thomas	2
Andrewes, R.	Andrewes, R	2
Le Ragois, Claude.	Le Ragois, Claude	2
[Orsbridge, Philip]	Orsbridge, Philip	2
Maubert de Gouvest, Jean-Henri	Maubert De Gouvest, Jean-henri	2
Brooks, Francis.	Brooks, Francis	2
Smith, Matthew.	Smith, Matthew	2
McNutt, Alexander	Mcnutt, Alexander	2
Saint-Pierre, Bernardin de	Saint-pierre, Bernardin De	2
Remington, E.	Remington, E	2
Blagge, Benjamin.	Blagge, Benjamin	2
Collot, Georges-Henri-Victor	Collot, Georges-henri-victor	2
Gatchel, Samuel.	Gatchel, Samuel	2
Bohun, William.	Bohun, William	2
Calet, Jean Jacques.	Calet, Jean Jacques	2
Bishop, Abraham.	Bishop, Abraham	2
Plant, Thomas.	Plant, Thomas	2
Mein, John.	Mein, John	2
Flagg, James.	Flagg, James	2
Casa Yrujo, Carlos Martínez de Yrujo y Tacón	Casa Yrujo, Carlos Martínez De Yrujo Y Tacón	2
Fleming, William.	Fleming, William	2
Kunze, John C.	Kunze, John C	2
Amherst, Jeffery Amherst	Amherst, Jeffery	2
Nott, Job.	Nott, Job	2
Butel-Dumont, George Marie	Butel-dumont, George Marie	2
O'Keeffe, John	O'keeffe, John	2
La Motte, Philémon de.	Motte, Philémon De	2
Plantavit de la Pause, Guillaume	Plantavit De La Pause, Guillaume	2
Walker, Joseph C.	Walker, Joseph C	2
O'Conor, Charles	O'conor, Charles	2
Walpole, Horatio Walpole	Walpole, Horatio	2
Philipps, J. T.	Philipps, J T	2
Bicknell, John.	Bicknell, John	2
Bouillé, François-Claude-Amour	Bouillé, François-claude-amour	2
England, George.	England, George	2
Coquereau, Jean-Baptiste-Louis.	Coquereau, Jean-baptiste-louis	2
Roustan, Ant. Jaq.	Roustan, Ant Jaq	2
Hamond, J.	Hamond, J	2
Pointis, Jean-Bernard-Louis	Pointis, Jean-bernard-louis	2
Gay, Nicholas.	Gay, Nicholas	2
Dalzel, Archibald.	Dalzel, Archibald	2
Wallace, James.	Wallace, James	2
Donneau de Visé, Jean	Donneau De Visé, Jean	2
Le Vassor, Michel.	Le Vassor, Michel	2
Disney, Daniel.	Disney, Daniel	2
Scipio, Cornelius.	Scipio, Cornelius	2
Dring, Thomas.	Dring, Thomas	2
La Pilonnière, François de	Pilonnière, François De	2
Riley, George.	Riley, George	2
Méhégan, Guillaume-Alexandre de	Méhégan, Guillaume-alexandre De	2
Hall, Fayrer.	Hall, Fayrer	2
Juvenel de Carlencas, Félix de	Juvenel De Carlencas, Félix De	2
Roe, Robert.	Roe, Robert	2
Wilde, John.	Wilde, John	2
Johnson, Anthony.	Johnson, Anthony	2
Drevon, I. F. Henry.	Drevon, F Henry	2
Mackenzie, Anna Maria.	Mackenzie, Anna Maria	2
Sinclair, John Gordon.	Sinclair, John Gordon	2
Jourdan, Jean-Baptiste	Jourdan, Jean-baptiste	2
Clarendon, R. V.	Clarendon, R V	2
D'Assigny, Marius	D'assigny, Marius	2
Habesci, Elias.	Habesci, Elias	2
Clarendon, Hugh.	Clarendon, Hugh	2
Ward, R. Plumer	Ward, R Plumer	2
Boutet, Claude.	Boutet, Claude	2
Eden, Adam.	Eden, Adam	2
St. Amand, George.	St Amand, George	2
Le Pointe, Thomas.	Le Pointe, Thomas	2
Myles, William.	Myles, William	2
Stedman, C.	Stedman, C	2
Justice, Alexander.	Justice, Alexander	2
Steel, David.	Steel, David	2
Mountague, William Henry.	Mountague, William Henry	2
Grey, G.	Grey, G	2
Arnold, Charles Henry.	Arnold, Charles Henry	2
Turreau de Garambouville, Louis-Marie	Turreau De Garambouville, Louis-marie	2
Hilliard d'Auberteuil, Michel-René	Hilliard D'auberteuil, Michel-rené	2
Wallis, Ninian.	Wallis, Ninian	2
Bergasse, Nicolas.	Bergasse, Nicolas	2
Burrish, Onslow.	Burrish, Onslow	2
MacAllester, Oliver.	Macallester, Oliver	2
Béraud, Paul-Emilien	Béraud, Paul-emilien	2
Maillet, Benoı̂t de	Maillet, Benoı̂t De	2
Tod, T.	Tod, T	2
Thou, Jacques Auguste de	Thou, Jacques Auguste De	2
Baston, Thomas.	Baston, Thomas	2
Anburey, Thomas.	Anburey, Thomas	2
Dubourdieu, Jean-Armand	Dubourdieu, Jean-armand	2
Waddel, George.	Waddel, George	2
Pope, Luke.	Pope, Luke	2
Laurence, R.	Laurence, R	2
Willich, A. F. M.	Willich, F M	2
La Touche, James Digges	Touche, James Digges	2
Prenties, Samuel Waller.	Prenties, Samuel Waller	2
Patono, Benedetto.	Patono, Benedetto	2
MacGregory, John.	Macgregory, John	2
Anstie, John.	Anstie, John	2
Phillips, J.	Phillips, J	2
Chetwood, W. R.	Chetwood, W R	2
O'Connor, Roger	O'connor, Roger	2
La Croix, de	Croix, De	2
Lally-Tolendal, Trophime-Gérard	Lally-tolendal, Trophime-gérard	2
Dyde, William.	Dyde, William	2
Staal, Marguerite-Jeanne	Staal, Marguerite-jeanne	2
Perreau, Jean-André	Perreau, Jean-andré	2
Berington, Thomas.	Berington, Thomas	2
Leggett, Richard.	Leggett, Richard	2
Papon, Jean-Pierre	Papon, Jean-pierre	2
Ferrière, Claude Joseph de	Ferrière, Claude Joseph De	2
Châlons, Vincent-Claude	Châlons, Vincent-claude	2
Palm, Karl Josef von.	Palm, Karl Josef Von	2
Blenman, Jonathan.	Blenman, Jonathan	2
Brookes, R.	Brookes, R	2
Juniper, J.	Juniper, J	2
Le Marchant, William.	Le Marchant, William	2
Bullingbrooke, Edward.	Bullingbrooke, Edward	2
Kincaid, Alexander.	Kincaid, Alexander	2
Hervey, Frederic.	Hervey, Frederic	2
MacBride, John	Macbride, John	2
Stanhope, James Stanhope	Stanhope, James	2
Watson-Taylor, George	Watson-taylor, George	2
Pitt, W. M.	Pitt, W M	2
Pictet, François Pierre.	Pictet, François Pierre	2
Frey, Andreas.	Frey, Andreas	2
French, Robert.	French, Robert	2
Orr, Robert.	Orr, Robert	2
Beringer, Joachim.	Beringer, Joachim	2
Farley, Henry.	Farley, Henry	2
Colynet, Antony.	Colynet, Antony	2
Frégeville, Jean de.	Frégeville, Jean De	2
Scot, Patrick.	Scot, Patrick	2
Woodhouse, John.	Woodhouse, John	2
Tedder, William.	Tedder, William	2
Felice, Costanzo.	Felice, Costanzo	2
Muriell, Christopher.	Muriell, Christopher	2
Busher, Leonard.	Busher, Leonard	2
Brinckmair, L.	Brinckmair, L	2
Bazan, Álvaro de	Bazan, álvaro De	2
Rusdorf, Johann Joachim von	Rusdorf, Johann Joachim Von	2
Orlers, Jan Janszn.	Orlers, Jan Janszn	2
Bonoeil, John.	Bonoeil, John	2
López de Gómara, Francisco	López De Gómara, Francisco	2
La Martelière, Pierre de	Martelière, Pierre De	2
Knight, Francis.	Knight, Francis	2
Blenerhasset, Thomas.	Blenerhasset, Thomas	2
Hatt, Martha Arundel.	Hatt, Martha Arundel	2
Browne, Edward.	Browne, Edward	2
Ellyson, Thomas.	Ellyson, Thomas	2
Antrim, Randal MacDonnell	Antrim, Randal Macdonnell	2
[Baldwin, D]	Baldwin, D	2
Avery, J.	Avery, J	2
Claro-Vado, Ed. de.	Claro-vado, Ed De	2
Crysly, James.	Crysly, James	2
Bellew, Thomas.	Bellew, Thomas	2
Hunton, Samuel.	Hunton, Samuel	2
Kaye, William.	Kaye, William	2
[Paton, George]	Paton, George	2
Mapas, John.	Mapas, John	2
Philpot, Thomas.	Philpot, Thomas	2
Poole, Elizabeth.	Poole, Elizabeth	2
Préchac, Jean de	Préchac, Jean De	2
Schomberg, Charles Schomberg	Schomberg, Charles	2
Shadforth, Thomas.	Shadforth, Thomas	2
Witherings, William.	Witherings, William	2
Smith, Humphry.	Smith, Humphry	2
Tavernier, Jean-Baptiste	Tavernier, Jean-baptiste	2
Tyler, Alexander.	Tyler, Alexander	2
Walby, Anthony.	Walby, Anthony	2
[Wood, P.]	Wood, P	2
Younge, Richard.	Younge, Richard	2
Waersegger, Abraham.	Waersegger, Abraham	2
Herault, Louis.	Herault, Louis	2
Avaux, Jean-Antoine de Mesmes	Avaux, Jean-antoine De Mesmes	2
Gaujac, Peter Gally de.	Gaujac, Peter Gally De	2
Hedworth, John.	Hedworth, John	2
Broë, S. de	Broë, De	2
Okeham, William.	Okeham, William	2
Argyll, Archibald Campbell, Earl of	Argyll, Archibald Campbell Earl Of	2
Pointz, John.	Pointz, John	2
Brimpahir, George.	Brimpahir, George	2
Pigot, John.	Pigot, John	2
O'Neill, Owen Roe	O'neill, Owen Roe	2
Pugh, Thomas.	Pugh, Thomas	2
Gower, Stanley.	Gower, Stanley	2
Boyse, J.	Boyse, J	2
Weston, Charles.	Weston, Charles	2
Losa, Francisco de	Losa, Francisco De	2
Gearing, William.	Gearing, William	2
Gailhard, J.	Gailhard, J	2
Collop, John.	Collop, John	2
Comyne, Eustace.	Comyne, Eustace	2
Webbe, Thomas.	Webbe, Thomas	2
Fitzgerald, David.	Fitzgerald, David	2
Lawson, Deodat.	Lawson, Deodat	2
Baston, Samuel.	Baston, Samuel	2
Carol, James.	Carol, James	2
D'Urfey, Thomas	D'urfey, Thomas	2
Alured, Matthew.	Alured, Matthew	2
Whitaker, Edward.	Whitaker, Edward	2
Pointis, Jean-Bernard-Louis Desjean	Pointis, Jean-bernard-louis Desjean	2
O'Neill, Phelim	O'neill, Phelim	2
Fletcher, Henry.	Fletcher, Henry	2
Malkin, G.	Malkin, G	2
Bulkley, Thomas.	Bulkley, Thomas	2
Quatermayne, Roger.	Quatermayne, Roger	2
Lombard, André.	Lombard, André	2
Le Grosse, Robert.	Le Grosse, Robert	2
Whittle, Seth.	Whittle, Seth	2
Ronsgore, John.	Ronsgore, John	2
Noddel, Daniel.	Noddel, Daniel	2
Grebner, Paul.	Grebner, Paul	2
Pight, Richard.	Pight, Richard	2
Novell, John.	Novell, John	2
Oxford, Wendy.	Oxford, Wendy	2
Foster, Henry.	Foster, Henry	2
Shapcott, Robert.	Shapcott, Robert	2
Fletcher, R.	Fletcher, R	2
Le White, Thomas.	Le White, Thomas	2
Adis, Henry.	Adis, Henry	2
Alleyn, Thomas.	Alleyn, Thomas	2
Rolph, Edmund.	Rolph, Edmund	2
Behr, Hans.	Behr, Hans	2
Finch of Fordwich, John Finch	Finch Of Fordwich, John	2
Battie, John.	Battie, John	2
Tromp, Maarten Harpertsz.	Tromp, Maarten Harpertsz	2
Cheesman, Christopher.	Cheesman, Christopher	2
Bradshaw, Ellis.	Bradshaw, Ellis	2
Elslyott, Thomas.	Elslyott, Thomas	2
Naylier, John.	Naylier, John	2
Saint-Leger, Anthony	Saint-leger, Anthony	2
Warren, Albertus.	Warren, Albertus	2
Winyard, Thomas.	Winyard, Thomas	2
Steuart, Adam.	Steuart, Adam	2
Salmon, Joseph.	Salmon, Joseph	2
Victor, Verity.	Victor, Verity	2
Hamilton, William Hamilton	Hamilton, William	2
Heydon, J.	Heydon, J	2
Garbutt, Richard.	Garbutt, Richard	2
Derham, Robert.	Derham, Robert	2
Palluau, Philippe de Clérembault	Palluau, Philippe De Clérembault	2
Touchstone, Timothy.	Touchstone, Timothy	2
Parival, Jean-Nicolas de	Parival, Jean-nicolas De	2
Sanders, Jonathan.	Sanders, Jonathan	2
Saxon, Thomas.	Saxon, Thomas	2
Shones, Shon ap.	Shones, Shon Ap	2
Larroque, Matthieu de	Larroque, Matthieu De	2
Lancton, Thomas.	Lancton, Thomas	2
Dammee, Agamemnon Shaglock van.	Dammee, Agamemnon Shaglock Van	2
Felton, Edmond.	Felton, Edmond	2
Faria e Sousa, Manuel de	Faria E Sousa, Manuel De	2
Woofe, Abraham.	Woofe, Abraham	2
Busbecq, Ogier Ghislain de	Busbecq, Ogier Ghislain De	2
Hawke, Michael.	Hawke, Michael	2
Harcourt, Daniel.	Harcourt, Daniel	2
Plantagenet, Beauchamp.	Plantagenet, Beauchamp	2
Withall, Benjamin.	Withall, Benjamin	2
[Bourne, Henry	Bourne, Henry	2
Baliol, Margaret.	Baliol, Margaret	2
FitzPatrick, Dorothy	Fitzpatrick, Dorothy	2
Eustace, J. S.	Eustace, J S	2
Nash, T.	Nash, T	2
Rousset de Missy, Jean	Rousset De Missy, Jean	2
Lyster, Thomas.	Lyster, Thomas	1
[Keyser, Jan.]	Keyser, Jan	1
[Scot, George	Scot, George	1
[Hill, James	Hill, James	1
[Armstrong, Francis	Armstrong, Francis	1
Goring, Henry.	Goring, Henry	1
Veneer, John.	Veneer, John	1
[Miles, Henry	Miles, Henry	1
Dundas, Ralph.	Dundas, Ralph	1
Shrenock, John.	Shrenock, John	1
Moorhouse, Michael.	Moorhouse, Michael	1
[Pinnell, Matthew]	Pinnell, Matthew	1
[Riddel, Alexander	Riddel, Alexander	1
Ferri de Saint-Constant, J. L. ((Jean-L.)	Ferri De Saint-constant, J L Jean-l	1
[La Croix, Joh. Friedrich Guillus]	Croix, Joh Friedrich Guillus	1
[Neild, Robert]	Neild, Robert	1
Saint-Hyacinthe, Thémiseul de	Saint-hyacinthe, Thémiseul De	1
[Coxe, H. H.	Coxe, H H	1
[Hogben, John	Hogben, John	1
Cooper, W. D.	Cooper, W D	1
Cooper, Oliver St. John.	Cooper, Oliver St John	1
Herries, John.	Herries, John	1
Roye, Jean de.	Roye, Jean De	1
Sully, Maximilien de Bthune	Sully, Maximilien De Bthune	1
Lally-Tolendal, Trophime-Grard	Lally-tolendal, Trophime-grard	1
La Chalotais, Louis-René de Caradeuc de	Chalotais, Louis-rené De Caradeuc De	1
Craven, Charles.	Craven, Charles	1
[Varlo, Charles	Varlo, Charles	1
Argentré, Bertrand d'	Argentré, Bertrand D'	1
Simson, Thomas.	Simson, Thomas	1
O'Connor, Dermod.	O'connor, Dermod	1
[Glenn, John	Glenn, John	1
Outremont, Anselme d'	Outremont, Anselme D'	1
Sanat, de.	Sanat, De	1
Meidel, C.	Meidel, C	1
[Norton, Jone]	Norton, Jone	1
[Rochead, Thomas	Rochead, Thomas	1
[Blair, Hugh	Blair, Hugh	1
