original	polished	Count
Lichfield	Litchfield CT	39
[[Edinburgh]	Edinburgh	39
[Germantown, Pa.	Germantown PA	39
Londres [i.e. Paris	Paris	39
[Exeter, N.H.]	Exeter NH	39
Lancaster	Lancaster PA	38
At S. Omers	St Omer	38
Aberdoniæ	Aberdeen	38
[Quebec?	Quebec	38
Charlestown [S.C.]	Charleston SC	38
Leedes	Leeds	38
Londres [Paris?]	London	38
[Newcastle?	Newcastle	37
[Ludlow]	Ludlow	37
[Leeds?	Leeds	37
[Warrington?	Warrington	37
[New Haven?	New Haven MA	37
[Connecticut	Litchfield CT	37
A Philadelphie	Philadelphia PA	37
Impressum Londini	London	37
Printed at Newburyport [Mass.]	Newburyport MA	37
Lancäster [Pa.]	Lancaster PA	37
[Canterbury	Canterbury	37
[Tranquebar]	tranquebar	37
[Warwick?	Warwick	36
[Trenton	Trenton	36
Charlestown [Mass.]	Charlestown MA	36
[Paris?	Paris	36
[Lewes	Lewes	36
London [i.e. Dublin]	Dublin	36
Boston: New-England	Boston MA	35
[New London, Conn.?	New London CT	35
Danbury [Conn.]	Danbury CT	35
[Leeds	Leeds	34
Printiedig yn Llundain	London	34
[Lancaster, Pa.	Lancaster PA	34
Worcester, (Massachusetts)	Worcester MA	34
[Massachusetts?	Boston MA	34
[Southwark]	London	34
[Rouen]	Rouen	34
Printed at Dublin	Dublin	34
Printed at Leith	Edinburgh	34
[Southwark	London	33
[Baltimore]	Baltimore Md	33
Windham [Conn.]	Windham CT	33
[Cambridge?]	Cambridge	33
[Yarmouth	Yarmouth	33
[Lincoln?	Lincoln	32
New Haven	New Haven MA	32
[Scotland	Edinburgh	32
Reading [Pa.]	Reading PA	32
Philadelphie [i.e. Paris?]	Paris	32
Halifax [N.C.]	Halifax NC	32
[Worcester?	Worcester	32
[Birmingham?]	Birmingham	32
Imprinted at Londo[n]	London	32
[Impressum Londini	London	32
Printed at Doway	Douai	32
[Gloucester	Gloucester	31
A Londres [i.e. Amsterdam?]	Amsterdam	31
[Leeds]	Leeds	31
Savannah	Savannah Ga	31
[Norwich, Conn.]	Norwich CT	31
[Reading?	Reading	31
[Maidstone]	Maidstone	31
London]	London	31
[Cambridge, England]	Cambridge	31
Imprinted at Edinburgh	Edinburgh	30
[At London	London	30
[Poughkeepsie, N.Y.	Poughkeepsie NY	30
[[London?]	London	30
Newark [N.J.]	Newark NJ	30
Concord [N.H.]	Concord NH	30
[Worcester, Mass.	Worcester MA	30
A Dublin	Dublin	30
[Margate]	Margate	30
[Chester	Chester	29
[Leiden]	Leiden	29
[Scotland?	Edinburgh	29
[Durham	Durham	29
[New York, N.Y.	New York NY	29
Norfolk [Va.]	Norfolk VA	29
[Newport, R.I.?	Newport RI	29
Portsmouth, N.H.	Portsmouth NH	29
[The Hague]	The Hague	29
[Cologne	Cologne	29
At Paris	Paris	28
Bristoll	Bristol	28
[York?]	York	28
[Amsterdam?]	Amsterdam	28
Portland [Me.]	Portland Me	28
Boston, in New-England	Boston MA	28
Augusta [Ga.]	Augusta Ga	28
[Twickenham]	Twickenham	28
[Calcutta	Calcutta	28
[Banbury]	Banbury	28
Hague	The Hague	28
[Hertford	Hertford	28
At Doway	Douai	28
Printed at Oxford [i.e. London]	London	28
[Worcester	Worcester	27
[Belfast	Belfast	27
Philadelphiae	Philadelphia PA	27
(New-York	New York NY	27
Albany [N.Y.]	Albany NY	27
New-York.	New York NY	27
[Chester]	Chester	27
London?]	London	27
[Imprinted at Londo[n]	London	27
[Kingstown [Saint Vincent]	kingstown saint vincent	27
[Nottingham?	Nottingham	26
[Liverpool?	Liverpool	26
[New-York	New York NY	26
[Washington, D.C.	Washington DC	26
Trenton [N.J.]	Trenton NJ	26
Charles-Town [S.C.]	Charleston SC	26
[Bedford?	bedford	26
[Sheffield	Sheffield	25
In the Savoy	London	25
Poughkeepsie [N.Y.]	Poughkeepsie NY	25
[Plymouth	Plymouth	25
York [Pa.]	York PA	25
[Germantown, Pa.]	Germantown PA	25
[Burlington, N.J.	Burlington NJ	25
Northampton [Mass.]	Northampton MA	25
Rutland [Vt.]	Rutland Vt	25
New London [Conn.]	New London CT	25
[Darlington]	Darlington	25
Reprinted at Dublin	Dublin	25
[Newcastle	Newcastle	24
Londra [i.e. Leghorn?]	leghorn	24
[Cork	Cork	24
[Montreal?	Montreal	24
Portsmouth: New-Hampshire	Portsmouth NH	24
Carlisle [Pa.]	Carlisle PA	24
Lansingburgh [N.Y.]	Lansingburgh NY	24
[Worcester, Mass.]	Worcester MA	24
[Wilmington, Del.]	Wilmington De	24
Abredoniæ	Aberdeen	24
At Edinburgh	Edinburgh	24
[Perth]	Perth	23
[Philadelphia?]	Philadelphia PA	23
[Coventry]	Coventry	23
[Halifax, N.S.	Halifax NS	23
South-Carolina. Charles-Town	Charleston SC	23
Dover [N.H.]	Dover NH	23
Edenton [N.C.]	Edenton NC	23
Stockbridge [Mass.]	Stockbridge MA	23
