original	polished	Count
Bourn, Benjamin.	Bourn, Benjamin	13
Waldron, F. G.	Waldron, F. G	13
Clement, Simon.	Clement, Simon	13
Herodotus.	Herodotus	13
Clark, Hugh.	Clark, Hugh	13
Cradock, Z.	Cradock, Z	13
Powell, W. S.	Powell, W. S	13
Clutterbuck, J.	Clutterbuck, J	13
Weeks, James Eyre.	Weeks, James Eyre	13
Gaya, Louis de.	Gaya, Louis De	13
Donovan, E.	Donovan, E	13
Ramsden, J.	Ramsden, J	13
Livigni, Filippo.	Livigni, Filippo	13
Bull, John.	Bull, John	13
Bertrand-de-Molleville, Ant.-Fr.	Bertrand-de-molleville, Ant.-fr	13
Cadell, T.	Cadell, T	13
Northbrooke, John.	Northbrooke, John	13
Fenton, Edward.	Fenton, Edward	13
Milles, Tho.	Milles, Tho	13
Worship, William.	Worship, William	13
Pigot, Francis.	Pigot, Francis	13
Hobson, Paul.	Hobson, Paul	13
Brough, W.	Brough, W	13
Whitaker, Edward.	Whitaker, Edward	13
Lightbody, James.	Lightbody, James	12
Symmons, Edward.	Symmons, Edward	12
Knight, Titus.	Knight, Titus	12
Bond, Henry.	Bond, Henry	12
Volney, C.-F.	Volney, C.-f	12
Cathcart, Charles Schaw Cathcart	Cathcart, Charles Schaw	12
Sutherland, William.	Sutherland, William	12
Taylor, John.	Taylor, John	12
Agricola.	Agricola	12
Free citizen.	Free Citizen	12
Sailor.	Sailor	12
Haggar, Henry.	Haggar, Henry	12
Philadelphus.	Philadelphus	12
Mitchill, Samuel L.	Mitchill, Samuel L	12
Judd, Eben W.	Judd, Eben W	12
Morison, James.	Morison, James	12
Coade, G.	Coade, G	12
Wood, Isaac.	Wood, Isaac	12
Kearsley, Catharine.	Kearsley, Catharine	12
M'Donald, A.	M'donald, A	12
Fisher, T.	Fisher, T	12
Exquemelin, A. O.	Exquemelin, A. O	12
Douglas, F.	Douglas, F	12
Badeslade, Thomas.	Badeslade, Thomas	12
Kettilby, Mary.	Kettilby, Mary	12
Whitfield, Peter.	Whitfield, Peter	12
Festeau, Paul.	Festeau, Paul	12
Stephens, J.	Stephens, J	12
Hewitt, John.	Hewitt, John	12
Triebner, Christopher Frederic.	Triebner, Christopher Frederic	12
Bentley, R.	Bentley, R	12
Shaw, Ferdinando.	Shaw, Ferdinando	12
Bullingbrooke, Edward.	Bullingbrooke, Edward	12
Bettesworth, John.	Bettesworth, John	12
Guarna, Andrea.	Guarna, Andrea	12
Quid, Oliver.	Quid, Oliver	12
Aiton, John.	Aiton, John	12
Symonds, Joseph.	Symonds, Joseph	12
Crosfeild, Robert.	Crosfeild, Robert	12
Ovidius Naso, Publius.	Ovidius Naso, Publius	12
Church of England.	Church Of England	12
Rivers, Peregrine.	Rivers, Peregrine	12
Julius, Alexander.	Julius, Alexander	12
Stafford, Anthony.	Stafford, Anthony	12
Phelpes, Charles.	Phelpes, Charles	12
Tomlinson, William.	Tomlinson, William	12
Adis, Henry.	Adis, Henry	12
Bradshaw, Ellis.	Bradshaw, Ellis	12
Altieri, F.	Altieri, F	11
Smyth, J. H.	Smyth, J. H	11
Wharton, Thomas Wharton	Wharton, Thomas	11
Chicken, Edward.	Chicken, Edward	11
Bottarelli, Ferdinando.	Bottarelli, Ferdinando	11
Packwood, George.	Packwood, George	11
Christian.	Christian	11
Unwin, William.	Unwin, William	11
Spiers, Alexander.	Spiers, Alexander	11
Warltire, John.	Warltire, John	11
Weems, M. L.	Weems, M. L	11
Cockson, Edward.	Cockson, Edward	11
Ludovici, C.	Ludovici, C	11
Weatherwise, Abraham.	Weatherwise, Abraham	11
Child, Samuel.	Child, Samuel	11
Burton, J.	Burton, J	11
Priestley, T.	Priestley, T	11
Rusticus.	Rusticus	11
Shaveblock, Pasquin.	Shaveblock, Pasquin	11
Grenville, William Wyndham Grenville	Grenville, William Wyndham	11
König, Johann.	König, Johann	11
Cotes, Humphrey.	Cotes, Humphrey	11
