pages.total	pages.original	count
739	vi,[1],iv-vii,[27],680,[24]p.	1
390	[4],330,[56]p.	1
354	iv,[1],4-351,[1]p.	1
494	[12],68,[4],69-128,[5],130-188,[4],189-243,[5],254[i.e.245]-320,[4],321-454,[6]p.	1
372	[2],369,[1]p.	1
96	xix,[1],76p.	1
208	[8],xix,[1],178,[2]p.	1
432	xii,418,[2]p.	1
430	[4],vii,[1],418p.	1
488	v.3([4],xxxvi,434,[14]p.)	1
182	viii,174p.	1
30	[3],6-31,[1]p.	1
432	xv,[1],410,[6]p.	1
388	[2],xxxv,[3],106,[26],286,[30]p.,plates,table	1
58	iv,53,[1]p.	1
144	x,48,69-84,65-133,[1]p.	1
972	2v.(iv,[24],xii,933,[1]p.),plate	1
530	xx,443,[1];65,[1]p.	1
266	xxxv,[1],230p.	1
208	xiii,[1],193,[1]p.	1
601	[16],219,225-562,[19]p.,plates	1
584	[2],vi,565,[11]p.	1
672	xviii,654p.	1
730	720,[6]p.,plates	1
66	[2],56,[8]p.	1
358	[6],25,[24],50-69,[1];191,[63]p.,plates	1
48	48,33-40p.	1
944	2v.(CVIII,834,[2]p.)	1
202	[4],196p.,table	1
539	v,[3],xviii,501,[13]p.,plates	1
396	xvi,341,[3]p.,18plates	1
252	40,249,[3]p.	1
706	[10],695,[1]p.	1
458	v.4 ([8],418,[30]p.),plate	1
192	[4],iv,182[i.e. 183],[1]p.	1
26	9,[17]p.	1
172	v.3([4],168p.)	1
445	v.5(xi,428,[2]p.),plates	1
4	4p	1
484	[4],iii,[1],465,[7]p.,plates	1
376	liv,[2],80,316,[4]p.	1
139	[2],iii,[1],3-132,73-95,[1]p.	1
72	[12],59,[1]p.	1
18	[2],ii,13,[1]p.	1
70	[10],60p.	1
81	[4],6,11,[1],13,[5],15-*21,[1],21-30,29*-30*,31-70,20p.	1
44	41,[3]p.	1
66	65, [1]p.	1
46	44, [2]p.	1
76	[2],70,[i.e.74]p.	1
16	[4],12p	1
86	11,[1],12-18,[1],19-39,[1],40-82,[1]p.	1
48	xvi,32p	1
24	iv,20p	1
68	[2],65,[1]p	1
122	121,[1]p.	1
112	viii,[1],6-108p.	1
36	xi,[1],22,[2]p.	1
132	[6],125,[1]p.	1
52	[2],xxii,28p.	1
122	122p.	1
50	Pp. [2], 32, [16]	1
48	[2],iv,41,[1]p.	1
48	viii,38,[2]p.	1
188	xvi,166,[2]p.,plates	1
178	[8],161,[1],vi,[2]p.	1
72	lxxiip.	1
144	[16],128p.	1
30	[6],3-25,[1]p.	1
132	xii,120p.	1
126	xxv,[1],97,[1]p.,plate.	1
92	[4],vi,81,[1]p.	1
84	vii,[1],76p.	1
28	[2],5-29,[1]p	1
64	[4],56p.,tables	1
96	[2],89,[1]p.,tables	1
136	[4],70,132p.	1
140	[8],82,[2],261[i.e.129],[1]p.	1
76	76[i.e.75],[1]p.	1
96	[2],xxii,[2],67,[3],69-248p.plate	1
132	x,121,[1]p.	1
160	[8],64;,87,[1]p.	1
92	iv,87,[1]p.	1
52	[4],47,[1]	1
96	vii,[1],85[i.e.86],[2]p.	1
28	[4],19,[5]p	1
298	[8],276,[14]p.	1
84	[4],viii,71,[1]p.	1
40	v,[1],34p.	1
208	[16],181,[11]p.	1
168	vii,[5],156p.	1
140	xxii,[2],116p.	1
100	[4],52,95,[1]p.	1
48	47,[1]p	1
164	[16],147,[1]p.	1
52	[4],41,[7]p.	1
48	[2],ix,[1],36p.	1
52	48,[4]p.	1
254	[6],lxxxiv,[4],156p.,plates	1
66	[4],iii,[3],55,[1]p.	1
230	[2],xv,[1],211,[1]p.	1
68	vii,[1],60p.	1
108	xii,96p.	1
92	[25],xxx-xcvip.	1
198	vii,[1],183,[3]p.,plates	1
12	[2],8,[2]p.	1
74	[4],vii,[1],62p.	1
276	[8],266,[2],24p.	1
58	[2],44,[8]p.,tables	1
123	[4],35,[1],113,[3]p.,table	1
22	viii,13,[1]p.	1
322	[2],319,[1]p.	1
76	iv,72p	1
210	146; [2], 62 p.	1
32	[4],viii,19,[1]p.	1
101	100,[1]p.	1
110	[4],iv,[1],10-107,[3]p.	1
126	124,[2]p.	1
680	[6],xiii,[1],248,257-648,[8],32p.,plates	1
184	xxii,156,[6]p.	1
28	[2], 26p.	1
268	[4],207,[1],lv,[1]p.	1
54	[2], 48, [4] p.	1
440	xl,397,[3]p.	1
204	[8],192p.,plates	1
66	[5],iv,[1],viii,52p.	1
415	[12],216,215,[1],217-401,[1]p.	1
66	[2],xxvi,181-216p.,table	1
190	[4],186p.	1
32	[2],ii,28,12p.	1
120	[4], 112 p., [1] folded leaf of plates	1
722	iv,[6],576,573-706,[2]p.,plates	1
40	xviii,22p.	1
492	v,[1],320,[2],321-479,[1],45,[1],71,[1]p.,plate	1
160	xv,[1],143,[1]p.	1
80	viii, ix, [1], 70 p.	1
92	[2],viii,[1],4-82,[2]p.	1
108	[2],xx,78,[2],XXIV,[2]p.	1
416	xxiv,392p.	1
148	viii,135,[1]p.,plates	1
496	[6],xvii,[5],467,[1]p.	1
224	[8],70,[2],213,[1]p.	1
20	20,20p.	1
120	[4],112,[4]p.	1
72	[6],viii,58p.	1
88	xxiv,63,[1]p.	1
192	Pp.1-190p.,table	1
31	6,[1],10-24,21-32[i.e.30]p.	1
76	[12],64p.	1
116	viii, 108 p.	1
91	[6],84,15,[1]p.	1
184	184p.	1
452	[2],xxx,304,321-420p.	1
244	242,[2]p.	1
584	[4],lxxii,496,[12]p.	1
84	[12],65,[7]p.	1
20	[2],18,7-10p.	1
120	114,[2]p.,plates	1
110	[4],104p.,plate	1
560	xvi,544p.	1
167	xii[i.e.xiii],[3],155,[9]p.	1
172	xiii,[3],155,[1]p.	1
136	x,[2],123,[1]p.	1
54	[2],50,[2]p.	1
68	[4],56,[8]p.	1
146	[4],142p.	1
130	[4],126,*77-*80p.	1
32	[3],28,28,[1]p.	1
506	[50],455,[1]p.	1
252	[16],214,[22]p.	1
128	xi,[3],113,[1]p.	1
30	vii,[1],22p.	1
80	[2],x,67,[1]p.	1
168	vii,[1],158,[2]p.	1
24	[4],19,[1]p	1
112	[4],103,[5]p.	1
58	[2],52,[4]p.	1
62	[4],57,[1]p.	1
236	[4],xxxi,[1],200p.	1
194	xv,[2],10-186p.	1
52	xvi,35,[1]p.	1
336	[16],184,[136]p.	1
266	[10],256p.	1
158	[4],xliii,[1],110p.	1
114	xxi,[1],92p.	1
122	xix,[1],101,[1]p.	1
38	viii,3-31,[1]p.	1
96	Pp.[33],250-311,[1]	1
2	2v., plate	1
496	[2],iv,[6],477,[7]p.	1
174	[2],165,[1],v,[1]p.	1
172	[5],iii-v,160p.,table,plate	1
24	[3],6-26p.	1
24	24,24p.	1
270	xii,255,[1]p.,plate	1
366	viii,334[i.e.358]p.	1
388	[8],372,[8]p.	1
388	[8],viii,368p.,plates	1
120	[8],112p.	1
62	[4],56p.,plate	1
111	110,[1],4-60p.	1
114	24,xlviii,64p.,plate	1
248	viii,239,[1],16p.	1
210	[6],88;,[4],104,[4]p.,plates	1
472	xii,453,[3]p.,plates	1
349	vi,[2],336,59,[1]p.,plates	1
430	[6],423,[1]p.	1
466	[2],428,433-460p.,plates	1
82	[2],ii,76p.,plate	1
60	[2],56,[2]p.	1
78	iv,71,[1]p.,plate	1
244	[4],240p.	1
430	[5],viii-xvi,415,[1]p.	1
72	[10],59,[1]p.,plate	1
40	[4],35,[1]p	1
144	[144]p.	1
66	[2],61,[1]p.,plate	1
60	iv,56p	1
116	114,[2]p.	1
55	[2],iv,48,13,[1]p.	1
32	[4],iii,[1],23,[1]p.	1
28	viii,18,[2]p.	1
952	2v.(CLI,[1],800p.)	1
94	91,[3]p.	1
280	xxxi,[1],246,[2]p.	1
26	23,[3]p.	1
72	72p.,ill.	1
140	xxiv,[2],96,89-96,95-114p.	1
288	[4],284p.	1
284	283,[1],32p.	1
34	[2],6,9-32p.	1
268	[4],256,[8]p.	1
184	180p., plates	1
136	[2],32,31*-32*,33-64,73-133,[1]p.	1
86	[2], 21, 24-48, 69-84 p.	1
76	[4], 22, 25-72 p.	1
48	Pp.1-48	1
64	[16],47,[1]p.	1
16	15[i.e.16]p.	1
60	[4],53,[1]p.table	1
60	[4],53,[1]p.,table	1
116	4,116p.	1
358	xxxii,324,[2]p.	1
176	xii,163,[1]p.	1
64	vii,[1],55,[1]p.	1
912	[4],iv,887,[13]p.,plates	1
67	[4],2,[1],6-62p.	1
652	[2],648,[2],70p.	1
186	[6],174,[2]p., [1] leaf of plates	1
146	[2],143,[1]p.	1
92	[2],66,75-90p.	1
190	190p.	1
224	[28], 196 p.	1
6	4p.,plate	1
30	29,[i.e.30]p	1
28	[6],22p.	1
32	[6],25,[1]p.	1
38	34[i.e.36],[2]p.	1
72	iv,65[i.e. 67],[1]p.	1
54	[2],ii,49,[1]p.	1
28	viii,19,[1]p.	1
72	[4],32,[36]p.	1
52	[2],viii,41,[1]p.	1
68	36,29-66,[2]p.	1
2	1 sheet ([1])	1
72	32,[16],33-56p.	1
310	iv,305,[1]p.	1
122	[4],118p.	1
168	vi,161,[1]p.	1
88	[4],83,[1]p	1
40	[8],23,[9]p.	1
92	[6],78,[8]p.	1
264	xxxi,[1],229,[3]p.	1
284	xxviii,255,[1]p.	1
444	xvi,420,[8]p.	1
64	xii,51,[1],44p.	1
56	56,16p.	1
100	[2],iv,85,[1] [i.e.94]p.	1
72	vii,[1],63,[1]p.	1
128	[4],iv,119,[1]p.	1
48	[2],42p.,plates	1
50	[4],43,[1]p.,plate	1
88	[6],69 [i.e.81], [1] p.	1
80	viii,70,[2]p.	1
124	[8],114,[2]p.	1
226	[4],56,65-176;45,[1]p.	1
262	xx,140p.,51plates	1
92	89,[1]p., plate	1
106	[3],vi-vii,[3],98p.	1
182	[4],177,[1]p.	1
36	[12],5-26,[2]p.	1
182	viii,160,167-173,[1]p.	1
244	xv,[1],*104,38,29-224p.,plates	1
48	[2],42,[4]p.	1
108	[2],106,20p.	1
42	iv,38p.	1
182	viii,173,[1]p.	1
160	vi,154p.	1
44	32;12p.	1
162	iv,158p.	1
58	24,[2],55,[1]p.	1
56	24,[2],54p.	1
196	[4],viii,184p.	1
34	v,[1],27,[1]p.	1
140	xxiv, 115, [1] p.	1
18	16,14,[2]p.	1
32	[4],28,4p.	1
38	vii,[1],30p.	1
72	vi,9-74p.	1
77	[2],xxiii,[2],1,3-49,[1]p.	1
136	134,[2]p.	1
16	[6],10p.	1
84	iii,[1],74,[2]p.,plates	1
96	[4],87,[1]p.,plates	1
202	viii,[1],4-194p.,plate	1
124	[4],117,[1]p.,plate	1
144	xxxii,111,[1]p.	1
160	155,[5]p.	1
74	[4],53,[13]p.,fold.tables	1
20	16[i.e.20]p.	1
120	[120]p.	1
280	[6],274p.	1
44	[10],33,[1]p.	1
192	[16],173,[3]p.	1
232	[4],230[i.e.228]p.	1
112	xxxiv,[2],xxxii,75,[1]p.	1
130	viii, xxxi, [1], 48; 32, xvi p., plate	1
88	xxiv;62,[2]p.	1
100	93,[3]p.,plates	1
222	xiv,127,[1];80p.	1
104	[20],84p.	1
42	[2],v,[1],34p.	1
152	[4],lxxiv,74p.	1
253	xvi,[3],xviii-xxiv,[3],26-243,[1]p.,plates	1
137	130[i.e.136],19,[1]p.	1
236	[3], vi-xii, 32, vi, [1], 8-220 p.	1
864	[36],828p.	1
1304	3v.([4],vi,[2],264,[10];[2],993,[23]p.)	1
80	48;32p.	1
52	[2],29[i.e.49],[1]p.	1
258	[4],xi,[3],201,[35]p.,plates	1
236	[2],ii,226p.,plates,table	1
60	68[i.e.60]p.	1
192	viii,[2],181,[1]p.	1
192	[10],181,[1]p.	1
2	[2]p	1
62	xvi,3-46,[2]p.	1
246	[2],x,226,[6]p.,plate	1
264	264p.	1
112	viii,[4],99,[1]p.	1
170	xxx,lxxii,96,[2]p.	1
99	[4],iv,88[i.e.90],41[i.e.43],[1]p.	1
52	[52]p.	1
170	[2],168p.	1
198	196p.,plate	1
46	[2],16,26,43,[1]p	1
282	[5],x-xvi,[1],iv-vi,259,[1]p.	1
54	[3],6-55,[1]p.	1
32	[2],vi,23,[1]p.	1
108	[8],100p.	1
36	[4],viii,24p.	1
112	viii,101,[1]p.,plate	1
192	[4],154,xxxi,48,[3]p.	1
44	43,[1]p	1
72	[4],63,[5]p.	1
26	[4],21,[1]p	1
50	[10],38,[2]p.	1
582	xxi,[3],ix,[1],ix,[1],555,[1]p.	1
97	xxiv,71,[1],23,[1]p.	1
36	[8],28p.	1
290	[2],xvi,[6],260,[4]p.,table	1
84	[2], 80, [2] p.	1
560	iv,555,[1]p.	1
328	[8],319,[1]p.	1
948	2v.(LXXI,[1],873,[3]p.)	1
212	xiv,[2],193,[1]p., plate	1
18	16p.,plate	1
72	xiv,[2],56p.	1
103	[2],v [i.e.vii],[1],99,[1]p.	1
118	[2],115,[1]p.	1
41	[4],8,8,31,[1],16,8,31,[1],8p.,plates	1
54	viii,45,[1]p.	1
140	138,[2]p.	1
112	98,xivp.	1
80	vi,[2],71,[1]p.	1
572	[4],lxx,462,[32]p.,plates	1
152	[4],122,[26]p.	1
41	40,7,[1]p.	1
4	pp.5-8	1
200	xvi,181,[3]p.	1
90	[2],xii,3-77,[1]p.	1
156	[2],vi,5-150,[2]p.	1
198	viii,190p.	1
305	[2],vi,vii,[1],xv,[2],10-288,[2]p.,plates	1
380	xx,356,[4]p.	1
56	56 [i.e.55], [1] p.	1
132	[12],120p.	1
108	viii,[1],4-102p.	1
100	86,[14]p.	1
52	[2],16,19-50p.	1
155	80,91-154,7,[1],4p.	1
48	[6],41,[1]p.	1
82	Pp.[2],1-80	1
116	xii,103,[1]p.	1
158	66,67*-68*,67-157,[1]p.	1
288	[2], x, 276 p.	1
42	[2],37,[3]p.	1
116	[4],100,[12]p.	1
364	xxxix,[1],322p.,plate	1
286	xxxi,[1],252p., plate	1
358	x,27,[1]p.,CLX plates	1
62	viii,54p.	1
26	24,[2]p.	1
17	[2],5,[7],8p.	1
56	[6],48,[2]p.	1
232	[2],xx,[14],196p.	1
220	viii, [4], 208p	1
208	xii,148;43,[5]p.	1
78	[2],xii,57,[7]p.	1
200	iv,195,[1]p.	1
158	[4],154p.	1
96	xii,82,[2]p.	1
102	[4],48,47-98p.	1
104	[6], 97, [1] p.	1
86	[2],iv,77,[3]p.	1
202	[4],viii*,xxviii,168,[2]p.	1
818	2v.([2],816p.)	1
164	viii,156p.	1
101	91,[1],93-100p.	1
92	90,[2]p.	1
72	68,[4]p.	1
40	35,[5]p.	1
164	viii,156p	1
70	xxxii,36p.,table	1
258	[4],xxx,[6],112,xiv,216p., table	1
260	xxiii,[1],260[i.e.236]p.	1
118	[6],112p.	1
102	[8],94p.	1
194	xii,179,[1]p.,table	1
190	[8],180p.,table	1
156	[4],vii,[1],143,[1]p.	1
60	xvi,44p.	1
56	viii,45,[3]p.	1
48	28,xx p.	1
68	[4],iv,56,[4]p.	1
80	[4],69,[7]p.	1
106	[2],ii,iii,[1],100p.	1
32	25,[7]p.	1
18	15,[1]p.,table	1
98	[4],95[i.e.93],[1]p.	1
22	19,[1]p.,table	1
54	[2],50p.,table	1
196	[4],192,28p.	1
136	[8],124,[4]p.	1
58	[4],51,[1],34,[2]p.	1
572	[2],lxx,[2],462,[32]p.,plates	1
58	xiv,44p.	1
44	[2],iii,[1],22,[16]p.	1
190	[6],182p.,plate	1
420	[10], 400, [10] p.	1
226	225,[1] p.	1
14	[2], 175-185, [1] p.	1
308	[2], 209-508, [2] p., [1] folded leaf of plates	1
372	viii, 342, [22] p.	1
302	[14], 288 p.	1
58	[2], 56 p., [103] leaves of music	1
240	235, [5] p.	1
1190	3 v. ([2], 432, [8]; [2], 332, [8]; [2], 392, [8] p., [1] leaf of plates)	1
12	p. [2], 431-440	1
24	24 p	1
72	3 v. (72 p.)	1
370	361, [9] p.	1
246	[4], 167, 176-242 p.	1
224	[10], 211, [3] p.	1
19	[2], 13, [3], 14 p.	1
226	[10], 215, [1] p.	1
83	[2], 75, [5], 13, [1] p.	1
292	[4], 144 leaves	1
47	[47] p.	1
96	[8], 77, [11] p.	1
28	[28+] p.	1
113	71 [i.e. 73], [20] leaves	1
640	289, [13], 171 [i.e. 271], [9], 231, [11], 122, [4]; [2], 99, [1]; 212 p.	1
248	[16], 156, [12], 207, [13] p.	1
262	[12], 250 p.	1
23	[2] p., pp. 254-274 p.	1
184	[2], 182 p.	1
218	[6+], 212 p.	1
238	[8], 228, [2] p.	1
54	[12], 42 p.	1
136	128, [4] leaves	1
142	[1], 129, [6] leaves	1
554	[4], 308, 313-316, 309-312, 317-549, [1] p.	1
235	[4], [4], 7, [1], 202, [2], 218 p., [3] leaves of plates (1 folded)	1
12	3 leaves ([6] p.)	1
56	XXVIII leaves	1
19	viii, x-xiii, xix-xlv folios	1
136	lxviii leaves	1
64	xxxii leaves	1
33	xxxiii, [1] folios	1
35	xxxiij, [1] leaves	1
29	xxvii., [1] leaves	1
130	[130] p.	1
966	[24], 369; [2], 571 p.	1
84	[4], 40 leaves	1
224	[8], 209, [7] p.	1
48	[48+] p.	1
16	[8] leaves of plates	1
629	[8], 32, 41-139, [1], 140-314; 80; [28], 17-48, [104]; [4], 58 p.	1
413	[40], 193, [17], 250, [12], 344+ p.	1
74	74 p.	1
890	[14], 875, [1] p.	1
165	[23], CXVIII, CXX-CXXII, [20] p.	1
70	[3], 2-67 [1] p.	1
22	[11] leaves	1
458	[8], 71, 68-449, [1]p.	1
25	[7], 16, [1] leaves	1
104	[4], 100 p	1
238	[238] p.	1
14	[2], 4, [8] p.	1
27	[4], 4, 13-20, 13-17, [3] p.	1
104	102, [2] p.	1
8	8 p. ;c4⁰.	1
21	[2], 1, 4-7, [1], 7-18 p.	1
24	[2], 21 [i.e. 22] p.	1
14	[2], 6, [6] p.	1
16	[2], 13 [1] p.	1
16	6, p. 9, p. 19, 11-13, p. 12, 15-16 p.	1
16	[2], 9, 12-14, 13-14 p.	1
15	[2], 7, 7-13 p.	1
16	[2], 7, 7-14 p.	1
4	pp. [21]-24	1
4	pp. 25-28	1
4	pp. [29-32]	1
12	pp. 29-40	1
4	pp. 45-48	1
4	pp. [85-88]	1
4	pp. 89-92	1
4	pp. 93-[96]	1
4	pp. 117-120	1
4	pp. 121-124	1
4	pp. 125-[128]	1
4	pp. 141-[144]	1
4	pp. 145-148	1
4	pp. 149-[152]	1
4	pp. 153-156	1
4	pp. 157-160	1
4	pp. 161-164	1
4	pp. 189-192	1
4	pp. 193-196	1
4	pp. 197-200	1
4	pp. 257-260	1
4	pp. [261]-264	1
4	pp. [265]-268	1
4	pp. [269]-272	1
4	pp. [273-276]	1
4	pp. 277-280	1
4	pp. [285]-288	1
289	pp. [289]-212	1
4	pp. 293-[296]	1
4	pp. [297-300]	1
4	pp. 241-244	1
4	pp. 245-248	1
4	pp. 249-252	1
4	pp. 275-278	1
4	Pp. 279-282	1
4	Pp. 293-296	1
4	Pp. 297-300	1
4	Pp. 301-304	1
4	Pp. 305-308	1
4	pp. 29-32	1
4	pp. 33-36	1
4	pp. 37-40	1
4	pp. [45]-48	1
4	pp. 49-52	1
59	pp. [5]5-58 ;4⁰.	1
4	pp. 57-60	1
4	pp. 61-64	1
4	pp. 65-68	1
4	pp. 69-72	1
4	pp. 73-76	1
16	p. [2], 129-142	1
16	pp. [175]-190	1
34	[2], 467-497, [1] p.	1
25	[2], 6, 9-16, 15-21, [2] p.	1
18	14, 13-17, [1] p.	1
6	[2], 4+ p.	1
30	[6], 22, [2] p.	1
22	[2], 19, [1], p.	1
24	[2], 8, 7-22 p.	1
22	[2], 18, 17, 18-20 p.	1
288	[4], 282, [2] p.	1
310	[6], 303, [1] p.	1
312	[8], 303, [1] p.	1
110	110 p.	1
16	[2], 3, [i.e. 13], [1] p.	1
48	46, [1] leaves	1
374	299, 298-349 [i.e. 351], [23] p.	1
236	[6], 225, [5] p.	1
236	[16], 113, 110 [i.e.114]-215, [5] p.	1
82	[10], 72 p.	1
344	[4], 335, [5] p.	1
362	[358] p., [1] folded leaf of plates	1
368	360 p., [4] folded leaves of plates	1
828	[12], 155-923, [47] p.	1
468	[10], 436, [11] leaves	1
522	[32], 460, [30] p.	1
1028	[16], 124, [4]; [16] 240, [16]; [8], 227, [35]; [2], 174, [8]; [8], 90; 43, [1] p., 4 leaves of plates (maps)	1
24	[4], 4, [16] p.	1
460	[4], 384, [72] p.	1
90	[16], 73, [1] p.	1
37	[2], 11, [1], 8, 30, [4]	1
110	109, [1] p.	1
2	[2]+	1
264	[4], 248, [12] p.	1
2	1+ sheets (versos blank)	1
482	[16], 419, [47] p.	1
18	[2], 2, 9-15, [1] p.	1
118	[118] p.	1
109	68, 68-70, 70-71; [19] leaves	1
1392	[12], 931, 912-1349 [i.e. 1347], [33] p.	1
173	[23], LXXI, LXXI-CXXX, [20] p.	1
218	[2], 20 [i.e. 209], [7] p.	1
22	[1], 21+ p.	1
94	[2], 3, [1]; [88] p.	1
NA	[2+] leaves	1
264	[264] p.	1
4	2 Sheets (versos blank)	1
211	[8], 193, 195-197, [3] leaves	1
886	[4], 370, [6], 371-398, [12]; [12], 296, 443-445, [9] p.	1
49	[2], 47 p.	1
280	[8], 64, 67-227, [37], 174, [8] p.	1
142	[14], 124, [4] p.	1
110	[6], 103, [1] p.	1
1387	[21], 1237 [i.e. 1281], [85] p.	1
623	[16], 271, [16], 267, [13], 160, [8], 161-306, 491-494 p., 38 leaves	1
96	48 leaves	1
48	[16], 32 p.	1
58	[58] p.	1
567	[20], 547+ p.	1
79	[4], 75 p.	1
215	[215] p.	1
8	4 sheets (printed on rectos only)	1
55	[55] p.	1
5	[2], 3 p.	1
3	[3+] p.	1
55	[6], 49 p.	1
60	xxix [i.e. 58], [2] p.	1
798	[16], ccclxxxi [i.e. 762], [20] p.	1
770	[12], cccxi [i.e. 622], [136] p.	1
56	[2], 33, [21], 17 p.	1
13	[2], 11 p.	1
269	[20], 138, 120, 104, [6], 105-148, 224, [19] p.	1
176	[12], 162, [2] p.	1
150	[2], 148 p.	1
58	[8], 50 p.	1
20	8, 7-20 p.	1
2549	2 v. ([8], 126, [1] leaves, 289, [9], 22, [2], 518, [30], p., 28 leaves, 115, [9] p.; [4], 291-659, 700-981, 990-1593, [1], 1593-1876, [34] p.)	1
158	[10], 71 [i.e 142], [6] p.	1
2	1 sheet ([1] p.).;Includes letter to bishop of Norwich from archbishop of Canterbury, and letter of bishop of Norwich.	1
437	391, [12] p., [17] leaves of plates (some folded)	1
2	1 sheet ([1] p.).;For restricting access to the Court by members of Drakes fleet, because of the plague.	1
10	5 leaves.	1
10	5 leaves (versos blank)	1
8	[4] sheets (versos blank)	1
2	1 sheet ([1] p.).;Announcing the purpose and members of the commission, with its London address.	1
14	7 leaves.	1
6	3+ leaves.	1
2	1 leaf ([1] p.)	1
15	[2], 11 p., 1 leaf of plates	1
374	303, 302-350, [24] p.	1
34	[2], 21, [11] p.	1
106	LIII leaves	1
1006	[16], 208, 207-290, 293-822, 233, [58] p., [55] leaves of plates	1
513	[34], 384 [i.e. 376], [103] p.	1
221	[6], 217 [i.e. 215] p.	1
255	[8], 127, [21], 138, [2], 222, [2] p.	1
14	[2], 9, [3] p.	1
936	[12], 155-402, 395-799, [1] p., 800-828 leaves, 829-923, [47] p. : ill. (woodcuts), ports.	1
4	[2], 2+ p.	1
34	17 sheets	1
78	[4], 51, 51-71, 62-74, [1] l.	1
1346	[22], 1042 p., 1043-1086 leaves, 1087-1237, [85] p., plate	1
110	[7], 101, [1] leaves	1
68	xxxiiii [i.e. lxviii], i [i.e. ii] p.	1
56	xxviii [i.e. lvi] p.	1
54	xxvii [i.e. liv] p.	1
320	[2], 316, [2] p.	1
106	[2], 5, [1], 9, [94] p.	1
72	[2], 6, [64]+ p.	1
6	[6] + p.	1
228	[24] p., 100 leaves [i.e. 200], [4] p.	1
34	[30] p., [1] leaf of plates	1
184	[18], 159, [7] p.	1
108	[16], 92 p.	1
191	188, [3] p.	1
854	[10], 812 [i.e. 816], [28] p.	1
32	[32]+ p.	1
2	1+ sheet ([1]+ p.)	1
1247	[20], 539, 538-1209, [1], 335, [17] p.	1
150	[136], 12 p., [1] folded plate	1
45	[45] p.	1
91	45 [i.e. 91] p.	1
102	[6], 96, 60, 76 p.	1
37	[4], 32, [1] p.	1
180	[28], 136, 152, 125 p.	1
680	[44], 638 [i.e. 636] p.	1
56	[28] leaves	1
75	73, [1] leaves	1
1	fol. xxxiii-xxxv	1
206	[206]+ p. ;c8⁰.	1
108	[108] p.	1
520	[30], 459, [31] p.	1
298	ca. 298 p.	1
802	[38], 160, 169-383, [6], 386-387, 390-435, [4], 438-495, [5], 154, [4], 499-660, [29], 674-715, [1] p.	1
70	[10], 60 p.	1
77	[7], 66, [2] leaves	1
247	[1], 15, 17-39, 42-57, fol. 62, 67-90, 92-129 [i.e. 234], [6] leaves	1
1021	[16], 297, p. 290, p. 287, p. 299, 303-822, 122, 111-120, 133-233, [59] p., [62] leaves of plates (most folded)	1
308	[14], 294 p.	1
488	[4], 354 [i.e. 370], [6], 371-398, [24], 296, 443-445, [9] p.	1
12	[2, 9-18 p.	1
252	[4], 248 p.	1
264	[12], 244 p., [4] plates	1
6	[3] leaves	1
204	[16], 188 p.	1
854	[10], 554, [4], 522 [i.e. 555]-811, [29] p.	1
1	[1] + p.	1
124	[4], 119, [1] p.	1
70	[22], 52 [i.e. 46], [2] p.	1
640	[36], 236, 239-586, [18] p.	1
2	[1] sheet ([1] p.)	1
56	28 leaves	1
24	[2], 12 [i.e. 21], [1] p.	1
40	[2], 21, [17] p.	1
15	[2], 11, [2], 6 p.	1
24	[2], 14 [i.e. 22] p.	1
17	[4], 4, [3], 6-7, [3] p.	1
454	Ff. [8], 1-209, 209-213, 213-219	1
484	[4], 478, [2] p.	1
592	[24], 504; 61, [3] p.	1
44	31, 40-44 p.	1
80	[3], 76, [1] p.	1
20	[2], 2, 9-15, [1] p., plate	1
54	[27] leaves	1
199	[6], 39, [7], 40-47, [1], 56-65, 65-68, 77-78, 78-105, 107-183, [1] leaves	1
162	[8], 149, [1] p., [1] leaf of plates	1
189	[4], xxxij, [2], xxxiij-lxxxij, [2], lxxxiii-C.lxxviij, C.lxxxi-C.lxxxviij, [4], C.lxxxix-C.xciij, Cxcv-CClx [i.e. 250], [4], xxiiij, [2], xxv-lix, [2], lxi, [4], CC.lxiij, [13] leaves	1
188	[6], 152 p., [15] plates (9 folded)	1
6	4, [1] leaves (versos blank)	1
244	[36], 200, [4] leaves	1
200	12, [4], 63, 44-155, 172-196 p.	1
860	[16], 664; 180 p.	1
150	[2], 103, [1]; [44] p.	1
244	[4], 232, [4] leaves	1
178	[178] p.	1
110	[18], 56, 51-74, 85-92 p.	1
524	[524+] p.	1
30	[2], 23, [5] p.	1
47	[1], xiiii, xii, [1]; xiii, [1]; ix, xi, xv, [1] leaves	1
52	[6], C.lxiii, [23] leaves	1
360	[24], 194, 193-336 p.	1
30	[14], 16 p.	1
22	[2], 18 [i.e. 19], [1] p.	1
442	[12], 130, 129-500 [i.e. 410], [18] p., folded plate	1
208	[208] p.	1
198	[8], 186, [4] p.	1
2849	3 v. (vol. 1: [10], 250; [4], 202, [2] p.; vol. 2: 61, [13], 183, [1]; 421, 424-430, 436-438, 431-433, 439-445, 450-464, [56] p.; vol. 3: [8], 1080, 1080-1327, [2], 1332-1371, 1371-1421, 1490-1491, 1536-1555, 1574-1592, [62] p.)	1
903	[16], 822, 233, [61] p., 55, [2] folded plates	1
502	[20] p., XX columns, XXI-CCCXCV, [4], CCCXCVIII-CCCCLXXXIII [i.e. 484], [16] p.	1
288	[8], cclxxviii, [1] leaves	1
61	[1], 58, [1] leaves	1
34	[20] p., [7] plates	1
