pages.total	pages.original	count
84	[8], 76 p.	5
336	[16],320p.	5
288	288p.	5
52	[2],49,[1]p.	5
106	[4],102p.	5
92	[2],90p.	5
136	[8],128p.	5
88	[4],79,[5]p.	5
578	152,151-573,[1]p.,plates	5
94	94p.	5
56	53,[3]p.	5
384	viii,376p.	5
NA	v.2-8	5
80	78,[2]p.	5
10	[10]p.	5
76	[2], 74 p.	5
54	[2],52p.	5
8	8 p	5
8	8+ p.	5
112	[112] p.	5
34	[34] p.	5
16	[4], 9, [3] p.	5
68	[68] p.	5
15	[15] p.	5
40	[8], 31, [1] p.	5
2	1 sheet (1 p.).	5
68	[8], 59, [1] p.	5
76	[76] p.	5
86	[86] p.	5
42	[2], 39, [1] p.	5
42	[42] p.	5
68	[2], 65, [1] p.	5
160	[160] p.	5
52	[4], 47, [1] p.	5
140	[140] p.	5
136	[8], 128 p.	5
50	[4], 45, [1] p.	5
64	[4], 58, [2] p.	5
64	[2], 60, [2] p.	5
84	[36], 47, [1] p.	5
72	[2], 70 p.	5
12	[2], 6, [4] p.	5
20	[6], 14 p.	5
16	[3], 13 p.	5
238	[8], 229, [1] p.	5
104	[4], 99, [1] p.	5
96	[8], 88 p.	5
8	[4], 3, [1] p.	5
16	8, [8] p.	5
36	[6], 30 p.	5
104	[8], 96 p.	5
28	[4], 22, [2] p.	5
64	[4], 60 p.	5
32	[6], 25, [1] p.	5
2	1 sheet ([1]p.)	5
16	[6], 9, [1] p.	5
56	[6], 50 p.	5
84	[4], 80 p.	5
58	[2], 56 p.	5
14	8, 7-12, [2] p.	5
8	2, [6] p.	5
10	[2], 3, 6-7, [1] p.	5
NA	27 v.	5
NA	18 v.	5
NA	13 v.	5
NA	12 v.	5
NA	28 v.	5
4	18 v., plates	5
192	192 p.	4
112	112 p.	4
56	[18], 37, [1] p.	4
68	68 p.	4
88	88 p.	4
132	132 p.	4
404	[22], 372, [10] p.	4
32	28, [4] p.	4
16	[8] leaves	4
152	152 p.	4
144	[8], 135, [1] p.	4
18	[18] p.	4
52	[6], 46 p.	4
1	1 p.	4
98	98 p.	4
2	95-96 p.	4
3	3-5 p.	4
9	9 p.	4
10	[2], 123-130 p.	4
12	[2], 3-12 p.	4
4	7-9, [1] p.	4
16	[2], 159-171, [1] p.	4
16	[2], 99-111, [1] p.	4
108	108 p.	4
26	[26] p.	4
NA	? p.	4
54	54 p.	4
2	1 sheet [2] p.	4
94	94 p.	4
80	78, [2] p.	4
48	[10], 38 p.	4
40	[6],34p.	4
50	[4],46p.	4
120	118,[2]p.	4
94	93,[1]p.	4
34	32,[2]p.	4
52	51, [1] p.	4
32	29,[3]p.	4
68	[2],64,[2]p.	4
28	[2],24,[2]p.	4
32	[4],26,[2]p.	4
296	[2],293,[1]p.	4
30	[4],25,[1]p.	4
16	[4],12p.	4
136	136p.	4
48	[2],44,[2]p.	4
112	111,[1]p.	4
34	[4],29,[1]p.	4
20	[4],16p.	4
24	[2],20,[2]p.	4
36	33,[3]p.	4
20	17,[3]p.	4
496	[8],463,[25]p.	4
104	[2],101,[1]p.	4
96	91,[5]p.	4
42	41, [1] p.	4
120	120p.	4
88	86,[2]p.	4
76	[2],73,[1]p.	4
116	116p.	4
82	[2], 80 p.	4
120	118, [2] p.	4
120	119,[1]p.	4
70	69,[1]p.	4
72	[4],66,[2]p.	4
80	[8],72p.	4
246	[4],xxxi,[1],*4,199,[11]p.	4
40	iv,36p.	4
48	[2],43,[3]p.	4
78	78p.	4
96	[2],93,[1]p.	4
88	[4],84p.	4
600	[16],581,[1]p.,plate	4
352	xvi,330,[6]p.	4
64	[8],56p.	4
316	xii,300p.,plates	4
NA	12v.	4
272	[8],264p.	4
42	[4],37,[1]p.	4
4	7v.,plates	4
2	2v.,table	4
8	2v.,plates,tables	4
330	328p.,plate	4
334	x,312,[12]p.	4
386	[2],iii,[1],25,[26],50-69,[1];213,[67]p.,plates	4
32	iv,28p.	4
476	xxxii,431,[9]p.,plates	4
360	[2],357,[1]p.	4
508	iv,504p.	4
26	[4],22p.	4
184	vii,[1],176p.	4
126	viii,118p.	4
50	49,[1]p.	4
228	[8],219,[1]p.	4
110	[4],105,[1]p.	4
40	[8],32p.	4
292	[2],xxiv,259,[5]p.,plate	4
4	4 v., plates	4
6	2v.,plates,table	4
282	[4], xxiii, [1], 248, [4] p., plate	4
22	[2],19,[1]p.	4
46	[4],42p.	4
528	viii,517,[3]p.	4
72	viii,64p.	4
90	89,[1]p.	4
60	55,[5]p.	4
136	[2],134p.	4
48	[8],39,[1]p.	4
88	[2],86p.	4
64	[10],54p.	4
638	[2],633,[3]p.	4
70	[2],68p.	4
68	[2],66p.	4
66	66p.	4
96	[4],91,[1]p.	4
156	[10],140,[6]p.	4
120	[4],115,[1]p.	4
152	[4],148p.	4
48	[8],40p.	4
74	72p.,plate	4
64	61,[3]p.	4
62	[2],59,[1]p.	4
112	[4], 108 p.	4
216	[8],208p.	4
470	v.1 ([14],168,175-434,[18]p.),plates	4
450	xxx,304,321-420p.	4
305	[32], 272, 39, [1] p.	4
46	[8], 38 p.	4
128	[128] p.	4
24	[8], 16 p.	4
28	[8], 20 p.	4
144	[8], 136 p.	4
88	[88] p.	4
100	[100] p.	4
296	[192], 97, [7] p.	4
22	[4], 17, [1] p.	4
54	[54] p.	4
516	[8], 271, [1]; [6], 12, 227, [3] p.	4
18	[4], 14 p.	4
66	[6], 60 p.	4
32	[4], 25, [3] p.	4
859	[10], 554, [5], 556-812, [32] p.	4
274	[14], 96, 105-248 p., [6] plates (4 folded)	4
156	[8], 148 p.	4
80	[4], 74, [2] p.	4
30	29, [1] p.	4
14	[4], 9, [1] p.	4
64	[8], 55, [1] p.	4
76	[6], 70 p.	4
31	31 p.	4
48	[6], 42 p.	4
5	[5] p.	4
4	131-134 p.	4
40	[6], 33, [1] p.	4
58	[4], 53, [1] p.	4
810	[12], 797, [1] p.	4
96	[2], 94 p.	4
4	2 sheets ([3] p.)	4
14	[2], 10, [2] p.	4
2	1 sheet ([1] p.) ;c1⁰.	4
588	[34], 549, [1] p., [1] leaf of plates	4
156	[4], 152 p.	4
12	[2], 7 [i.e. 9], [1] p.	4
84	[2], 82 p.	4
532	[44], 136, 177-296, 313-400, 409-488 p.	4
8	[2], 4 [i.e. 5], [1] p.	4
76	[4], 72 p.	4
80	[12], 66, [2] p.	4
289	[14], 251, [1], 273, [1] p.	4
64	[8], 54, [2] p.	4
8	[2], 7 [i.e. 6] p.	4
282	[8], 269, [3] p., folded plate	4
8	5 [i.e. 8] p.	4
8	[2], 2, [4] p.	4
58	[2], 55, [1] p.	4
44	[6], 38 p.	4
32	[6], 24, [2] p.	4
84	[8], 75, [1] p.	4
48	[8], 38, [2] p.	4
10	[2], 3, 6-8 p.	4
4	12 v., plates	4
NA	14 v.	4
NA	22 v.	4
NA	36 v.	4
NA	24 v.	4
NA	30 v.	4
NA	52 v.	4
24	[6], 17, [1] p.	3
48	[2], 44, [2] p.	3
104	104 p.	3
128	[8], 119, [1], 20 p.	3
6	[6+] p.	3
84	83, [1] p.	3
292	[20], 136, 121-269, [3] p.	3
16	[16+] p.	3
54	[6], 48 p.	3
8	[2], 3-7, [1] p.	3
686	[28], 363 [i.e. 336], 335-653, [1] p., [1] leaf of plates	3
46	[6], 39, [1] p.	3
116	[116] p.	3
12	89-100 p.	3
6	71-76 p.	3
6	1-6 p.	3
8	[2], 33-38 p.	3
80	80 p.	3
99	59 [i.e. 99] p.	3
77	77 p.	3
2	8-9 p.	3
216	216 p.	3
140	[2], 15-150, [2] p.	3
8	[2], 147-151, [1] p.	3
9	112-119, [1] p.	3
34	33, [1] p.	3
16	[2], 43-56 p.	3
2	237-238 p.	3
74	73, [1] p.	3
78	78 p.	3
144	144 p.	3
156	156 p.	3
16	15 [i.e. 16] p.	3
116	115, [1] p.	3
52	[8], 42, [2] p.	3
NA	23 v.	3
144	[4], 140 p.	3
96	95, [1] p.	3
2	1 sheet ([4] p.)	3
24	[8], 15, [1] p.	3
80	[6], 73, [1] p.	3
172	172p.	3
28	[4],22,[2]p.	3
60	57,[3]p.	3
42	[4],38p.	3
12	10,[2]p.	3
8	p. [25]-32	3
32	[32]p.	3
164	163,[1]p.	3
106	[2], 104 p.	3
130	[2],128p.	3
48	45, [3] p.	3
96	94,[2]p.	3
408	[4],404p.	3
60	[4], 55, [1] p.	3
48	45,[3]p.	3
8	p. 17-24	3
232	232p.	3
40	iv,35,[1]p.	3
136	[4],130,[2]p.	3
40	36,[4]p.	3
10	8,[2]p.	3
8	5,[3]p.	3
108	[2],105,[1]p.	3
64	[2],60,[2]p.	3
200	200 p.	3
156	154,[2]p.	3
76	75, [1] p.	3
208	[2],206p.	3
60	iv,56p.	3
90	[2], 88 p.	3
