ESTC	geonameid	name	asciiname	latitude	longitude	country.code	admin1	admin2	admin3	admin4	population	timezone
Burlington Vt	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Burnley	2654264	Burnley	Burnley	53.8	-2.23333	GB	ENG	H2	30UD		73480	Europe/London
Bury	2654187	Bury	Bury	53.6	-2.3	GB	ENG	C1			61044	Europe/London
Caen	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Calcutta	5148883	Calcutta	Calcutta	40.6734	-80.57646	US	OH	029			3742	America/New_York
Cambridge	2653941	Cambridge	Cambridge	52.2	0.11667	GB	ENG	C3	12UB		128488	Europe/London
Cambridge Ma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Campbeltown	2653915	Campbeltown	Campbeltown	55.42583	-5.60764	GB	SCT	T8			4939	Europe/London
Canterbury	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cap Haitien	3728474	Okap	Okap	19.75938	-72.19815	HT	09				134815	America/Port-au-Prince
Carlisle	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Carlisle Pa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Carlow	2965768	Carlow	Carlow	52.84083	-6.92611	IE	L	01			20055	Europe/Dublin
Carmarthen	2653755	Carmarthen	Carmarthen	51.85552	-4.30535	GB	WLS	X7	00NU006		15244	Europe/London
Cashel	2965664	Cashel	Cashel	52.51583	-7.88556	IE	M	26			2798	Europe/Dublin
Chambersburg Pa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Charleston S.C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Charlestown Ma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Charlottesville Va	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chatham	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chelmsford	2653266	Chelmsford	Chelmsford	51.73575	0.46958	GB	ENG	E4	22UF		102671	Europe/London
Chelmsford Ma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
